ValidationResultId,SessionId,ValidationRule,ValidationDescription,RouteId,BeginPoint,EndPoint,DataItemsImpacted,LastModifiedBy,LastModifiedOn,SpatialJoinRecordId,geometry
601335275,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,49.8,49.9,Road Events,MJORDAN13,2023-06-14T17:10:53,141582,POINT (-79.81390718500001 39.04832396299997)
601335276,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.11,50.2,Road Events,MJORDAN13,2023-06-14T17:10:53,141583,POINT (-79.81513616799998 39.053763167)
601335277,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.2,50.3,Road Events,MJORDAN13,2023-06-14T17:10:53,141584,POINT (-79.81509342499999 39.05508954999999)
601335278,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.4,50.5,Road Events,MJORDAN13,2023-06-14T17:10:53,141585,POINT (-79.81396351000001 39.05768006699998)
601335279,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.5,50.6,Road Events,MJORDAN13,2023-06-14T17:10:53,141586,POINT (-79.81309122300001 39.05889949900001)
601335280,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.6,50.7,Road Events,MJORDAN13,2023-06-14T17:10:53,141587,POINT (-79.81221844100003 39.06011782399997)
601335281,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.7,50.8,Road Events,MJORDAN13,2023-06-14T17:10:53,141588,POINT (-79.811347431 39.06133745800003)
601335282,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.8,50.9,Road Events,MJORDAN13,2023-06-14T17:10:53,141589,POINT (-79.810475532 39.06255667599999)
601335283,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.9,51.0,Road Events,MJORDAN13,2023-06-14T17:10:53,141590,POINT (-79.80962665200002 39.06376960199998)
601335284,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.1,51.2,Road Events,MJORDAN13,2023-06-14T17:10:53,141591,POINT (-79.80962157099998 39.06656196500001)
601335285,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.3,51.3556,Road Events,MJORDAN13,2023-06-14T17:10:53,141592,POINT (-79.81015505099998 39.06907715599999)
601335286,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.5319,51.6,Road Events,MJORDAN13,2023-06-14T17:10:53,141593,POINT (-79.80959340099997 39.072462766)
601335287,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.6,51.7,Road Events,MJORDAN13,2023-06-14T17:10:53,141594,POINT (-79.80938185799999 39.07365516499999)
601335288,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.8,51.9,Road Events,MJORDAN13,2023-06-14T17:10:53,141595,POINT (-79.809383169 39.076121951)
601335289,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.1,52.2,Road Events,MJORDAN13,2023-06-14T17:10:53,141596,POINT (-79.809608905 39.07940603600002)
601335290,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.5,52.6,Road Events,MJORDAN13,2023-06-14T17:10:53,141597,POINT (-79.808980453 39.08360841699999)
601335291,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.7,52.8,Road Events,MJORDAN13,2023-06-14T17:10:53,141598,POINT (-79.806915065 39.08508027400001)
601335292,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.2093,51.2707,Road Events,MJORDAN13,2023-06-14T17:10:54,205059,POINT (-79.80993118800001 39.06783102600002)
601335293,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,48.6,48.6254,Road Events,MJORDAN13,2023-06-14T17:10:54,205082,POINT (-79.81396286400002 39.024993817)
601335294,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.3,50.4,Road Events,MJORDAN13,2023-06-14T17:10:54,205105,POINT (-79.81481505800002 39.05647035800001)
601335295,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.02,51.1,Road Events,MJORDAN13,2023-06-14T17:10:54,205106,POINT (-79.80931708200001 39.06529476999998)
601335296,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.73,51.8,Road Events,MJORDAN13,2023-06-14T17:10:54,205107,POINT (-79.80938315700001 39.07518956500002)
601335297,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.9,51.9923,Road Events,MJORDAN13,2023-06-14T17:10:54,205108,POINT (-79.80941676700002 39.07717620599999)
601335298,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.0,52.1,Road Events,MJORDAN13,2023-06-14T17:10:54,205109,POINT (-79.809520362 39.07831142200001)
601335299,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.2,52.3,Road Events,MJORDAN13,2023-06-14T17:10:54,205110,POINT (-79.80969813000002 39.08050062900003)
601335300,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.3,52.3531,Road Events,MJORDAN13,2023-06-14T17:10:54,205111,POINT (-79.80976458200001 39.08133821899997)
601335301,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.4,52.5,Road Events,MJORDAN13,2023-06-14T17:10:54,205112,POINT (-79.80973484600003 39.08269805999998)
601335302,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.6,52.7,Road Events,MJORDAN13,2023-06-14T17:10:54,205113,POINT (-79.80799482999998 39.08438018499999)
601335303,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.8216,52.9,Road Events,MJORDAN13,2023-06-14T17:10:54,205116,POINT (-79.80583401500002 39.08593777499999)
601335304,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.9,53.0,Road Events,MJORDAN13,2023-06-14T17:10:54,205117,POINT (-79.80514833299998 39.08676907199998)
