RouteID|BMP|EMP|BeginDate|StateID|ValueNumeric|DataItem|Comment|ValueText|ValueDate
54200500000EB|5.2|9.83|01/01/2025|54|3|NHFN|||
54200500000EB|9.86|24.13|01/01/2025|54|2|NHFN|||
4030034000000|8.64|16.8|01/01/2025|54|3|NHFN|||
50200520000WB|5.43|11.133|01/01/2025|54|3|NHFN|||
19203400000NB|0.0|9.04|01/01/2025|54|2|NHFN|||
19203400000NB|9.04|9.6|01/01/2025|54|2|NHFN|||
19203400000NB|9.6|12.03|01/01/2025|54|2|NHFN|||
19203400000NB|12.03|12.5|01/01/2025|54|2|NHFN|||
19203400000NB|12.5|16.03|01/01/2025|54|2|NHFN|||
3130007000000|34.94|36.13|01/01/2025|54|3|NHFN|||
4830002000000|0.0|13.93|01/01/2025|54|2|NHFN|||
02200110000NB|6.0|8.08|01/01/2025|54|3|NHFN|||
02200110000NB|8.31|9.62|01/01/2025|54|3|NHFN|||
02200110000NB|10.4|11.58|01/01/2025|54|3|NHFN|||
02200110000NB|16.41|16.96|01/01/2025|54|3|NHFN|||
02200110000NB|19.66|20.79|01/01/2025|54|3|NHFN|||
02200110000NB|22.41|23.57|01/01/2025|54|3|NHFN|||
30200520000EB|33.64|43.09|01/01/2025|54|2|NHFN|||
3140019190000|0.0|1.25|01/01/2025|54|3|NHFN|||
0240001000000|0.0|0.425|01/01/2025|54|3|NHFN|||
35202500000NB|0.0|1.3|01/01/2025|54|3|NHFN|||
2030094000000|1.507|6.962|01/01/2025|54|3|NHFN|||
4130121000000|0.0|6.46|01/01/2025|54|2|NHFN|||
4130121000000|6.46|10.86|01/01/2025|54|2|NHFN|||
20201190000SB|13.927|14.908|01/01/2025|54|3|NHFN|||
20201190000SB|15.512|17.147|01/01/2025|54|3|NHFN|||
0640060210000|0.0|0.51|01/01/2025|54|3|NHFN|||
3540065000000|0.32|1.09|01/01/2025|54|3|NHFN|||
31201190000NB|10.37|13.99|01/01/2025|54|3|NHFN|||
02100810000NB|0.0|26.0|01/01/2025|54|1|NHFN|||
06200600000EB|1.12|2.88|01/01/2025|54|3|NHFN|||
06200600000EB|2.88|3.93|01/01/2025|54|1|NHFN|||
06200600000EB|3.93|6.019|01/01/2025|54|1|NHFN|||
06200600000EB|6.019|9.13|01/01/2025|54|1|NHFN|||
06200600000EB|9.13|9.363|01/01/2025|54|1|NHFN|||
06200600000EB|9.363|12.52|01/01/2025|54|3|NHFN|||
0630010000000|15.88|18.41|01/01/2025|54|3|NHFN|||
0630010000000|18.41|18.58|01/01/2025|54|1|NHFN|||
05200220000EB|0.0|2.06|01/01/2025|54|2|NHFN|||
05200220000EB|2.45|5.89|01/01/2025|54|2|NHFN|||
