RouteID|BeginPoint|EndPoint|ValueDate|Comments|ValueNumeric|StateCode|BeginDate|ValueText|DataItem
23201190000NB|0.0|0.85|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|1.44|2.2|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
0240013000000|0.43|1.03|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
0240013000000|1.03|1.5|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|2.2|2.54|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|2.54|2.67|2020|New 2021||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|2.67|3.3|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|3.3|3.5|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|3.5|3.59|2020|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|3.59|5.1|2017|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|5.1|5.27|2017|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
23201190000NB|11.87|12.283|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|12.79|12.9|2008|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|12.9|12.95|2008|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|14.782|15.25|2010|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|15.25|16.17|2010|New 2021||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|16.77|17.46|2008|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|17.46|17.76|2010|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|17.76|18.21|2008|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|18.76|19.41|2008|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|19.41|20.39|2008|New 2021||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|20.39|22.05|2021|New 2021||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330010000000|27.14|28.6|2021|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330017000000|0.32|1.1|2007|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330044000000|16.02|17.07|2008|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330073000000|0.31|1.4|2016|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330073000000|1.4|1.5|2016|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330073000000|1.5|2.1|2016|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330073000000|2.1|2.15|2016|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2330080000000|0.86|1.57|2017|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
2340005000000|0.45|2.789|2014|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
30200520000EB|9.95|11.65|2014|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
30200520000EB|21.06|21.95|2022|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
30200520000EB|21.97|22.28|2022|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
30200520000EB|26.08|26.53|2016|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
30200520004NB|0.096|0.39|2009|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
30201190000NB|11.73|12.8|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
30201190000NB|12.88|14.28|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
3030080000000|7.05|9.46|2012|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|0.0|0.1|2017|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|0.1|0.11|2017|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|0.11|1.25|2017|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|1.29|1.66|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|1.66|2.0|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|2.0|2.17|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|2.17|2.3|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|2.3|2.7|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|2.7|2.75|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|2.75|2.8|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|2.8|4.22|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|4.22|4.4|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|4.4|4.5|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|4.5|5.29|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
50100640000EB|5.29|5.3|2015|same as 2020||54|01/01/2022||YEAR_LAST_IMPROVEMENT
