RouteID|BeginPoint|EndPoint|ValueNumeric|Comments|ValueDate|StateCode|BeginDate|ValueText|DataItem
04100790000NB|50.35|51.61|9|||54|01/01/2022||BASE_THICKNESS
0140024000000|1.64|2.79|8|||54|01/01/2022||BASE_THICKNESS
0130038000000|5.53|6.31|9|||54|01/01/2022||BASE_THICKNESS
04100790000NB|59.0|61.47|9|||54|01/01/2022||BASE_THICKNESS
04200190000NB|26.57|27.64|11|||54|01/01/2022||BASE_THICKNESS
04100790000NB|44.6|46.22|9|||54|01/01/2022||BASE_THICKNESS
1130005000000|14.58|14.89|8|||54|01/01/2022||BASE_THICKNESS
04100790000NB|52.61|53.27|9|||54|01/01/2022||BASE_THICKNESS
21200330000EB|20.19|21.03|12|||54|01/01/2022||BASE_THICKNESS
21100790000NB|87.45|90.82|9|||54|01/01/2022||BASE_THICKNESS
21100790000NB|96.17|97.13|9|||54|01/01/2022||BASE_THICKNESS
21200330000EB|17.59|17.96|12|||54|01/01/2022||BASE_THICKNESS
21100790000NB|90.82|96.17|9|||54|01/01/2022||BASE_THICKNESS
21100790000NB|104.15|104.69|9|||54|01/01/2022||BASE_THICKNESS
2140007000000|3.84|4.17|5|||54|01/01/2022||BASE_THICKNESS
2140013000000|0.0|0.4|8|||54|01/01/2022||BASE_THICKNESS
21100790000NB|100.39|101.69|9|||54|01/01/2022||BASE_THICKNESS
21100790000NB|101.69|104.15|9|||54|01/01/2022||BASE_THICKNESS
21200330000EB|22.25|22.84|12|||54|01/01/2022||BASE_THICKNESS
21200330000EB|16.0|16.23|12|||54|01/01/2022||BASE_THICKNESS
21100790000NB|104.69|106.42|9|||54|01/01/2022||BASE_THICKNESS
21100790000NB|83.55|87.45|9|||54|01/01/2022||BASE_THICKNESS
21200190000NB|22.37|22.58|6|||54|01/01/2022||BASE_THICKNESS
21100790000NB|98.63|98.925|9|||54|01/01/2022||BASE_THICKNESS
21100790000NB|97.13|98.287|9|||54|01/01/2022||BASE_THICKNESS
21200330000EB|19.84|20.19|12|||54|01/01/2022||BASE_THICKNESS
21100790000NB|98.4|98.63|9|||54|01/01/2022||BASE_THICKNESS
21200330000EB|21.25|22.25|12|||54|01/01/2022||BASE_THICKNESS
21200190000NB|22.72|23.48|6|||54|01/01/2022||BASE_THICKNESS
49200330000EB|5.37|7.192|10|||54|01/01/2022||BASE_THICKNESS
49200330000EB|4.0|4.35|10|||54|01/01/2022||BASE_THICKNESS
4930020000000|22.87|23.54|6|||54|01/01/2022||BASE_THICKNESS
5130015000000|6.3|8.48|8|||54|01/01/2022||BASE_THICKNESS
49200330000EB|2.51|4.0|10|||54|01/01/2022||BASE_THICKNESS
49200330000EB|1.22|2.51|10|||54|01/01/2022||BASE_THICKNESS
4940001000000|2.28|3.17|8|||54|01/01/2022||BASE_THICKNESS
49200330000EB|8.31|10.87|10|||54|01/01/2022||BASE_THICKNESS
0630010000000|15.69|15.82|2|same as 2020||54|01/01/2022||BASE_THICKNESS
0630010000000|15.82|16.27|2|same as 2020||54|01/01/2022||BASE_THICKNESS
5430014000000|15.19|15.32|6|same as 2020||54|01/01/2022||BASE_THICKNESS
5430014000000|15.32|15.45|6|same as 2020||54|01/01/2022||BASE_THICKNESS
5430014000000|16.1|16.76|6|same as 2020||54|01/01/2022||BASE_THICKNESS
1830002000000|10.86|11.0|6|same as 2020||54|01/01/2022||BASE_THICKNESS
1830002000000|11.14|11.28|5|same as 2020||54|01/01/2022||BASE_THICKNESS
18100770000NB|145.99|150.45|12|same as 2020||54|01/01/2022||BASE_THICKNESS
18100770000NB|153.79|154.41|12|same as 2020||54|01/01/2022||BASE_THICKNESS
18100770000NB|154.41|156.01|12|same as 2020||54|01/01/2022||BASE_THICKNESS
18100770000NB|156.01|156.99|12|same as 2020||54|01/01/2022||BASE_THICKNESS
54100770000NB|162.73|168.205|10|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|14.66|18.1|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|18.1|18.12|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|18.12|18.2|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|18.2|23.34|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|26.75|28.64|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|28.64|29.23|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|29.23|31.24|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|31.24|31.42|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39100680000EB|31.42|32.06|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39202190000NB|0.0|0.8|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39202190000NB|0.8|3.01|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39202190000NB|3.01|3.31|6|same as 2020||54|01/01/2022||BASE_THICKNESS
39202190000NB|3.31|4.76|6|same as 2020||54|01/01/2022||BASE_THICKNESS
3930072000000|18.42|20.44|6|same as 2020||54|01/01/2022||BASE_THICKNESS
3940003000000|4.6|7.27|6|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|0.0|1.39|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|1.39|6.27|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|6.27|11.63|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|11.63|13.54|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|13.54|14.26|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|14.26|15.22|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|15.22|15.62|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|15.62|15.95|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|15.95|16.23|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|16.23|17.3|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|17.3|18.13|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|18.13|20.37|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|20.37|23.0|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|23.0|23.4|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|23.4|23.46|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|23.46|23.5|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|23.5|24.53|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|24.53|25.9|10|same as 2020||54|01/01/2022||BASE_THICKNESS
02100810000NB|25.9|26.0|10|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|0.35|2.2|4|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|4.9|6.17|4|New 2021||54|01/01/2022||BASE_THICKNESS
0230009000000|6.17|6.27|4|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|6.47|7.58|4|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|10.12|10.37|8|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|10.52|10.84|4|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|10.84|11.15|4|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|14.55|14.9|12|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|15.57|15.79|12|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|15.79|16.09|12|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|17.07|17.48|11|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|18.18|20.16|11|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|6.381|6.47|4|same as 2020||54|01/01/2022||BASE_THICKNESS
0230009000000|7.584|9.95|4|same as 2020||54|01/01/2022||BASE_THICKNESS
1230093000000|9.71|13.45|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|8.56|9.13|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|9.13|9.38|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|9.38|9.5|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|11.9|12.047|10|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|12.88|13.26|10|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|13.26|13.82|10|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|14.66|14.7|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|14.7|14.86|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|14.86|14.9|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400000NB|14.9|15.31|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400005SB|0.17|0.37|8|same as 2020||54|01/01/2022||BASE_THICKNESS
