BeginDate|StateID|RouteID|BMP|EMP|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2024|54|38202190000NB|0.0|0.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.1|0.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.2|0.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.3|0.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.4|0.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.5|0.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.6|0.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.7|0.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.8|0.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|0.9|1.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.0|1.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.1|1.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.2|1.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.3|1.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.4|1.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.5|1.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.6|1.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.7|1.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.8|1.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|1.9|2.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.0|2.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.1|2.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.2|2.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.3|2.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.4|2.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.5|2.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.6|2.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.7|2.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.8|2.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|2.9|3.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.0|3.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.1|3.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.2|3.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.3|3.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.4|3.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.5|3.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.6|3.69|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.69|3.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.7|3.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.8|3.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|3.9|4.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.0|4.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.1|4.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.2|4.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.3|4.37|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.37|4.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.4|4.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.5|4.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.6|4.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.7|4.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.8|4.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|4.9|5.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.0|5.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.1|5.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.2|5.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.3|5.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.4|5.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.5|5.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.6|5.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.7|5.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.8|5.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|5.9|6.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.0|6.01|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.01|6.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.1|6.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.2|6.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.3|6.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.4|6.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.5|6.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.6|6.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.7|6.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.8|6.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|6.9|7.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|7.0|7.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|7.1|7.15|base_thickness|5.0|||
01/01/2024|54|38202190000NB|7.77|7.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|7.8|7.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|7.9|8.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.0|8.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.1|8.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.2|8.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.3|8.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.4|8.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.5|8.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.6|8.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.7|8.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.8|8.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|8.9|9.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.0|9.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.1|9.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.2|9.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.3|9.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.4|9.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.5|9.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.6|9.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.7|9.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|9.8|9.82|base_thickness|5.0|||
01/01/2024|54|38202190000NB|14.15|14.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|14.2|14.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|14.3|14.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|14.4|14.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|14.5|14.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|14.6|14.67|base_thickness|5.0|||
01/01/2024|54|38202190000NB|19.58|19.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|19.6|19.7|base_thickness|5.0|||
01/01/2024|54|38202190000NB|19.7|19.8|base_thickness|5.0|||
01/01/2024|54|38202190000NB|19.8|19.9|base_thickness|5.0|||
01/01/2024|54|38202190000NB|19.9|20.0|base_thickness|5.0|||
01/01/2024|54|38202190000NB|20.0|20.1|base_thickness|5.0|||
01/01/2024|54|38202190000NB|20.1|20.2|base_thickness|5.0|||
01/01/2024|54|38202190000NB|20.2|20.3|base_thickness|5.0|||
01/01/2024|54|38202190000NB|20.3|20.4|base_thickness|5.0|||
01/01/2024|54|38202190000NB|20.4|20.5|base_thickness|5.0|||
01/01/2024|54|38202190000NB|20.5|20.6|base_thickness|5.0|||
01/01/2024|54|38202190000NB|20.6|20.7|base_thickness|5.0|||
