StateID|DataYear|RouteID|BeginPoint|EndPoint|SampleId|Comments
54|2024|41100640000EB|120.69|122.62|410640012069|New 2024
54|2024|41100640000EB|122.71|123.18|410640012271|New 2024
54|2024|41100640000EB|126.65|127.58|410640012665|New 2024
54|2024|2730002000000|29.27|35.98|270002002927|New 2024
54|2024|0830036000000|2.48|4.2|080360000248|Same as 2023
54|2024|20100770023NB|0|1.02|20077C000000|Same as 2023
54|2024|4970764001900|0|0.39|490076400000|Same as 2023
54|2024|2974002001900|0|0.39|290400200000|Same as 2023
54|2024|1540011020000|0|0.57|150110200000|Same as 2023
54|2024|1540011020000|0.57|2.75|150110200570|Same as 2023
54|2024|1540011020000|2.75|2.78|150011020275|Same as 2023
54|2024|35104700000EB|0|0.98|354700000000|Same as 2023
54|2024|3030065000000|10.03|11.05|300650001003|Same as 2023
54|2024|4130061000000|2.604|3.29|410610002604|Same as 2023
54|2024|31100790000NB|142.37|143.81|310790014237|Same as 2023
54|2024|31100790000NB|143.81|145.2|310790014381|Same as 2023
54|2024|31100790000NB|145.2|145.65|310790014520|Same as 2023
54|2024|31100790000NB|145.65|147.85|310790014565|Same as 2023
54|2024|31100790000NB|147.85|148.022|310790014785|Same as 2023
54|2024|31100790000NB|148.66|149.05|310790014866|Same as 2023
54|2024|31100790000NB|149.38|149.68|310790014938|Same as 2023
54|2024|31100790000NB|150.74|151.07|310790015074|Same as 2023
54|2024|31100790000NB|152.92|156.983|310790015292|Same as 2023
54|2024|31100790000NB|157|160.52|310790015700|Same as 2023
54|2024|0640052030000|0|0.22|060520300000|Same as 2023
54|2024|2040060750000|0|0.09|200607500000|Same as 2023
54|2024|5440014160000|0.18|0.86|540141600019|Same as 2023
54|2024|5440014160000|0.86|1.23|540141600086|Same as 2023
54|2024|5440014160000|2.89|3.83|540141600289|Same as 2023
54|2024|0440032000000|6.27|6.5|040320000627|Same as 2023
54|2024|1740025120000|0.27|0.64|170251200027|Same as 2023
54|2024|4170034001900|0.17|0.38|410003400017|Same as 2023
54|2024|2540072000000|1.02|1.79|250720000102|Same as 2023
54|2024|2540072000000|2.07|2.67|250720000207|Same as 2023
54|2024|35202500010SB|0|0.64|35250SB00000|Same as 2023
54|2024|0673313001900|0|0.17|060331300000|Same as 2023
54|2024|4140008010000|1.02|1.6|410080100102|Same as 2023
54|2024|0630527000000|0.89|0.98|065270000088|Same as 2023
54|2024|2830020000000|4.23|5.2|280200000423|Same as 2023
54|2024|2830020000000|10.32|11.4|280200001032|Same as 2023
54|2024|2830020000000|12.05|12.78|280200001205|Same as 2023
54|2024|2540054000000|0|0.183|250540000000|Same as 2023
54|2024|1740031000000|0.5|1.45|170310000050|Same as 2023
54|2024|1771754001900|0.18|0.47|170175400018|Same as 2023
54|2024|1771754001900|0.47|0.57|170175400047|Same as 2023
54|2024|3540039000000|0.01|0.42|350390000001|Same as 2023
54|2024|3540039000000|0.42|1.56|350390000042|Same as 2023
54|2024|3540039000000|1.56|2.05|350390000156|Same as 2023
54|2024|5530097000000|21.56|22.26|550970002156|Same as 2023
54|2024|5530097000000|22.83|23.2|550970002283|Same as 2023
54|2024|5530097000000|28.09|32.88|550970002809|Same as 2023
54|2024|1940031000000|0|0.029|190310000000|Same as 2023
54|2024|06200600001EB|0|0.39|06060A000000|Same as 2023
54|2024|1540016000000|1.05|1.126|150160001050|Same as 2023
54|2024|23200520000EB|0|0.43|230520000000|Same as 2023
54|2024|5430047000000|0.45|0.56|540470000045|Same as 2023
54|2024|1940017040000|0.63|0.92|190170400630|Same as 2023
54|2024|2340012040000|0.1|0.14|230120400100|New 2024
54|2024|19203400000NB|6.9|8.56|193400000690|Same as 2023
54|2024|19203400000NB|8.56|9.13|193400000856|Same as 2023
54|2024|19203400000NB|9.13|9.55|193400000913|Same as 2023
54|2024|19203400000NB|9.55|10.41|193400000955|Same as 2023
54|2024|19203400000NB|10.41|11.86|193400001041|Same as 2023
54|2024|19203400000NB|11.9|12.047|193400001190|Same as 2023
54|2024|19203400000NB|12.047|12.88|193400001205|Same as 2023
54|2024|19203400000NB|12.88|13.26|193400001288|Same as 2023
54|2024|19203400000NB|13.26|13.82|193400001326|Same as 2023
54|2024|19203400000NB|14.66|14.86|193400001466|Same as 2023
54|2024|19203400000NB|14.86|15.31|193400001486|Same as 2023
54|2024|0130076000000|1.75|6.62|010760000175|Same as 2023
54|2024|5330014000000|19.34|20.71|530140001934|Same as 2023
54|2024|13100640000EB|147.93|149.84|130640014793|Same as 2023
54|2024|13100640000EB|149.84|156.18|130640014984|Same as 2023
54|2024|13100640000EB|156.18|161.46|130640015618|Same as 2023
54|2024|13100640000EB|161.46|165.95|130640016146|Same as 2023
54|2024|13100640000EB|165.95|168.89|130640016595|Same as 2023
54|2024|13100640000EB|168.96|170.09|130640016896|Same as 2023
54|2024|13100640000EB|170.09|170.23|130640017009|Same as 2023
54|2024|13100640000EB|172.62|174.1|130640017262|Same as 2023
54|2024|13100640000EB|174.1|175.31|130640017410|Same as 2023
54|2024|13100640000EB|175.31|176.16|130640017531|Same as 2023
54|2024|13100640000EB|176.16|178.43|130640017616|Same as 2023
54|2024|13100640000EB|178.43|181.12|130640017843|Same as 2023
54|2024|13100640000EB|181.12|182.02|130640018112|Same as 2023
54|2024|13100640000EB|182.02|184.02|130640018202|Same as 2023
54|2024|5040003010000|0.09|0.65|500030100009|Same as 2023
54|2024|5040003010000|0.65|0.68|500030100065|Same as 2023
54|2024|2540031010000|1.72|2.03|250310100172|Same as 2023
54|2024|3140061040000|0|0.25|310061040000|Same as 2023
54|2024|3140061040000|0.45|0.91|310610400045|Same as 2023
54|2024|11200330000EB|0|0.59|110330000000|Same as 2023
54|2024|11200330000EB|1.12|1.39|110330000112|Same as 2023
54|2024|11200330000EB|1.39|1.96|110330000139|Same as 2023
54|2024|11200330000EB|2.2|6.44|110330000220|Same as 2023
54|2024|11200330000EB|17.3|17.82|110330001730|Same as 2023
54|2024|11200330000EB|18.2|19.62|110330001820|Same as 2023
54|2024|11200330000EB|19.62|22.18|110330001962|Same as 2023
54|2024|11200330000EB|22.28|25.09|110330002228|Same as 2023
54|2024|11200330000EB|25.09|26.73|110330002509|Same as 2023
54|2024|3540005000000|0|1.47|350050000000|Same as 2023
54|2024|0274268001900|0|0.48|020426800000|Same as 2023
54|2024|4140009000000|5.28|5.54|410090000528|Same as 2023
54|2024|4030034000000|14.57|14.97|400340001457|Same as 2023
54|2024|4030034000000|15.27|15.39|400340001527|Same as 2023
54|2024|4030034000000|15.39|15.68|400340001539|Same as 2023
54|2024|4030034000000|15.68|17.018|400340001568|Same as 2023
54|2024|4030034000000|17.018|17.081|400340001702|Same as 2023
54|2024|4030034000000|17.081|18.41|400034017081|Same as 2023
54|2024|4030034000000|18.41|19.87|400340001841|Same as 2023
54|2024|5440014140000|0|0.66|540141400000|Same as 2023
54|2024|1740025060000|2.98|5.26|170250600298|Same as 2023
54|2024|1740011000000|0|1.14|170110000000|Same as 2023
54|2024|1740011000000|1.14|2.3|170110001140|Same as 2023
