RouteID|BMP|EMP|ValueDate|Comments|ValueNumeric|StateID|BeginDate|ValueText|DataItem
12200480000EB|0.0|0.1|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.1|0.2|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.2|0.3|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.3|0.4|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.4|0.5|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.5|0.6|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.6|0.7|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.7|0.8|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.8|0.9|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|0.9|1.0|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.0|1.1|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.1|1.2|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.2|1.3|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.3|1.4|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.4|1.5|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.5|1.6|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.6|1.7|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.7|1.8|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.8|1.9|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|1.9|2.0|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
12200480000EB|2.0|2.1|2018|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
