RouteID|BeginPoint|EndPoint|ValueDate|Comments|ValueNumeric|StateCode|BeginDate|ValueText|DataItem
06100640000EB|29.44|31.77|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200520000EB|0.33|0.45|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200520000EB|0.75|1.0|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200520000EB|1.0|1.01|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200520004NB|0.0|0.32|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200520004NB|0.321|0.46|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|2.97|3.07|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|6.97|7.51|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|7.59|7.96|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|7.96|8.43|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|8.43|8.78|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|8.78|8.82|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|8.82|9.5|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|9.56|9.92|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|9.92|10.27|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600000EB|15.59|17.29|2011|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
06200600001EB|0.0|0.39|2017|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002000000|0.1|0.2|2007|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002000000|0.2|0.21|2007|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002000000|9.98|10.08|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002000000|14.38|16.4|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002000000|16.4|16.5|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002000000|16.5|17.99|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002001300|0.0|0.1|2007|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002001300|0.1|0.17|2007|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002001300|0.17|0.2|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630002001300|0.2|0.39|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630010000000|15.69|15.82|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630010000000|15.82|16.27|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630010000000|17.46|18.41|2012|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630010000100|1.94|2.56|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630101000000|0.16|0.36|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630152000000|0.76|0.99|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0630193000000|0.46|3.55|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640001000000|2.1|2.224|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640001000000|2.477|2.619|2022|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640009000000|1.688|1.803|2010|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640013000000|0.02|0.42|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640017000000|4.05|4.17|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640017000000|4.3|4.41|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640017000000|4.47|5.02|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640021000000|0.537|0.9|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640021000000|0.9|1.51|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640021000000|1.51|2.939|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
