BeginDate|StateID|RouteID|BMP|EMP|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2024|54|2040060210000|0.0|1.0|last_overlay_thickness|2.0|||
01/01/2024|54|2430083000000|0.0|0.1|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.1|0.2|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.2|0.3|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.3|0.4|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.4|0.5|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.5|0.6|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.6|0.7|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.7|0.8|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.8|0.9|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|0.9|1.0|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.0|1.1|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.1|1.2|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.2|1.3|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.3|1.4|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.4|1.5|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.5|1.6|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.6|1.7|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.7|1.8|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.8|1.9|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|1.9|2.0|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.0|2.1|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.1|2.2|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.2|2.3|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.3|2.4|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.4|2.5|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.5|2.6|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.6|2.7|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.7|2.8|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.8|2.9|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|2.9|3.0|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.0|3.1|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.1|3.2|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.2|3.3|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.3|3.4|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.4|3.5|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.5|3.6|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.6|3.7|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.7|3.8|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.8|3.9|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|3.9|4.0|last_overlay_thickness|1.5|||
01/01/2024|54|2430083000000|4.0|4.1|last_overlay_thickness|1.5|||
