RouteID|BeginPoint|EndPoint|ValueNumeric|Comments|ValueDate|StateCode|BeginDate|ValueText|DataItem
0630002000000|16.4|16.5|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630002000000|16.5|17.99|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630002001300|0.0|0.1|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630002001300|0.1|0.17|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630002001300|0.17|0.2|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630002001300|0.2|0.39|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630010000000|15.69|15.82|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630010000000|15.82|16.27|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630010000000|17.46|18.41|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630010000100|1.94|2.56|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630101000000|0.16|0.36|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630152000000|0.76|0.99|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0630193000000|0.46|3.55|2.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640001000000|2.1|2.224|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640001000000|2.477|2.619|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640009000000|1.688|1.803|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640013000000|0.02|0.42|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640017000000|4.05|4.17|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640017000000|4.3|4.41|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640017000000|4.47|5.02|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640021000000|0.537|0.9|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640021000000|0.9|1.51|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640021000000|1.51|2.939|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640021000000|2.947|2.98|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640031000000|0.16|0.5|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640031060000|0.0|0.38|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640031060000|0.38|0.41|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640031060000|0.41|0.48|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640035000000|7.83|8.63|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
3530002000000|1.9|2.0|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
3530002000000|2.0|2.13|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
3530002000000|2.36|2.84|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
3530002000000|5.81|7.04|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
3530002000000|7.35|7.57|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640039000000|2.08|2.62|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
46201190000NB|6.05|6.54|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
46201190000NB|8.59|9.32|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640052030000|0.0|0.22|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
4140001000000|1.95|3.4|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640060050000|0.0|0.88|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
1771754001900|0.18|0.47|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
1771754001900|0.47|0.57|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
