County_Code,County,SignSys_Code,SignSysDescript,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
21,Lewis,4,"County Routes                                     ",545.11,84.12,1090.22,80.7,41.44,113.52,13.45,1
21,Lewis,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
21,Lewis,7,"Federal Aid Non-State (FANS)                      ",1.71,0.26,3.35,0.25,1.1,3.02,0.36,1
21,Lewis,8,"Harp Routes                                       ",8.83,1.36,17.66,1.31,0.07,0.2,0.02,1
21,Lewis,99,Total County,648.02,100,1350.9,100,307.98,843.78,100,2
22,Lincoln,1,"Interstates                                       ",0,0,0,0,0,0,0,1
22,Lincoln,2,"US Routes                                         ",4.74,0.73,18.96,1.44,18.01,49.33,16.42,1
22,Lincoln,3,"WV Routes                                         ",79.87,12.24,159.75,12.15,61.12,167.45,55.72,1
22,Lincoln,4,"County Routes                                     ",550.97,84.43,1101.94,83.82,30.42,83.33,27.73,1
22,Lincoln,6,"State Park and Forest Roads                       ",1.26,0.19,2.52,0.19,0,0.01,0,1
22,Lincoln,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
22,Lincoln,8,"Harp Routes                                       ",15.74,2.41,31.48,2.39,0.14,0.38,0.13,1
22,Lincoln,99,Total County,652.58,100,1314.65,100,109.69,300.5,100,2
23,Logan,1,"Interstates                                       ",0,0,0,0,0,0,0,1
23,Logan,2,"US Routes                                         ",20.78,3.98,78.46,7.04,63.96,175.23,27.26,1
23,Logan,3,"WV Routes                                         ",83.69,16.02,200.01,17.95,95.24,260.93,40.59,1
23,Logan,4,"County Routes                                     ",403.55,77.23,806.58,72.4,75.27,206.21,32.08,1
23,Logan,6,"State Park and Forest Roads                       ",5.1,0.98,10.2,0.92,0.07,0.18,0.03,1
23,Logan,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
23,Logan,8,"Harp Routes                                       ",9.41,1.8,18.82,1.69,0.09,0.23,0.04,1
23,Logan,99,Total County,522.53,100,1114.07,100,234.63,642.78,100,2
24,McDowell,1,"Interstates                                       ",0,0,0,0,0,0,0,1
24,McDowell,2,"US Routes                                         ",44.74,6.79,92.26,6.99,47.34,129.7,38.95,1
24,McDowell,3,"WV Routes                                         ",99.86,15.15,199.47,15.1,43.45,119.04,35.75,1
24,McDowell,4,"County Routes                                     ",451.94,68.57,903.89,68.44,29.89,81.9,24.6,1
24,McDowell,6,"State Park and Forest Roads                       ",2.07,0.31,4.14,0.31,0.02,0.04,0.01,1
24,McDowell,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
24,McDowell,8,"Harp Routes                                       ",60.46,9.17,120.93,9.16,0.83,2.29,0.69,1
24,McDowell,99,Total County,659.07,100,1320.69,100,121.53,332.97,100,2
25,Marion,1,"Interstates                                       ",20.87,2.79,62.92,4.13,201.48,552,45.02,1
25,Marion,2,"US Routes                                         ",50,6.68,100,6.57,105.75,289.71,23.63,1
25,Marion,3,"WV Routes                                         ",24.62,3.29,53.32,3.5,35.24,96.54,7.87,1
25,Marion,4,"County Routes                                     ",613.59,82,1227.68,80.65,94.52,258.95,21.12,1
25,Marion,6,"State Park and Forest Roads                       ",0.4,0.05,0.8,0.05,0,0.01,0,1
25,Marion,7,"Federal Aid Non-State (FANS)                      ",10.9,1.46,21.8,1.43,9.92,27.18,2.22,1
25,Marion,8,"Harp Routes                                       ",27.89,3.73,55.78,3.66,0.63,1.72,0.14,1
25,Marion,99,Total County,748.27,100,1522.3,100,447.54,1226.11,100,2
26,Marshall,1,"Interstates                                       ",0,0,0,0,0,0,0,1
26,Marshall,2,"US Routes                                         ",42.42,7.49,92.98,8,75.22,206.09,36.42,1
26,Marshall,3,"WV Routes                                         ",38.82,6.85,99.54,8.56,73.11,200.3,35.4,1
26,Marshall,4,"County Routes                                     ",474.65,83.8,949.3,81.64,56.25,154.12,27.24,1
26,Marshall,6,"State Park and Forest Roads                       ",0.39,0.07,0.78,0.07,0,0,0,1
26,Marshall,7,"Federal Aid Non-State (FANS)                      ",2.6,0.46,5.2,0.45,1.8,4.92,0.87,1
26,Marshall,8,"Harp Routes                                       ",7.51,1.33,15.02,1.29,0.14,0.37,0.07,1
26,Marshall,99,Total County,566.39,100,1162.82,100,206.52,565.8,100,2
27,Mason,1,"Interstates                                       ",0,0,0,0,0,0,0,1
27,Mason,2,"US Routes                                         ",21.15,2.73,78.54,4.95,25.07,68.68,10.9,1
27,Mason,3,"WV Routes                                         ",108.82,14.04,219.65,13.83,162.85,446.16,70.84,1
27,Mason,4,"County Routes                                     ",634.97,81.94,1269.94,79.97,41.49,113.68,18.05,1
27,Mason,6,"State Park and Forest Roads                       ",4.86,0.63,9.72,0.61,0.06,0.15,0.02,1
27,Mason,7,"Federal Aid Non-State (FANS)                      ",2.43,0.31,4.86,0.31,0.39,1.08,0.17,1
27,Mason,8,"Harp Routes                                       ",2.68,0.35,5.36,0.34,0.03,0.08,0.01,1
27,Mason,99,Total County,774.91,100,1588.07,100,229.89,629.83,100,2
28,Mercer,1,"Interstates                                       ",34.43,3.43,127.37,5.98,301.92,827.17,43.14,1
28,Mercer,2,"US Routes                                         ",77.29,7.7,216.18,10.14,197.18,540.22,28.18,1
28,Mercer,3,"WV Routes                                         ",86.93,8.66,176.59,8.29,115.8,317.27,16.55,1
28,Mercer,4,"County Routes                                     ",709.39,70.68,1420.15,66.64,76.85,210.55,10.98,1
28,Mercer,6,"State Park and Forest Roads                       ",9.27,0.92,18.55,0.87,0.07,0.2,0.01,1
28,Mercer,7,"Federal Aid Non-State (FANS)                      ",16.14,1.61,31.86,1.5,7.16,19.63,1.02,1
28,Mercer,8,"Harp Routes                                       ",70.15,6.99,140.31,6.58,0.84,2.29,0.12,1
28,Mercer,99,Total County,1003.6,100,2131.01,100,699.82,1917.33,100,2
29,Mineral,1,"Interstates                                       ",0,0,0,0,0,0,0,1
29,Mineral,2,"US Routes                                         ",27.77,6.81,55.54,6.82,40.28,110.36,25.64,1
29,Mineral,3,"WV Routes                                         ",67.89,16.64,135.78,16.67,78.42,214.84,49.91,1
29,Mineral,4,"County Routes                                     ",285.35,69.94,570.7,70.07,36.62,100.32,23.31,1
