County_Code,County,SignSys_Code,SignSysDescript,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
48,Tyler,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
48,Tyler,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
48,Tyler,8,"Harp Routes                                       ",1.71,0.42,3.42,0.42,0.03,0.07,0.04,1
48,Tyler,99,Total County,404.72,100,809.44,100,72.52,198.66,100,2
49,Upshur,1,"Interstates                                       ",0,0,0,0,0,0,0,1
49,Upshur,2,"US Routes                                         ",25.07,3.54,80.2,5.55,73.01,200.02,45.29,1
49,Upshur,3,"WV Routes                                         ",31.95,4.52,64.13,4.44,36.83,100.89,22.85,1
49,Upshur,4,"County Routes                                     ",640.6,90.55,1281.2,88.65,48.77,133.61,30.26,1
49,Upshur,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
49,Upshur,7,"Federal Aid Non-State (FANS)                      ",4.49,0.63,8.97,0.62,2.53,6.92,1.57,1
49,Upshur,8,"Harp Routes                                       ",5.35,0.76,10.7,0.74,0.06,0.17,0.04,1
49,Upshur,99,Total County,707.46,100,1445.2,100,161.2,441.61,100,2
50,Wayne,1,"Interstates                                       ",6.7,0.78,24.32,1.39,56.87,155.8,20.25,1
50,Wayne,2,"US Routes                                         ",56.7,6.56,126.89,7.24,75.9,207.94,27.03,1
50,Wayne,3,"WV Routes                                         ",87.24,10.1,174.56,9.96,85.56,234.41,30.47,1
50,Wayne,4,"County Routes                                     ",694.97,80.43,1389.94,79.31,59.48,162.96,21.18,1
50,Wayne,6,"State Park and Forest Roads                       ",5.92,0.69,11.83,0.67,0.06,0.18,0.02,1
50,Wayne,7,"Federal Aid Non-State (FANS)                      ",2.47,0.29,4.95,0.28,2.87,7.86,1.02,1
50,Wayne,8,"Harp Routes                                       ",10.08,1.17,20.16,1.15,0.1,0.28,0.04,1
