RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
5140003000000|8.08|10.38|0.4|Curves_F|01/01/2024|||54|
3174810001900|0.0|0.76|0.07|Curves_F|01/01/2024|||54|
13202190000NB|7.43|8.59|0.497|Curves_F|01/01/2024|||54|
0240036010000|1.6|1.98|0.03|Curves_F|01/01/2024|||54|
3140060020000|0.0|0.26|0.255|Curves_F|01/01/2024|||54|
0240034000000|2.51|3.42|0.409|Curves_F|01/01/2024|||54|
31200190000NB|10.59|11.08|0.064|Curves_F|01/01/2024|||54|
52202500000NB|5.54|6.88|0.101|Curves_F|01/01/2024|||54|
52202500000NB|7.02|7.97|0.061|Curves_F|01/01/2024|||54|
52202500000NB|9.63|11.07|0.508|Curves_F|01/01/2024|||54|
2840007050000|0.343|1.11|0.056|Curves_F|01/01/2024|||54|
2840007050000|1.11|1.83|0.037|Curves_F|01/01/2024|||54|
2840007050000|1.836|2.1|0.068|Curves_F|01/01/2024|||54|
0140010000000|7.41|8.63|0.269|Curves_F|01/01/2024|||54|
2071068001900|0.0|0.48|0.094|Curves_F|01/01/2024|||54|
4272252001900|0.0|0.39|0.066|Curves_F|01/01/2024|||54|
2540060000000|2.11|2.61|0.075|Curves_F|01/01/2024|||54|
2540250180000|0.08|0.85|0.186|Curves_F|01/01/2024|||54|
2840014000000|0.0|0.63|0.216|Curves_F|01/01/2024|||54|
4040012000000|4.71|8.19|0.224|Curves_F|01/01/2024|||54|
4040012000000|8.19|10.77|0.147|Curves_F|01/01/2024|||54|
1030061000000|0.0|1.12|0.092|Curves_F|01/01/2024|||54|
4130041000000|0.0|0.71|0.064|Curves_F|01/01/2024|||54|
5430014000100|0.0|0.63|0.039|Curves_F|01/01/2024|||54|
4730032000000|0.0|3.26|1.611|Curves_F|01/01/2024|||54|
4730032000000|3.26|4.88|0.002|Curves_F|01/01/2024|||54|
1577269001900|0.65|0.97|0.029|Curves_F|01/01/2024|||54|
44200330000EB|4.33|5.61|0.056|Curves_F|01/01/2024|||54|
44200330000EB|6.75|9.1|0.202|Curves_F|01/01/2024|||54|
4140030000000|4.27|4.52|0.043|Curves_F|01/01/2024|||54|
4140006000000|0.0|0.14|0.051|Curves_F|01/01/2024|||54|
3174772001900|0.0|0.1|0.057|Curves_F|01/01/2024|||54|
3174772001900|0.1|0.27|0.048|Curves_F|01/01/2024|||54|
3174772001900|0.27|0.42|0.061|Curves_F|01/01/2024|||54|
2430016000000|16.06|19.56|0.012|Curves_F|01/01/2024|||54|
2430016000000|20.79|22.05|0.021|Curves_F|01/01/2024|||54|
2430016000000|29.19|29.41|0.024|Curves_F|01/01/2024|||54|
07200330000EB|3.68|5.03|0.158|Curves_F|01/01/2024|||54|
07200330000EB|10.13|14.3|0.118|Curves_F|01/01/2024|||54|
1740020750000|1.26|1.48|0.14|Curves_F|01/01/2024|||54|
1740023090000|7.77|8.94|0.051|Curves_F|01/01/2024|||54|
0240005000000|5.9|7.94|0.097|Curves_F|01/01/2024|||54|
4140019210000|3.73|5.14|0.362|Curves_F|01/01/2024|||54|
2430083000000|0.0|6.42|0.23|Curves_F|01/01/2024|||54|
2430083000000|14.092|17.6|0.019|Curves_F|01/01/2024|||54|
0274259001900|0.0|0.17|0.035|Curves_F|01/01/2024|||54|
0274259001900|0.17|0.61|0.119|Curves_F|01/01/2024|||54|
1771754001900|0.18|0.47|0.011|Curves_F|01/01/2024|||54|
1771754001900|0.47|0.57|0.05|Curves_F|01/01/2024|||54|
1740050160000|0.12|0.54|0.024|Curves_F|01/01/2024|||54|
3140007210000|0.0|1.11|0.368|Curves_F|01/01/2024|||54|
2870514001900|0.6|1.41|0.446|Curves_F|01/01/2024|||54|
2870514001900|1.41|1.52|0.077|Curves_F|01/01/2024|||54|
1940003000000|1.403|1.82|0.043|Curves_F|01/01/2024|||54|
1940003000000|1.82|2.02|0.02|Curves_F|01/01/2024|||54|
0274256001900|0.0|0.66|0.075|Curves_F|01/01/2024|||54|
1577271001900|0.4|1.18|0.13|Curves_F|01/01/2024|||54|
