mp|len_feet|RouteID|barsid|latitude|longitude|len_mile_half|len_mile|bmp|emp|error
12.716|103.5|35100700000WB|35A152|40.08308|-80.54678|0.00980145|0.0196029|12.706|12.726|
12.717|103.1|35100700000EB|35A153|40.08291|-80.54653|0.00976357|0.01952714|12.707|12.727|
12.768|198.0|44200330000EB|44A192|38.80093|-81.3491|0.0187506|0.0375012|12.749|12.787|
12.841|172.3|4940032000000|49A150|38.81955|-81.21392|0.01631681|0.03263362|12.825|12.857|
13.035|196.9|28200520024EB|28A313|37.27382|-81.16419|0.01864643|0.03729286|13.016|13.054|
13.206|52.3|2040015000000|20A898|38.30852|-81.70102|0.004952809999999999|0.009905619999999999|13.201|13.211|
13.947|69.9|35200400000WB|35A151|40.09841|-80.5554|0.00661953|0.01323906|13.94|13.954|
14.572|156.8|06100640000WB|06A319|38.41344|-82.34812|0.01484896|0.02969792|14.557|14.587|
15.66|105.0|4530020000000|45A098|37.68191|-80.87572|0.0099435|0.019887|15.65|15.67|
16.156|102.6|1040015000000|10A326|38.01859|-81.35285|0.00971622|0.01943244|16.146|16.166|
17.174|157.5|2040079030000|20A954|38.18214|-81.46837|0.01491525|0.0298305|17.159|17.189|
17.525|1224.1|06100640000EB|06A320|38.42207|-82.29908|0.11592227|0.23184454|17.409|17.641|
18.077|242.8|06100640000WB|06A321|38.41928|-82.29004|0.02299316|0.04598632|18.054|18.1|
18.495|92.5|06100640000EB|06A322|38.4171|-82.28276|0.00875975|0.0175195|18.486|18.504|
19.284|323.0|06100640000WB|06A323|38.41586|-82.26806|0.0305881|0.0611762|19.253|19.315|
19.74|130.5|06100640000WB|06A324|38.41805|-82.26109|0.01235835|0.0247167|19.728|19.752|
20.257|353.0|06100640000WB|06A325|38.4211|-82.25215|0.0334291|0.06685819999999999|20.224|20.29|
20.6|128.8|4730072000000|47A097|39.11372|-79.67819|0.01219736|0.02439472|20.588|20.612|
26.16|1700.9|02200110000NB|02A182|39.60003|-77.83052|0.16107523|0.32215046|25.999|26.321|EMP out of bounds. Actual EMP: 26.16
27.665|37.3|24200520000EB|24A385|37.42968|-81.50831|0.003532309999999999|0.007064619999999999|27.661|27.669|
30.585|117.8|1730020000000|17A364|39.36742|-80.41034|0.01115566|0.02231132|30.574|30.596|
36.529|83.0|5530010000000|55A254|37.69187|-81.62363|0.0078601|0.0157202|36.521|36.537|
38.234|73.2|0330003000000|03A201|37.99716|-81.54392|0.00693204|0.01386408|38.227|38.241|
132.899|853.5|25100790000SB|25A279|39.43964|-80.17496|0.08082645|0.1616529|132.818|132.98|
143.791|72.0|31100790000NB|31A334|39.52001|-80.01591|0.0068184|0.0136368|143.784|143.798|
