RouteID,BMP,EMP,thickness_rigid_13_ValueNumeric,thickness_rigid_14_ValueNumeric,thickness_rigid_15_ValueNumeric
12200480000EB,0.7,0.8,10,10.0,10.0
12200480000EB,0.8,0.9,10,10.0,10.0
12200480000EB,0.9,1,10,10.0,10.0
12200480000EB,1,1.1,10,10.0,10.0
12200480000EB,1.1,1.2,10,10.0,10.0
12200480000EB,1.2,1.3,10,10.0,10.0
12200480000EB,1.3,1.4,10,10.0,10.0
12200480000EB,1.4,1.5,10,10.0,10.0
12200480000EB,1.5,1.6,10,10.0,10.0
12200480000EB,1.6,1.7,10,10.0,10.0
12200480000EB,1.7,1.8,10,10.0,10.0
12200480000EB,1.8,1.9,10,10.0,10.0
12200480000EB,1.9,2,10,10.0,10.0
12200480000EB,2,2.1,10,10.0,10.0
12200480000EB,2.1,2.2,10,10.0,10.0
12200480000EB,2.2,2.3,10,10.0,10.0
12200480000EB,2.3,2.4,10,10.0,10.0
12200480000EB,2.4,2.5,10,10.0,10.0
12200480000EB,2.5,2.6,10,10.0,10.0
12200480000EB,2.6,2.7,10,10.0,10.0
12200480000EB,2.7,2.8,10,10.0,10.0
12200480000EB,2.8,2.9,10,10.0,10.0
12200480000EB,2.9,3,10,10.0,10.0
12200480000EB,3,3.1,10,10.0,10.0
12200480000EB,3.1,3.2,10,10.0,10.0
12200480000EB,3.2,3.3,10,10.0,10.0
12200480000EB,3.3,3.4,10,10.0,10.0
12200480000EB,3.4,3.5,10,10.0,10.0
12200480000EB,3.5,3.6,10,10.0,10.0
12200480000EB,3.6,3.7,10,10.0,10.0
12200480000EB,3.7,3.8,10,10.0,10.0
12200480000EB,3.8,3.9,10,10.0,10.0
12200480000EB,3.9,4,10,10.0,10.0
12200480000EB,4,4.1,10,10.0,10.0
12200480000EB,4.1,4.2,10,10.0,10.0
12200480000EB,4.2,4.3,10,10.0,10.0
12200480000EB,4.3,4.4,10,10.0,10.0
12200480000EB,4.4,4.5,10,10.0,10.0
12200480000EB,4.5,4.6,10,10.0,10.0
12200480000EB,4.6,4.7,10,10.0,10.0
12200480000EB,4.7,4.8,10,10.0,10.0
12200480000EB,4.8,4.9,10,10.0,10.0
12200480000EB,4.9,5,10,10.0,10.0
12200480000EB,5,5.1,10,10.0,10.0
12200480000EB,5.1,5.2,10,10.0,10.0
12200480000EB,5.2,5.3,10,,10.0
12200480000EB,5.3,5.4,10,10.0,10.0
12200480000EB,5.4,5.5,10,10.0,10.0
12200480000EB,5.5,5.6,10,10.0,10.0
12200480000EB,5.6,5.7,10,10.0,10.0
12200480000EB,5.7,5.8,10,10.0,10.0
12200480000EB,5.8,5.82,10,10.0,10.0
2040114010000,0,1.07,,,3.0
21100790000NB,98.4,98.63,9,,
17200500000EB,11.38,12.29,,,8.0
15200300000EB,0.53,0.61,,,7.0
20100640000EB,57.48,57.92,8,,
20100640000EB,57.92,58.3,9,,
28204600000EB,0.029,1.06,,,9.0
28204600000EB,1.33,2.9,,,9.0
28204600000EB,2.9,3.09,,,9.0
28204600000EB,4.29,5.38,,,9.0
28204600000EB,13.48,14.72,,,9.0
28204600000EB,14.72,15.15,,,9.0
42200330000EB,7.76,8.05,4,,
1930051000000,8.66,8.78,10,10.0,10.0
4130307000000,7.42,8.45,11,11.0,11.0
0230009000000,10.12,10.37,10,,
0230009000000,17.07,17.1,10,10.0,10.0
0230009000000,17.1,17.2,10,10.0,10.0
0230009000000,17.2,17.3,10,10.0,10.0
0230009000000,17.3,17.4,10,10.0,10.0
0230009000000,17.4,17.48,10,10.0,10.0
0230009000000,18.18,18.2,10,10.0,10.0
0230009000000,18.2,18.3,10,10.0,10.0
0230009000000,18.3,18.4,10,10.0,10.0
0230009000000,18.4,18.5,10,10.0,10.0
0230009000000,18.5,18.6,10,10.0,10.0
0230009000000,18.6,18.7,10,10.0,10.0
0230009000000,18.7,18.8,10,10.0,10.0
0230009000000,18.8,18.9,10,10.0,10.0
0230009000000,18.9,19,10,10.0,10.0
0230009000000,19,19.1,10,10.0,10.0
0230009000000,19.1,19.2,10,10.0,10.0
0230009000000,19.2,19.3,10,10.0,10.0
0230009000000,19.3,19.4,10,10.0,10.0
0230009000000,19.4,19.5,10,10.0,10.0
0230009000000,19.5,19.6,10,10.0,10.0
0230009000000,19.6,19.7,10,10.0,10.0
0230009000000,19.7,19.8,10,10.0,10.0
0230009000000,19.8,19.9,10,10.0,10.0
0230009000000,19.9,20,10,10.0,10.0
0230009000000,20,20.1,10,10.0,10.0
0230009000000,20.1,20.16,10,10.0,10.0
01200330000EB,0,0.1,10,10.0,10.0
01200330000EB,0.1,0.2,10,10.0,10.0
01200330000EB,0.2,0.3,10,10.0,10.0
01200330000EB,0.3,0.4,10,10.0,10.0
01200330000EB,0.4,0.5,10,10.0,10.0
01200330000EB,0.5,0.6,10,10.0,10.0
01200330000EB,0.6,0.7,10,10.0,10.0
01200330000EB,0.7,0.8,10,10.0,10.0
01200330000EB,0.8,0.9,10,10.0,10.0
01200330000EB,0.9,1,10,10.0,10.0
01200330000EB,1,1.1,10,10.0,10.0
01200330000EB,1.1,1.2,10,10.0,10.0
01200330000EB,1.2,1.3,10,10.0,10.0
01200330000EB,1.3,1.4,10,10.0,10.0
01200330000EB,1.4,1.5,10,10.0,10.0
01200330000EB,1.5,1.6,10,10.0,10.0
01200330000EB,1.6,1.7,10,10.0,10.0
01200330000EB,1.7,1.8,10,10.0,10.0
01200330000EB,1.8,1.87,10,10.0,10.0
19203400000NB,6.9,7,10,10.0,10.0
19203400000NB,7,7.1,10,10.0,10.0
19203400000NB,7.1,7.2,10,10.0,10.0
19203400000NB,7.2,7.3,10,10.0,10.0
19203400000NB,7.3,7.4,10,10.0,10.0
19203400000NB,7.4,7.5,10,10.0,10.0
19203400000NB,7.5,7.6,10,10.0,10.0
19203400000NB,7.6,7.7,10,10.0,10.0
19203400000NB,7.7,7.8,10,10.0,10.0
19203400000NB,7.8,7.9,10,10.0,10.0
19203400000NB,7.9,8,10,10.0,10.0
19203400000NB,8,8.1,10,10.0,10.0
19203400000NB,8.1,8.2,10,10.0,10.0
19203400000NB,8.2,8.3,10,10.0,10.0
19203400000NB,8.3,8.4,10,10.0,10.0
19203400000NB,8.4,8.5,10,10.0,10.0
19203400000NB,8.5,8.56,10,10.0,10.0
19203400000NB,8.56,8.6,10,10.0,10.0
19203400000NB,8.6,8.627,10,10.0,10.0
19203400000NB,8.627,8.7,10,10.0,10.0
19203400000NB,8.7,8.8,10,10.0,10.0
19203400000NB,8.8,8.9,10,10.0,10.0
19203400000NB,8.9,9,10,10.0,10.0
19203400000NB,9,9.1,10,10.0,10.0
19203400000NB,9.1,9.13,10,10.0,10.0
19203400000NB,9.13,9.2,10,10.0,10.0
19203400000NB,9.2,9.3,10,10.0,10.0
19203400000NB,9.3,9.38,10,10.0,10.0
19203400000NB,9.38,9.4,10,10.0,10.0
19203400000NB,9.4,9.5,10,10.0,10.0
19203400000NB,9.5,9.55,,,10.0
19203400000NB,9.6,9.7,,10.0,10.0
19203400000NB,9.7,9.8,,10.0,10.0
19203400000NB,9.8,9.9,,10.0,10.0
19203400000NB,9.9,10,,10.0,10.0
19203400000NB,10,10.1,,10.0,10.0
19203400000NB,10.1,10.2,,10.0,10.0
