RouteID,BMP,EMP,Sample_ID,LRS_SURFACE_TYPE
0230009000000,10.59,10.893,020090001052,3.0
0230009000000,10.893,11.243,020090001084,3.0
0230009000000,14.0,14.2,020090001400,6.0
0230009000000,14.55,14.9,020090001455,6.0
0230009000000,15.57,15.79,020090001557,6.0
0230009000000,15.79,16.09,020090001579,6.0
0230009000000,17.07,17.48,020090001707,6.0
0230009000000,18.18,20.16,020090001818,6.0
2930046000000,15.38,16.59,290460001538,7.0
12200480000EB,0.0,5.82,120480000000,3.0
3140068070000,0.25,0.75,310680700025,2.1
3140068070000,0.75,1.32,310680700075,2.1
3140068070000,1.61,2.15,310680700161,2.1
2774502001900,0.0,0.17,270450200000,2.1
1374103001900,0.0,0.31,130410300000,2.1
1330063000000,6.06,7.63,130630000606,6.0
2540250310000,0.0,0.55,252503100000,2.1
2870502001900,0.0,1.01,280050200000,2.1
2870502001900,1.01,1.36,280502M0101,2.1
2870502001900,1.36,1.6,280050200136,2.1
2870502001900,1.6,1.78,280050200160,2.1
2870502001900,1.78,1.91,280050200178,2.1
0640031000000,0.16,0.5,060310000016,2.1
1840021000000,0.0,0.36,180210000000,2.1
1840021000000,19.64,20.96,180210001964,2.1
1840021000000,28.32,29.88,180210002832,2.1
2877012001900,0.0,0.96,280701200000,2.1
2630002000000,10.22,11.92,260020001022,2.1
2630002000000,13.46,13.89,260020001346,2.1
2630002000000,18.24,18.76,260020001824,2.1
2630002000000,19.53,19.8,260020001953,2.1
0140011000000,3.05,3.78,010110000307,2.1
2640010000000,0.0,0.423,260100000000,2.1
2540250500000,0.0,0.39,252505000000,2.1
31100680004NB,0.0,0.84,31068N000000,2.1
3174810001900,0.0,0.76,310481000000,2.1
4640044080000,0.0,0.33,460440800000,2.1
4640044080000,0.33,0.45,460440800033,2.1
4640044080000,0.45,0.69,460044080045,2.1
4640044080000,0.69,0.72,460440800069,2.1
36200330000EB,5.49,5.92,360330000549,2.1
36200330000EB,33.184,33.783,360330003321,2.1
2740035110000,0.0,0.37,270351100000,2.1
1040015000000,0.0,1.58,100150000000,2.1
2030114000000,0.5,1.44,201140000050,2.1
5475759001900,0.0,0.48,540575900000,1.3
2030622000000,1.96,2.13,206220000196,2.1
2030622000000,2.13,2.23,206220002130,2.1
2030622000000,2.32,2.72,206220000232,2.1
2030622000000,2.72,3.79,206220000272,2.1
2030622000000,4.23,5.57,206220000423,2.1
2030622000000,13.94,16.86,206220001394,2.1
2940028010000,0.0,0.1,290280100000,6.0
2940028010000,0.1,1.09,290280100010,6.0
2940028010000,1.19,2.14,290280100119,6.0
2940028010000,2.31,2.45,290280100231,6.0
0630152000000,0.76,0.99,061520000076,2.1
0830004000000,15.75,19.01,080040001575,2.1
0830004000000,21.98,22.98,080040002198,2.1
0140030000000,6.14,6.83,010300000614,2.1
32202190000NB,1.92,7.87,322190000192,2.1
32202190000NB,14.38,16.18,322190001438,2.1
32202190000NB,16.18,19.24,322190001618,2.1
32202190000NB,19.24,19.66,322190001924,2.1
32202190000NB,19.66,21.45,322190001966,2.1
32202190000NB,21.45,23.0,322190001966,6.0
32202190000NB,24.92,26.24,322190002492,2.1
32202190000NB,26.24,28.68,322190002624,2.1
0140030070000,0.0,0.92,010300700000,2.1
0140030070000,0.92,2.0,010300700092,2.1
06100640000EB,5.87,6.47,060640000587,2.1
06100640000EB,6.47,6.74,060640000647,2.1
06100640000EB,6.74,7.26,060640000674,2.1
06100640000EB,7.26,7.72,060640000726,2.1
06100640000EB,7.72,8.19,060640000772,2.1
06100640000EB,8.19,9.22,060640000819,2.1
06100640000EB,9.22,9.52,060640000922,2.1
06100640000EB,17.68,18.08,060640001768,2.1
06100640000EB,18.08,18.49,060640001808,2.1
06100640000EB,18.49,19.32,060640001849,2.1
06100640000EB,19.32,19.71,060640001932,2.1
06100640000EB,19.71,20.19,060640001971,2.1
06100640000EB,20.19,21.04,060640002019,2.1
06100640000EB,21.04,21.16,060640002104,2.1
06100640000EB,21.16,21.75,060640002116,2.1
06100640000EB,21.75,22.39,060640002175,2.1
06100640000EB,27.11,27.55,060640002711,2.1
06100640000EB,27.55,28.67,060640002755,2.1
06100640000EB,28.67,29.44,060640002867,2.1
06100640000EB,29.44,31.77,060640002944,2.1
2540072000000,1.02,1.79,250720000102,2.1
2540072000000,2.07,2.67,250720000207,2.1
1540003060000,2.171,2.32,150030602171,2.1
52202500000NB,1.18,1.89,522500000118,2.1
52202500000NB,5.54,6.88,522500000554,2.1
52202500000NB,7.02,7.97,522500000702,2.1
52202500000NB,8.1,8.64,522500000810,2.1
52202500000NB,8.68,9.05,522500000868,2.1
52202500000NB,9.05,9.2,522500000905,2.1
