BeginDate|StateID|RouteID|BeginPoint|EndPoint|ValueNumeric|DataItem|Comment|ValueText|ValueDate
01/01/2025|54|5430002000000|23.11|29.46|2.0|NHFN|||
01/01/2025|54|5530121002400|0.0|1.08|2.0|NHFN|||
01/01/2025|54|5530121002400|8.17|11.33|2.0|NHFN|||
01/01/2025|54|5530121002400|11.33|16.51|2.0|NHFN|||
01/01/2025|54|5530121002400|1.08|8.17|2.0|NHFN|||
01/01/2025|54|5530121000000|16.952|19.112|2.0|NHFN|||
01/01/2025|54|5530121002400|16.51|16.95|2.0|NHFN|||
01/01/2025|54|24200520024EB|0.0|6.35|2.0|NHFN|||
01/01/2025|54|55200520024EB|4.7|12.508|2.0|NHFN|||
01/01/2025|54|55200520024EB|0.0|4.7|2.0|NHFN|||
01/01/2025|54|0240001000000|0.0|0.425|3.0|NHFN|||
01/01/2025|54|0240001080000|0.0|0.85|3.0|NHFN|||
01/01/2025|54|0240011210000|0.0|0.33|3.0|NHFN|||
01/01/2025|54|0240011270000|0.0|1.15|3.0|NHFN|||
01/01/2025|54|0240011650000|0.86|1.01|3.0|NHFN|||
01/01/2025|54|0240032000000|1.32|2.57|3.0|NHFN|||
01/01/2025|54|0240009300000|0.0|0.23|3.0|NHFN|||
01/01/2025|54|02200110000NB|6.0|8.08|3.0|NHFN|||
01/01/2025|54|02200110000NB|8.31|9.62|3.0|NHFN|||
01/01/2025|54|02200110000NB|10.4|11.58|3.0|NHFN|||
01/01/2025|54|02200110000NB|16.41|16.96|3.0|NHFN|||
01/01/2025|54|02200110000NB|19.66|20.79|3.0|NHFN|||
01/01/2025|54|02200110000NB|22.41|23.57|3.0|NHFN|||
01/01/2025|54|0230045000000|14.3|16.21|3.0|NHFN|||
01/01/2025|54|0230051000000|4.54|5.23|3.0|NHFN|||
01/01/2025|54|0230009000000|10.434|11.75|3.0|NHFN|||
01/01/2025|54|0230901000000|5.12|5.65|3.0|NHFN|||
01/01/2025|54|0530002000000|5.72|15.61|3.0|NHFN|||
01/01/2025|54|0640060210000|0.0|0.51|3.0|NHFN|||
01/01/2025|54|0640013000000|0.0|0.44|3.0|NHFN|||
01/01/2025|54|06200520000EB|0.0|1.31|3.0|NHFN|||
01/01/2025|54|06200600000EB|1.12|2.88|3.0|NHFN|||
01/01/2025|54|06200600000EB|9.13|12.52|3.0|NHFN|||
01/01/2025|54|0630002000000|2.2|5.63|3.0|NHFN|||
01/01/2025|54|0630527000000|1.04|3.22|3.0|NHFN|||
01/01/2025|54|0630010000000|15.88|18.58|3.0|NHFN|||
01/01/2025|54|19203400000NB|12.03|12.5|3.0|NHFN|||
01/01/2025|54|19203400000NB|9.04|9.6|3.0|NHFN|||
01/01/2025|54|19203400000SB|7.93|8.98|3.0|NHFN|||
01/01/2025|54|1930009000000|7.11|8.89|3.0|NHFN|||
