,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
170,2540054000000,0.0,0.183,2,same as 2020,,54,01/01/2022,,BASE_TYPE
171,2540064020000,0.0,0.24,2,same as 2020,,54,01/01/2022,,BASE_TYPE
172,2540072020000,0.0,0.5,1,same as 2020,,54,01/01/2022,,BASE_TYPE
173,2540072020000,0.5,0.72,2,same as 2020,,54,01/01/2022,,BASE_TYPE
174,2540072020000,0.72,1.17,1,same as 2020,,54,01/01/2022,,BASE_TYPE
175,2540072020000,1.17,1.71,1,same as 2020,,54,01/01/2022,,BASE_TYPE
176,2540072020000,1.76,1.93,1,same as 2020,,54,01/01/2022,,BASE_TYPE
177,2540072040000,0.0,0.13,2,same as 2020,,54,01/01/2022,,BASE_TYPE
178,2540250180000,0.08,0.85,1,same as 2020,,54,01/01/2022,,BASE_TYPE
179,2540250310000,0.0,0.55,1,same as 2020,,54,01/01/2022,,BASE_TYPE
180,2540250550000,0.045,0.29,2,same as 2020,,54,01/01/2022,,BASE_TYPE
181,31200190000NB,8.29,8.806,6,same as 2020,,54,01/01/2022,,BASE_TYPE
182,31200190000NB,8.99,9.16,2,same as 2020,,54,01/01/2022,,BASE_TYPE
183,31200190000NB,9.54,9.94,6,same as 2020,,54,01/01/2022,,BASE_TYPE
184,31200190000NB,10.59,11.08,6,same as 2020,,54,01/01/2022,,BASE_TYPE
185,31200190000NB,11.51,12.33,6,same as 2020,,54,01/01/2022,,BASE_TYPE
186,31200190000NB,13.74,14.19,2,same as 2020,,54,01/01/2022,,BASE_TYPE
187,31200190000NB,14.25,14.3,6,same as 2020,,54,01/01/2022,,BASE_TYPE
188,31200190000NB,14.3,14.35,6,same as 2020,,54,01/01/2022,,BASE_TYPE
189,31200190000NB,14.44,14.5,2,same as 2020,,54,01/01/2022,,BASE_TYPE
190,31200190000NB,14.5,14.8,2,same as 2020,,54,01/01/2022,,BASE_TYPE
191,31200190000NB,14.8,14.98,2,same as 2020,,54,01/01/2022,,BASE_TYPE
