,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
0,04100790000NB,53.27,54.18,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
1,04100790000NB,49.73,50.35,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
2,04100790000NB,69.32,70.83,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
3,04100790000NB,67.52,69.32,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
4,04100790000NB,78.41,79.08,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
5,04100790000NB,63.46,64.83,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
6,04100790000NB,79.08,83.15,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
7,04100790000NB,70.83,78.41,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
8,04100790000NB,64.83,67.52,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
9,04100790000NB,61.47,62.04,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
10,04100790000NB,51.61,52.61,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
11,04100790000NB,57.51,59.0,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
12,04100790000NB,46.22,49.73,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
13,04100790000NB,62.04,63.46,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
14,04100790000NB,50.35,51.61,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
15,04100790000NB,59.0,61.47,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
16,04100790000NB,52.61,53.27,9,,,54,01/01/2022,,THICKNESS_FLEXIBLE
17,21100790000NB,87.45,90.82,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
18,21100790000NB,96.17,97.13,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
19,21100790000NB,90.82,96.17,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
20,21100790000NB,100.39,101.69,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
21,21100790000NB,101.69,104.15,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
22,21100790000NB,104.69,106.42,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
23,21100790000NB,83.55,87.45,7,,,54,01/01/2022,,THICKNESS_FLEXIBLE
24,21100790000NB,98.63,98.925,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
25,21100790000NB,97.13,98.287,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
26,21100790000NB,98.4,98.63,5,,,54,01/01/2022,,THICKNESS_FLEXIBLE
27,5430014000000,15.19,15.32,2,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
28,5430014000000,15.32,15.45,2,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
29,5430014000000,16.1,16.76,2,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
30,39100680000EB,31.42,32.06,8,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
31,39202190000NB,0.0,0.8,8,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
32,39202190000NB,0.8,3.01,8,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
33,39202190000NB,3.01,3.31,8,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
34,39202190000NB,3.31,4.76,8,same as 2020,,54,01/01/2022,,THICKNESS_FLEXIBLE
