,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
62,4940151000000,1.13,1.6,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
63,49201190000NB,5.38,5.6,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
64,4930020000000,22.87,23.54,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
65,5130015000000,6.3,8.48,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
66,4940151000000,0.34,0.64,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
67,49200330000EB,2.51,4.0,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
68,49200330000EB,1.22,2.51,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
69,4940012000000,2.57,4.26,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
70,4940009010000,0.0,0.97,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
71,4940012000000,1.53,2.57,1.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
72,5140003000000,8.08,10.38,2.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
73,4940001000000,2.28,3.17,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
74,06100640000EB,5.87,6.0,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
75,06100640000EB,6.0,6.1,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
76,06100640000EB,6.1,6.47,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
77,06100640000EB,6.47,6.74,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
78,06100640000EB,6.74,7.2,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
79,06100640000EB,7.2,7.26,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
80,06100640000EB,7.26,7.3,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
81,06100640000EB,7.3,7.72,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
82,06100640000EB,7.72,8.19,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
83,06100640000EB,8.19,9.22,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
84,06100640000EB,9.22,9.52,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
85,06100640000EB,11.02,11.37,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
86,06100640000EB,11.37,14.53,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
87,06100640000EB,14.57,17.5,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
88,06100640000EB,17.5,17.68,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
89,06100640000EB,17.68,17.7,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
90,06100640000EB,17.7,18.0,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
91,06100640000EB,18.0,18.08,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
92,06100640000EB,18.08,18.1,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
93,06100640000EB,18.1,18.49,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
94,06100640000EB,18.49,19.3,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
95,06100640000EB,19.3,19.32,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
96,06100640000EB,19.32,19.4,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
97,06100640000EB,19.4,19.71,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
98,06100640000EB,19.71,20.19,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
99,06100640000EB,20.19,20.2,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
100,06100640000EB,20.2,20.3,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
101,06100640000EB,20.3,21.04,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
102,06100640000EB,21.04,21.16,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
103,06100640000EB,21.16,21.75,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
104,06100640000EB,21.75,22.39,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
105,06100640000EB,22.39,22.4,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
106,06100640000EB,22.4,22.5,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
107,06100640000EB,22.5,25.2,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
108,06100640000EB,25.2,25.3,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
109,06100640000EB,25.3,27.11,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
110,06100640000EB,27.11,27.55,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
111,06100640000EB,27.55,28.67,9.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
112,06100640000EB,28.67,29.44,9.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
113,06100640000EB,29.44,31.77,9.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
114,06200520000EB,0.33,0.45,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
115,06200520000EB,0.75,1.0,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
116,06200520000EB,1.0,1.01,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
117,06200520004NB,0.0,0.32,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
118,06200520004NB,0.321,0.46,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
119,06200600000EB,2.97,3.07,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
120,06200600000EB,6.97,7.51,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
121,06200600000EB,7.59,7.96,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
122,06200600000EB,7.96,8.43,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
123,06200600000EB,8.43,8.78,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
124,06200600000EB,8.78,8.82,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
