BeginDate|StateID|RouteID|BMP|EMP|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2024|54|3130705000000|0.0|0.51|thickness_rigid|10.0|||
01/01/2024|54|3130705000000|0.68|1.23|thickness_rigid|10.0|||
01/01/2024|54|3130705000000|1.23|1.64|thickness_rigid|10.0|||
01/01/2024|54|3130705000000|1.64|1.81|thickness_rigid|10.0|||
01/01/2024|54|42202500000NB|9.71|9.77|thickness_rigid|7.0|||
01/01/2024|54|42202500000NB|9.77|10.42|thickness_rigid|7.0|||
01/01/2024|54|42202500000NB|10.42|12.45|thickness_rigid|7.0|||
01/01/2024|54|0240005000000|5.9|7.94|thickness_rigid|10.0|||
01/01/2024|54|5140003000000|8.08|10.38|thickness_rigid|2.0|||
01/01/2024|54|17200500000EB|11.38|12.29|thickness_rigid|8.0|||
01/01/2024|54|1930009000000|0.0|0.059|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.059|0.1|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.1|0.2|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.2|0.3|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.3|0.4|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.4|0.5|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.5|0.6|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.6|0.7|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.7|0.8|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.8|0.9|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|0.9|1.0|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.0|1.1|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.1|1.2|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.2|1.3|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.3|1.4|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.4|1.45|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.45|1.5|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.5|1.6|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.6|1.7|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.7|1.8|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.8|1.9|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|1.9|2.0|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.0|2.1|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.1|2.2|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.2|2.3|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.3|2.4|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.4|2.5|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.5|2.6|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.6|2.7|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.7|2.8|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.8|2.9|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|2.9|3.0|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.0|3.1|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.1|3.2|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.2|3.3|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.3|3.4|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.4|3.5|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.5|3.6|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.6|3.7|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.7|3.8|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.8|3.9|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|3.9|3.94|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|4.97|5.0|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.0|5.1|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.1|5.2|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.2|5.3|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.3|5.4|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.4|5.5|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.5|5.6|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.6|5.7|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.7|5.8|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.8|5.9|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|5.9|6.0|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|6.0|6.1|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|6.1|6.2|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|6.2|6.3|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|6.3|6.35|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|10.91|11.0|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|11.0|11.1|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|11.1|11.2|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|11.2|11.3|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|11.3|11.4|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|11.4|11.418|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|14.435|14.5|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|14.5|14.6|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|14.6|14.7|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|14.7|14.8|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|14.8|14.9|thickness_rigid|10.0|||
01/01/2024|54|1930009000000|14.9|14.96|thickness_rigid|10.0|||
01/01/2024|54|17100790000NB|114.132|114.9|thickness_rigid|9.0|||
01/01/2024|54|17100790000NB|115.33|117.17|thickness_rigid|9.0|||
01/01/2024|54|17100790000NB|118.5|118.7|thickness_rigid|9.0|||
01/01/2024|54|3530002000000|2.36|2.84|thickness_rigid|9.0|||
01/01/2024|54|28204600000EB|0.029|1.06|thickness_rigid|9.0|||
01/01/2024|54|28204600000EB|1.33|2.9|thickness_rigid|9.0|||
01/01/2024|54|28204600000EB|2.9|3.09|thickness_rigid|9.0|||
01/01/2024|54|28204600000EB|4.29|5.38|thickness_rigid|9.0|||
01/01/2024|54|28204600000EB|13.48|14.72|thickness_rigid|9.0|||
01/01/2024|54|28204600000EB|14.72|15.15|thickness_rigid|9.0|||
01/01/2024|54|03201190000NB|11.49|12.36|thickness_rigid|9.0|||
01/01/2024|54|03201190000NB|12.83|13.54|thickness_rigid|10.0|||
01/01/2024|54|03201190000NB|16.97|17.83|thickness_rigid|10.0|||
01/01/2024|54|2040114010000|0.0|1.07|thickness_rigid|3.0|||
01/01/2024|54|0230009000000|17.07|17.1|thickness_rigid|10.0|||
01/01/2024|54|0230009000000|17.1|17.2|thickness_rigid|10.0|||
