RouteID,BMP,EMP,year_last_constructed_16_ValueDate,year_last_constructed_17_ValueDate,year_last_constructed_18_ValueDate
4140008030000,0,0.65,1966,1966,1966
1040021200000,0,0.98,,1969,1969
3140065000000,0,0.263,1972,1972,1972
0640031000000,0.16,0.5,2013,2013,2013
2540054000000,0,0.183,1973,1973,1973
1040019430000,0.09,0.34,,1979,1979
2840052200000,0.001,0.82,1964,1964,1964
4130003000000,35.98,36,1966,1966,1966
4130003000000,36,36.1,1966,1966,1966
4130003000000,36.1,36.18,1966,1966,1966
4130003000000,36.23,36.49,1966,1966,1966
4130003000000,37.1,37.73,1966,1966,1966
1930009000000,0,0.059,2010,2010,2010
1930009000000,0.059,0.1,2010,2010,2010
1930009000000,0.1,0.2,2010,2010,2010
1930009000000,0.2,0.3,2010,2010,2010
1930009000000,0.3,0.4,2010,2010,2010
1930009000000,0.4,0.5,2010,2010,2010
1930009000000,0.5,0.6,2010,2010,2010
1930009000000,0.6,0.7,2010,2010,2010
1930009000000,0.7,0.8,2010,2010,2010
1930009000000,0.8,0.9,2010,2010,2010
1930009000000,0.9,1,2010,2010,2010
1930009000000,1,1.1,2010,2010,2010
1930009000000,1.1,1.2,2010,2010,2010
1930009000000,1.2,1.3,2010,2010,2010
1930009000000,1.3,1.4,2010,2010,2010
1930009000000,1.4,1.45,2010,2010,2010
1930009000000,1.45,1.5,2008,2008,2010
1930009000000,1.5,1.6,2008,2008,2010
1930009000000,1.6,1.7,2008,2008,2010
1930009000000,1.7,1.8,2008,2008,2010
1930009000000,1.8,1.9,2008,2008,2010
1930009000000,1.9,2,2008,2008,2010
1930009000000,2,2.1,2008,2008,2010
1930009000000,2.1,2.2,2008,2008,2010
1930009000000,2.2,2.3,2008,2008,2010
1930009000000,2.3,2.4,2008,2008,2010
1930009000000,2.4,2.5,2008,2008,2010
1930009000000,2.5,2.6,2008,2008,2010
1930009000000,2.6,2.7,2008,2008,2010
1930009000000,2.7,2.8,2008,2008,2010
1930009000000,2.8,2.9,2008,2008,2010
1930009000000,2.9,3,2008,2008,2010
1930009000000,3,3.1,2008,2008,2010
1930009000000,3.1,3.2,2008,2008,2010
1930009000000,3.2,3.3,2008,2008,2010
1930009000000,3.3,3.4,2008,2008,2010
1930009000000,3.4,3.5,2008,2008,2010
1930009000000,3.5,3.6,2008,2008,2010
1930009000000,3.6,3.7,2008,2008,2010
1930009000000,3.7,3.8,2008,2008,2010
1930009000000,3.8,3.9,2008,2008,2010
1930009000000,3.9,3.94,2008,2008,2010
1930009000000,4.97,5,2010,2010,2010
1930009000000,5,5.1,2010,2010,2010
1930009000000,5.1,5.2,2010,2010,2010
1930009000000,5.2,5.3,2010,2010,2010
1930009000000,5.3,5.4,2010,2010,2010
1930009000000,5.4,5.5,2010,2010,2010
1930009000000,5.5,5.6,2010,2010,2010
1930009000000,5.6,5.7,2010,2010,2010
1930009000000,5.7,5.8,2010,2010,2010
1930009000000,5.8,5.9,2010,2010,2010
1930009000000,5.9,6,2010,2010,2010
1930009000000,6,6.1,2010,2010,2010
1930009000000,6.1,6.2,2010,2010,2010
1930009000000,6.2,6.3,2010,2010,2010
1930009000000,6.3,6.35,2010,2010,2010
1930009000000,10.91,11,2010,2010,2010
1930009000000,11,11.1,2010,2010,2010
1930009000000,11.1,11.2,2010,2010,2010
1930009000000,11.2,11.3,2010,2010,2010
1930009000000,11.3,11.4,2010,2010,2010
1930009000000,11.4,11.418,2010,2010,2010
1930009000000,14.435,14.5,2010,2010,2010
1930009000000,14.5,14.6,2010,2010,2010
1930009000000,14.6,14.7,2010,2010,2010
1930009000000,14.7,14.8,2010,2010,2010
1930009000000,14.8,14.9,2010,2010,2010
1930009000000,14.9,14.96,2010,2010,2010
2840027000000,0,1.57,1933,1933,1933
2840027000000,2.12,2.59,1933,1933,1933
17200500000EB,1.53,3.37,1969,1969,1969
17200500000EB,3.42,3.8,1969,1969,1969
17200500000EB,6.11,7.16,1969,1969,1969
17200500000EB,7.16,7.18,1969,1969,1969
0130038000000,0.43,2.43,,1965,1965
0130038000000,5.53,6.31,,1965,1965
4040031000000,0,0.3,,,2024
