35_NAT_FUNCTIONAL_CLASS,36_NHS,RouteID,BMP,EMP,F_SYSTEM,label
2,1.0,3130007000000,0.0,27.265,3,WV 7
14,1.0,3130007000000,27.265,27.74,3,WV 7
2,1.0,24200520002WB,0.0,0.021,3,US 52
14,1.0,02200110000NB,13.26,14.81,3,US 11
14,1.0,10200190000SB,0.0,15.635,3,US 19
2,1.0,10200190000SB,15.635,26.29,3,US 19
14,1.0,05300020000SB,7.55,10.0,3,WV 2
14,1.0,05300020000SB,13.7,14.91,3,WV 2
2,1.0,2430016000000,16.06,26.83,3,WV 16
2,1.0,2430016000000,29.0,35.38,3,WV 16
14,1.0,41200190001WB,0.0,2.07,3,US 19
2,1.0,2330010000000,7.36,14.781,3,WV 10
14,1.0,2330010000000,14.781,22.05,3,WV 10
2,1.0,34200190000SB,0.0,31.85,3,US 19
14,1.0,5430014000000,12.88,13.39,3,WV 14
14,1.0,5430014000000,14.78,20.56,3,WV 14
14,1.0,19203400005NB,0.0,0.151,3,US 340
11,1.0,06100640000WB,5.87,27.784,1,I 64
1,1.0,06100640000WB,27.784,27.86,1,I 64
11,1.0,06100640000WB,27.86,28.936,1,I 64
1,1.0,06100640000WB,28.936,29.317,1,I 64
11,1.0,06100640000WB,29.317,31.77,1,I 64
1,1.0,44100790000SB,21.28,36.0,1,I 79
2,1.0,5430002000000,22.7,25.275,3,WV 2
14,1.0,5430002000000,25.275,26.795,3,WV 2
2,1.0,5430002000000,26.795,29.46,3,WV 2
2,1.0,1930009000000,0.0,3.945,3,WV 9
14,1.0,1930009000000,3.945,9.12,3,WV 9
14,1.0,1930009000000,9.98,10.3,3,WV 9
14,1.0,1930009000000,10.301,11.418,3,WV 9
2,1.0,1930009000000,11.418,14.96,3,WV 9
2,1.0,55200520028WB,0.0,0.04,3,US 52
14,1.0,2030817000000,0.0,1.57,3,WV 817
2,1.0,42200330000WB,0.0,4.519,3,US 33
14,1.0,42200330000WB,4.519,10.26,3,US 33
1,1.0,45100640000WB,138.01,147.6,1,I 64
14,1.0,5430068000000,14.46,14.56,3,WV 68
14,1.0,5430068000000,16.4,16.83,3,WV 68
14,1.0,5430068000000,17.05,17.11,3,WV 68
14,1.0,5430068000000,17.19,21.446,3,WV 68
2,1.0,5430068000000,21.446,22.82,3,WV 68
2,1.0,5530016000000,0.0,11.54,3,WV 16
2,1.0,3330009000000,25.76,37.36,3,WV 9
1,1.0,04100790000NB,44.6,83.15,1,I 79
14,1.0,41200190014SB,0.0,2.7,3,US 19
14,1.0,21200330000WB,19.84,22.879,3,US 33
2,1.0,21200330000WB,22.879,27.04,3,US 33
1,1.0,11100790000SB,83.15,83.55,1,I 79
2,1.0,33205220000NB,0.0,18.74,3,US 522
12,1.0,35202500005SB,0.0,0.36,2,US 250
2,1.0,12200480000WB,0.0,21.29,3,US 48
