35_NAT_FUNCTIONAL_CLASS,36_NHS,RouteID,BMP,EMP,F_SYSTEM,label
1,1.0,08100790000NB,36.0,44.6,1,I 79
14,1.0,31201190000NB,10.15,13.99,3,US 119
14,1.0,31201190000NB,16.0,20.474,3,US 119
2,1.0,31201190000NB,20.474,22.61,3,US 119
14,1.0,15200300000EB,0.0,0.61,3,US 30
14,1.0,42300920000SB,33.32,34.34,3,WV 92
14,1.0,20201190023NB,0.0,0.51,3,US 119
14,1.0,20201190023NB,0.7,1.17,3,US 119
14,1.0,19203400005SB,0.0,0.37,3,US 340
14,1.0,19203400005SB,0.371,0.6,3,US 340
14,1.0,02300090007WB,0.0,0.17,3,WV 9
14,1.0,20200600007WB,7.76,8.1,3,US 60
14,1.0,52300070006EB,0.0,0.27,3,WV 7
1,1.0,44100790000NB,21.28,36.0,1,I 79
2,1.0,29202200000SB,10.97,11.104,3,US 220
14,1.0,29202200000SB,11.104,15.11,3,US 220
14,1.0,2330073000000,0.0,2.87,3,WV 73
14,1.0,06301520000SB,1.14,1.44,3,WV 152
11,1.0,41100640000EB,117.93,128.438,1,I 64
1,1.0,41100640000EB,128.438,138.01,1,I 64
2,1.0,29202200000NB,10.97,11.102,3,US 220
14,1.0,29202200000NB,11.102,15.11,3,US 220
14,1.0,31400192400SB,2.77,3.35,3,CO 19/24
12,1.0,05200220000EB,0.0,2.06,2,US 22
12,1.0,05200220000EB,2.45,5.89,2,US 22
14,1.0,41200190023WB,0.0,1.184,3,US 19
14,1.0,41200190023WB,1.185,1.36,3,US 19
1,1.0,54100770000SB,156.99,168.068,1,I 77
11,1.0,54100770000SB,168.068,177.673,1,I 77
1,1.0,54100770000SB,177.673,181.445,1,I 77
11,1.0,54100770000SB,181.445,187.208,1,I 77
1,1.0,54100770000SB,187.208,187.21,1,I 77
1,1.0,41100770016SB,27.26,28.937,1,I 77
11,1.0,41100770016SB,28.937,48.284,1,I 77
1,1.0,41100770016SB,48.284,52.58,1,I 77
2,1.0,17200500000EB,0.0,6.101,3,US 50
14,1.0,17200500000EB,6.101,18.32,3,US 50
2,1.0,24200520001EB,0.0,1.18,3,US 52
14,1.0,41200190014NB,0.0,2.7,3,US 19
2,1.0,3730002000000,0.0,17.49,3,WV 2
14,1.0,28200190000SB,1.31,2.13,3,US 19
14,1.0,28200190000SB,5.34,10.63,3,US 19
11,1.0,20100770005SB,0.0,0.67,1,I 77
2,1.0,33205220000SB,0.0,18.74,3,US 522
1,1.0,10100770016SB,52.58,67.21,1,I 77
14,1.0,54300680000SB,14.56,14.63,3,WV 68
14,1.0,54300680000SB,16.4,16.62,3,WV 68
14,1.0,41200190023EB,0.0,1.36,3,US 19
14,1.0,31307050000WB,0.0,2.76,3,WV 705
2,1.0,3030044000000,0.0,0.1,3,WV 44
14,1.0,06301060000SB,0.397,0.67,3,WV 106
11,1.0,31100680006EB,0.0,0.89,1,I 68
2,1.0,04200190000SB,0.0,6.907,3,US 19
2,1.0,04200190000SB,6.908,6.95,3,US 19
14,1.0,26300020003WB,0.0,0.43,3,WV 2
14,1.0,4230092000000,33.32,34.34,3,WV 92
11,1.0,28100770016NB,8.98,14.006,1,I 77
1,1.0,28100770016NB,14.006,27.26,1,I 77
4,1.0,06200520000WB,0.0,0.008,2,US 52
12,1.0,06200520000WB,0.008,1.14,2,US 52
2,1.0,22201190000SB,0.0,0.07,3,US 119
2,1.0,22201190000SB,3.37,8.04,3,US 119
11,1.0,20100770023NB,0.0,1.02,1,I 77
12,1.0,31300430000SB,0.0,3.564,2,WV 43
4,1.0,31300430000SB,3.564,4.03,2,WV 43
1,1.0,39100680000EB,14.66,32.06,1,I 68
2,1.0,24200520000EB,0.0,42.24,3,US 52
12,1.0,05200220000WB,0.0,2.06,2,US 22
12,1.0,05200220000WB,2.45,5.89,2,US 22
1,1.0,18100770000NB,117.5,156.99,1,I 77
2,1.0,5530097000000,22.76,34.88,3,WV 97
2,1.0,42202190000SB,0.0,32.884,3,US 219
14,1.0,42202190000SB,32.884,39.54,3,US 219
14,1.0,42202190000SB,42.36,42.486,3,US 219
2,1.0,42202190000SB,42.486,54.52,3,US 219
12,1.0,35202500009NB,0.0,0.68,2,US 250
2,1.0,43200500000EB,0.0,20.95,3,US 50
14,1.0,54300140005SB,0.0,0.32,3,WV 14
14,3.0,06200600007WB,0.0,2.26,3,US 60
14,1.0,06200600007WB,2.26,5.56,3,US 60
14,1.0,0630106000000,0.327,1.0,3,WV 106
14,1.0,54300680005SB,0.0,1.92,3,WV 68
2,1.0,22201190000NB,0.0,0.07,3,US 119
2,1.0,22201190000NB,3.37,8.04,3,US 119
2,1.0,2930093000200,0.0,0.025,3,WV 93
1,1.0,21100790000SB,83.55,98.273,1,I 79
11,1.0,21100790000SB,98.273,98.91,1,I 79
1,1.0,21100790000SB,98.91,106.42,1,I 79
14,1.0,3530002000000,1.9,2.84,3,WV 2
14,1.0,3530002000000,3.27,8.978,3,WV 2
2,1.0,3530002000000,8.978,11.61,3,WV 2
14,1.0,02200110000SB,13.26,14.81,3,US 11
2,1.0,29200500000EB,8.0,10.62,3,US 50
14,7.0,0630010000000,15.49,17.04,3,WV 10
14,3.0,0630010000000,17.04,18.58,3,WV 10
2,1.0,5230007000200,0.0,0.029,3,WV 7
11,1.0,35100700000WB,0.0,11.751,1,I 70
1,1.0,35100700000WB,11.751,14.45,1,I 70
1,1.0,20100770016NB,67.21,77.988,1,I 77
11,1.0,20100770016NB,77.988,95.34,1,I 77
14,1.0,50200600000WB,0.0,5.6,3,US 60
2,1.0,0440032000000,6.27,6.5,3,CO 32
12,1.0,06200520000EB,0.0,1.3,2,US 52
2,1.0,28204600000WB,0.0,0.015,3,US 460
14,1.0,28204600000WB,0.015,3.09,3,US 460
14,1.0,28204600000WB,4.636,5.38,3,US 460
14,1.0,28204600000WB,10.728,16.932,3,US 460
2,1.0,28204600000WB,16.932,27.06,3,US 460
2,1.0,0530002000000,0.0,2.19,3,WV 2
14,1.0,0530002000000,2.19,15.61,3,WV 2
14,1.0,0530002000000,15.75,16.81,3,WV 2
14,1.0,50200520000WB,4.79,11.014,3,US 52
2,1.0,50200520000WB,11.014,54.32,3,US 52
2,1.0,42202190000NB,0.0,32.885,3,US 219
14,1.0,42202190000NB,32.885,39.54,3,US 219
14,1.0,42202190000NB,42.36,42.373,3,US 219
2,1.0,42202190000NB,42.373,54.52,3,US 219
2,1.0,28200520000WB,0.0,6.031,3,US 52
14,1.0,28200520000WB,6.031,11.03,3,US 52
14,1.0,28200520000WB,12.01,16.643,3,US 52
14,1.0,28200520000WB,16.644,16.791,3,US 52
2,1.0,28200520000WB,16.791,18.65,3,US 52
2,1.0,28200520000WB,18.651,18.76,3,US 52
2,1.0,32202190000NB,0.0,33.34,3,US 219
2,1.0,27200350000SB,0.0,17.18,3,US 35
14,1.0,27200350000SB,17.18,18.46,3,US 35
14,1.0,06200600000EB,0.0,3.94,3,US 60
14,3.0,06200600000EB,3.94,9.56,3,US 60
14,1.0,35202500000NB,0.0,1.9,3,US 250
12,1.0,35202500000NB,1.9,3.26,2,US 250
2,1.0,23201190000NB,0.0,1.438,3,US 119
14,1.0,23201190000NB,1.438,5.915,3,US 119
2,1.0,23201190000NB,5.915,12.283,3,US 119
14,1.0,23201190000NB,12.283,16.577,3,US 119
2,1.0,23201190000NB,16.577,18.42,3,US 119
2,1.0,20201190000SB,0.0,1.12,3,US 119
2,1.0,20201190000SB,5.79,7.087,3,US 119
14,1.0,20201190000SB,7.087,17.38,3,US 119
2,1.0,20201190000NB,0.0,1.12,3,US 119
2,1.0,20201190000NB,5.79,7.091,3,US 119
14,1.0,20201190000NB,7.091,17.64,3,US 119
2,1.0,43200500000WB,0.0,20.95,3,US 50
14,1.0,4130016000000,12.0,15.81,3,WV 16
2,1.0,55200520000EB,0.0,8.61,3,US 52
2,1.0,5530054000000,4.89,8.32,3,WV 54
2,1.0,27200350000NB,0.0,17.178,3,US 35
14,1.0,27200350000NB,17.178,18.46,3,US 35
2,1.0,19300090000WB,0.0,3.918,3,WV 9
14,1.0,19300090000WB,3.918,9.27,3,WV 9
14,1.0,19300090000WB,10.53,11.419,3,WV 9
2,1.0,19300090000WB,11.419,14.96,3,WV 9
