,RouteId,BeginPoint,EndPoint,YearLastConstructionVd,SampleId,SurfaceTypeVn
124,06200600000EB,10.9,10.94,,060600001076,6
125,06200600000EB,10.76,10.8,,060600001076,6
126,06200600000EB,12.2,12.23,,060600001151,6
127,06200600000EB,10.94,10.9511,,060600001076,6
128,06200600000EB,11.93,11.9611,,060600001151,6
129,06200600000EB,11.6,11.6111,,060600001151,6
130,06200600000EB,11.8,11.81,,060600001151,6
131,06200600000EB,12.09,12.1,,060600001151,6
132,22201190000NB,3.6,3.7,,221190000337,6
133,22201190000NB,3.8,3.9,,221190000337,6
134,22201190000NB,4.0,4.1,,221190000337,6
135,22201190000NB,3.51,3.6,,221190000337,6
136,22201190000NB,3.72,3.8,,221190000337,6
137,22201190000NB,3.9449,4.0,,221190000337,6
138,22201190000NB,3.37,3.4,,221190000337,3
139,22201190000NB,3.4,3.5,,221190000337,6
140,22201190000NB,3.7,3.72,,221190000337,6
141,22201190000NB,3.9,3.9449,,221190000337,6
142,22201190000NB,3.5,3.51,,221190000337,6
143,22201190000NB,4.7,4.8,,221190000337,6
144,22201190000NB,4.1,4.2,,221190000337,6
145,22201190000NB,4.2,4.3,,221190000337,6
146,22201190000NB,4.3,4.4,,221190000337,6
147,22201190000NB,4.4,4.5,,221190000337,6
148,22201190000NB,4.5,4.6,,221190000337,6
149,22201190000NB,4.8,4.9,,221190000337,6
150,22201190000NB,4.9,5.0,,221190000337,6
151,22201190000NB,5.0,5.1,,221190000337,6
152,22201190000NB,5.1,5.2,,221190000337,6
153,22201190000NB,5.2,5.3,,221190000337,6
154,22201190000NB,5.3,5.4,,221190000337,6
165,22201190000NB,4.62,4.7,,221190000337,6
166,22201190000NB,4.6,4.62,,221190000337,6
169,20201190000NB,11.8,11.9,,201190001134,6
170,20201190000NB,11.9,12.0,,201190001134,6
171,20201190000NB,12.0,12.0972,,201190001134,6
172,20201190000NB,12.1,12.2,,201190001134,6
173,20201190000NB,11.64,11.7,,201190001134,6
174,20201190000NB,11.7,11.759,,201190001134,6
175,20201190000NB,11.759,11.8,,201190001134,6
176,20201190000NB,12.2,12.2462,,201190001134,6
177,20201190000NB,12.0972,12.1,,201190001134,6
178,20100770016NB,91.5,91.6,,200770008950,6
179,20100770016NB,94.435,94.4982,,200770009443,6
180,20100770016NB,93.8,93.9,,200770009331,6
181,20100770016NB,94.0,94.1,,200770009393,6
182,20100770016NB,94.3,94.4,,200770009393,6
183,20100770016NB,93.7,93.8,,200770009331,6
184,20100770016NB,93.5,93.6,,200770009331,6
185,20100770016NB,93.31,93.4,,200770009331,6
186,20100770016NB,93.4,93.5,,200770009331,6
187,20100770016NB,93.2,93.3,,200770008950,6
188,20100770016NB,93.1,93.2,,200770008950,6
189,20100770016NB,93.0,93.1,,200770008950,6
190,20100770016NB,92.9,93.0,,200770008950,6
191,20100770016NB,92.8,92.9,,200770008950,6
192,20100770016NB,92.7,92.8,,200770008950,6
193,20100770016NB,92.6,92.7,,200770008950,6
194,20100770016NB,92.5,92.6,,200770008950,6
195,20100770016NB,92.4,92.5,,200770008950,6
196,20100770016NB,92.3,92.4,,200770008950,6
197,20100770016NB,92.2,92.3,,200770008950,6
198,20100770016NB,92.1,92.2,,200770008950,6
199,20100770016NB,92.0,92.1,,200770008950,6
200,20100770016NB,91.9,92.0,,200770008950,6
201,20100770016NB,91.8,91.9,,200770008950,6
202,20100770016NB,91.6,91.7,,200770008950,6
203,20100770016NB,91.7,91.8,,200770008950,6
204,20100770016NB,91.4,91.5,,200770008950,6
205,20100770016NB,91.3,91.4,,200770008950,6
206,20100770016NB,91.2,91.3,,200770008950,6
207,20100770016NB,91.1,91.2,,200770008950,6
208,20100770016NB,90.9,91.0,,200770008950,6
209,20100770016NB,90.5,90.6,,200770008950,6
210,20100770016NB,90.4,90.5,,200770008950,6
211,20100770016NB,90.1,90.2,,200770008950,6
212,20100770016NB,89.9,90.0,,200770008950,6
213,20100770016NB,89.8,89.9,,200770008950,6
214,20100770016NB,89.5,89.6,,200770008950,6
215,20100770000NB,95.9,96.0,,200770009587,6
216,20100770000NB,96.0,96.1,,200770009587,6
217,20100770016NB,89.3,89.396,,200770008918,6
218,20100770016NB,90.809,90.9,,200770008950,6
219,20100770016NB,90.2,90.278,,200770008950,6
220,20100770016NB,90.304,90.4,,200770008950,6
221,20100770016NB,93.93,94.0,,200770009393,6
222,20100770016NB,94.1,94.1324,,200770009393,6
223,20100770016NB,90.7425,90.8,,200770008950,3
224,20100770016NB,90.7,90.7425,,200770008950,3
225,20100770016NB,90.0,90.1,,200770008950,6
226,20100770016NB,89.7505,89.8,,200770008950,6
227,20100770016NB,89.7,89.7505,,200770008950,6
228,20100770016NB,89.4,89.472,,200770008918,6
229,20100770016NB,90.6,90.663,,200770008950,6
230,20100770016NB,90.663,90.7,,200770008950,6
231,20100770016NB,89.6,89.638,,200770008950,6
232,20100770016NB,93.661,93.7,,200770009331,3
233,20100770016NB,94.219,94.25,,200770009393,6
234,20100770016NB,91.0,91.049,,200770008950,6
235,20100770016NB,91.069,91.1,,200770008950,6
236,20100770016NB,94.5281,94.5629,,200770009443,3
237,20100770016NB,93.9,93.93,,200770009331,6
238,20100770016NB,94.2,94.219,,200770009393,6
239,20100770016NB,94.4,94.43,,200770009393,6
240,20100770016NB,89.4729,89.49,,200770008918,6
241,20100770016NB,89.638,89.6574,,200770008950,6
242,20100770016NB,89.6574,89.678,,200770008950,6
243,20100770016NB,93.6,93.613,,200770009331,3
244,20100770016NB,93.613,93.6451,,200770009331,3
245,20100770016NB,94.284,94.3,,200770009393,6
246,20100770016NB,94.1324,94.164,,200770009393,6
247,20100770016NB,94.164,94.196,,200770009393,6
248,20100770016NB,91.049,91.069,,200770008950,6
249,20100770016NB,94.519,94.5281,,200770009443,3
250,20100770000NB,96.1,96.15,,200770009587,6
251,20100770016NB,94.5,94.5148,,200770009443,3
252,20100770016NB,89.49,89.5,,200770008918,6
253,20100770016NB,90.8,90.809,,200770008950,6
254,20100770016NB,89.678,89.7,,200770008950,6
255,20100770016NB,93.6451,93.661,,200770009331,3
256,20100770016NB,94.25,94.2641,,200770009393,6
257,20100770016NB,94.2696,94.284,,200770009393,6
258,20100770016NB,90.278,90.2926,,200770008950,6
259,20100770016NB,94.5148,94.519,,200770009443,3
260,20100770016NB,93.3,93.31,,200770008950,6
261,20100770016NB,90.2926,90.3,,200770008950,6
262,20100770016NB,94.2641,94.2696,,200770009393,6
263,20100770016NB,94.43,94.435,,200770009443,6
264,20100770016NB,89.396,89.4,,200770008918,6
265,20100770016NB,94.196,94.2,,200770009393,6
266,20100770016NB,90.3,90.304,,200770008950,6
267,20100770016NB,94.4982,94.5,,200770009443,6
268,20100770016NB,89.472,89.4729,,200770008918,6
269,2730002000000,1.9,2.0,,270020000139,6
270,2730002000000,1.5,1.6,,270020000139,6
271,2730002000000,1.6,1.7,,270020000139,6
272,2730002000000,1.7,1.8,,270020000139,6
273,2730002000000,1.8,1.89,,270020000139,6
274,2730002000000,1.4,1.5,,270020000139,6
275,2730002000000,1.39,1.4,,270020000139,6
276,2730002000000,1.89,1.9,,270020000139,6
277,2730002000000,2.0,2.1,,270020000139,6
278,2730002000000,2.1,2.2,,270020000139,6
279,2730002000000,2.2,2.3,,270020000139,6
280,2730002000000,2.3,2.4,,270020000139,6
281,2730002000000,2.5,2.6,,270020000139,6
282,2730002000000,2.7,2.8,,270020000139,6
283,2730002000000,2.8,2.9,,270020000139,6
284,2730002000000,2.9,3.0,,270020000139,6
285,2730002000000,3.0,3.1,,270020000139,6
286,2730002000000,2.4239,2.5,,270020000139,6
287,2730002000000,2.6,2.7,,270020000139,6
288,2730002000000,3.1,3.149,,270020000139,6
289,2730002000000,2.4,2.4239,,270020000139,6
290,2730002000000,3.149,3.15,,270020000139,6
291,2030025000000,2.6056,2.68,,200250000246,6
292,2030025000000,2.5111,2.6,,200250000246,6
293,2030025000000,2.46,2.5,,200250000246,6
294,2030025000000,2.5,2.5111,,200250000246,6
295,2030025000000,2.6,2.6056,,200250000246,6
296,2030025000000,4.0,4.1,,200250000389,6
297,2030025000000,4.3,4.4,,200250000389,6
298,2030025000000,4.6,4.7,,200250000389,6
299,2030025000000,5.0,5.1,,200250000389,6
300,2030025000000,4.9053,5.0,,200250000389,6
301,2030025000000,3.9,4.0,,200250000389,6
302,2030025000000,4.1,4.2,,200250000389,6
303,2030025000000,4.2,4.3,,200250000389,6
304,2030025000000,4.4,4.5,,200250000389,6
305,2030025000000,4.5,4.6,,200250000389,6
306,2030025000000,4.732,4.8,,200250000389,6
307,2030025000000,4.8,4.9,,200250000389,6
308,2030025000000,4.7,4.732,,200250000389,6
309,2030025000000,5.1,5.11,,200250000389,6
310,2030025000000,3.89,3.9,,200250000389,6
311,2030025000000,4.9,4.9053,,200250000389,6
312,2030817000000,1.4,1.5,,200350000097,6
313,2030817000000,1.3,1.4,,200350000097,6
314,2030817000000,1.01,1.1,,200350000097,6
315,2030817000000,1.5,1.57,,200350000097,6
316,2030817000000,1.1555,1.2,,200350000097,6
317,2030817000000,1.1,1.1555,,200350000097,6
318,2030817000000,1.214,1.276,,200350000097,3
319,2030817000000,0.97,1.0,,200350000097,6
320,2030817000000,1.276,1.3,,200350000097,3
321,2030817000000,1.2,1.214,,200350000097,3
322,2030817000000,1.0,1.01,,200350000097,6
323,20201190000NB,15.0,15.1,,201190014220,3
324,20201190000NB,15.8,15.9,,201190014220,3
325,20201190000NB,16.3,16.4,,201190001628,6
326,20201190023NB,0.1,0.2,,200119C00000,6
327,20300610006EB,0.1,0.19,,20061E000000,6
328,20300610005SB,0.0,0.05,,20061S000000,6
329,20200600000EB,15.2327,15.2895,,200600001484,6
330,20200600000EB,15.5274,15.5879,,200600001484,6
331,20200600007WB,8.0049,8.0965,,20060W007930,6
332,20201190000NB,16.93,17.0,,201190001628,6
333,20201190023NB,1.1,1.17,,201190000070,6
334,20201190000NB,17.0,17.1,,201190001628,6
335,20201190000NB,14.22,14.2871,,201190014220,3
336,20201190000NB,12.82,12.9,,201190001134,6
337,20201190000NB,14.6,14.6647,,201190014220,3
338,20201190000NB,15.4,15.4748,,201190014220,3
339,20201190023NB,0.0,0.1,,200119C00000,6
340,20201190000NB,14.4192,14.5,,201190014220,3
341,20201190000NB,14.5,14.6,,201190014220,3
342,20201190000NB,15.1,15.2,,201190014220,3
343,20201190000NB,15.2306,15.3,,201190014220,3
344,20201190000NB,15.3,15.4,,201190014220,3
345,20201190000NB,15.5143,15.6,,201190014220,3
346,20201190000NB,16.1,16.2,,201190014220,3
347,20201190000NB,16.2,16.28,,201190014220,3
348,20200600007WB,7.93,8.0,,20060W007930,6
349,20201190000NB,12.3,12.4,,201190001134,6
350,20201190000NB,12.4,12.5,,201190001134,6
351,20201190000NB,13.4,13.5,,201190001290,6
352,20201190000NB,13.5,13.6,,201190001290,6
353,20201190000NB,13.6,13.6934,,201190001290,6
354,20201190000NB,14.3,14.4,,201190014220,3
355,20201190000NB,14.7,14.8,,201190014220,3
356,20201190000NB,14.8,14.9,,201190014220,3
357,20201190000NB,14.9,14.99,,201190014220,3
358,20201190000NB,15.6,15.7,,201190014220,3
359,20201190000NB,15.7,15.7773,,201190014220,3
360,20201190000NB,15.9,16.0,,201190014220,3
361,20201190000NB,16.4,16.5,,201190001628,6
362,20201190000NB,16.5,16.6,,201190001628,6
363,20201190000NB,16.7,16.8,,201190001628,6
364,20201190000NB,16.8103,16.9,,201190001628,6
365,20201190023NB,0.2,0.3,,200119C00000,6
366,2030025000000,10.0,10.1,,200250000942,6
367,2030025000000,10.1,10.2,,200250000942,6
368,2030025000000,9.42,9.5,,200250000942,6
369,2030025000000,9.5226,9.6,,200250000942,6
370,2030025000000,9.6,9.7,,200250000942,6
371,2030025000000,9.7,9.8,,200250000942,6
372,2030025000000,9.8,9.9,,200250000942,6
373,2030025000000,9.9,10.0,,200250000942,6
374,20201190000NB,12.5,12.6,,201190001134,6
375,20201190000NB,12.6,12.7,,201190001134,6
376,20201190000NB,12.7,12.8,,201190001134,6
377,20201190000NB,12.9,13.0,,201190001290,6
378,20201190000NB,13.0,13.1,,201190001290,6
379,20201190000NB,13.2,13.3,,201190001290,6
380,20201190000NB,13.3,13.4,,201190001290,6
381,20201190023NB,0.9,1.0,,201190000070,6
382,20201190023NB,1.0,1.1,,201190000070,6
383,20201190000NB,13.9,13.962,,201190001290,6
384,20300610006EB,0.0332,0.0609,,20061E000000,6
385,20200600000EB,15.1068,15.1734,,200600001484,6
386,20300610006EB,0.0,0.0263,,20061E000000,6
387,20200600000EB,15.0088,15.0686,,200600001484,6
388,20200600000EB,15.6285,15.6916,,200600001484,6
389,20100640000EB,57.5006,57.5398,,200640005748,3
390,20201190000NB,17.1,17.1566,,201190001628,6
391,20201190000NB,15.4748,15.5,,201190014220,3
392,20200600000EB,15.3526,15.4,,200600001484,6
393,20200600000EB,15.47,15.5,,200600001484,6
394,20300610006EB,0.0725,0.1,,20061E000000,6
395,20201190000NB,16.0313,16.1,,201190014220,3
396,20200600000EB,14.84,14.9,,200600001484,6
397,20200600000EB,14.92,15.0,,200600001484,6
398,20201190000NB,12.2462,12.3,,201190001134,6
399,20201190000NB,16.0,16.0313,,201190014220,3
400,20201190000NB,16.6271,16.7,,201190001628,6
401,20201190000NB,16.9,16.93,,201190001628,6
402,2030025000000,10.2,10.25,,200250000942,6
403,2030025000000,10.36,10.4,,200250000942,6
404,20200600000EB,15.6,15.6285,,200600001484,6
405,20200600000EB,15.7,15.7439,,200600001484,6
406,20201190000NB,13.1,13.14,,201190001290,6
407,20201190000NB,13.14,13.2,,201190001290,6
408,20200600000EB,15.3,15.3526,,200600001484,6
409,20201190023NB,0.8629,0.9,,201190000070,6
410,20201190000NB,13.7,13.774,,201190001290,6
411,20201190000NB,13.8036,13.832,,201190001290,6
412,20201190000NB,13.832,13.9,,201190001290,6
413,20201190000NB,13.962,13.9964,,201190001290,6
414,20201190023NB,0.8178,0.8338,,201190000070,6
415,20201190023NB,0.8338,0.8629,,201190000070,6
416,20200600000EB,15.4149,15.4452,,200600001484,6
417,20200600000EB,15.4452,15.47,,200600001484,6
418,20201190000NB,14.6647,14.7,,201190014220,3
419,20201190000NB,15.7773,15.8,,201190014220,3
420,20200600000EB,15.5,15.5274,,200600001484,6
421,20201190000NB,16.28,16.3,,201190001628,3
422,20201190000NB,14.4,14.4192,,201190014220,3
423,20201190000NB,15.2,15.2306,,201190014220,3
424,20201190000NB,13.777,13.8,,201190001290,6
425,20201190000NB,16.6,16.627,,201190001628,6
426,20100640000EB,57.48,57.5,,200640005748,6
427,2030025000000,10.25,10.3,,200250000942,6
428,2030025000000,10.3,10.36,,200250000942,6
429,2030025000000,9.5,9.5226,,200250000942,6
430,20200600000EB,15.0778,15.1,,200600001484,6
431,20200600000EB,15.1734,15.2,,200600001484,6
432,20200600000EB,15.2,15.2327,,200600001484,6
433,20201190000NB,14.0,14.022,,201190001290,3
434,20201190000NB,14.022,14.04,,201190001290,3
435,20300610006EB,0.0628,0.0725,,20061E000000,6
436,20200600000EB,14.9075,14.92,,200600001484,6
437,20300610006EB,0.0263,0.0332,,20061E000000,6
438,20201190000NB,14.99,15.0,,201190014220,3
439,20201190000NB,15.5,15.5143,,201190014220,3
440,20200600000EB,15.4,15.4149,,200600001484,6
441,20200600000EB,14.9,14.9075,,200600001484,6
442,20201190000NB,14.2871,14.3,,201190014220,3
443,20201190000NB,16.8,16.8103,,201190001628,6
444,2030025000000,10.4,10.4123,,200250000942,6
445,20200600000EB,15.5879,15.6,,200600001484,6
446,20200600000EB,15.6916,15.7,,200600001484,6
447,20201190000NB,12.8,12.82,,201190001134,6
448,20200600000EB,15.2895,15.3,,200600001484,6
449,20201190023NB,0.8,0.8178,,201190000070,6
450,20300610006EB,0.0609,0.0628,,20061E000000,6
451,20200600000EB,15.0686,15.0778,,200600001484,6
452,2030025000000,10.4123,10.42,,200250000942,6
453,20200600000EB,15.0,15.0088,,200600001484,6
454,20200600007WB,8.0,8.0049,,20060W007930,6
455,20201190000NB,13.6934,13.7,,201190001290,6
456,20201190000NB,13.9964,14.0,,201190001290,6
457,20200600000EB,15.1,15.1068,,200600001484,6
458,20200600007WB,8.0965,8.1,,20060W007930,6
459,20201190000NB,13.8,13.8036,,201190001290,6
460,20201190000NB,13.774,13.777,,201190001290,6
461,20100640000EB,57.5,57.5006,,200640005748,3
462,20201190000NB,16.28,16.28,,201190001628,3
463,20201190000NB,16.627,16.6271,,201190001628,6
464,20100770005SB,0.401,0.5,,20077S000000,6
465,20200600000EB,19.2,19.3,,200600001864,6
466,20200600000EB,19.4224,19.5,,200600001864,6
467,20200600000EB,19.8,19.9,,200600001864,6
468,2030061000000,24.1,24.2,,200610002375,6
469,2030061000000,24.4,24.5,,200610002375,6
470,20100770005SB,0.3,0.39,,20077S000000,3
471,20100770000NB,98.0,98.089,,200770009722,6
472,20100770000NB,97.601,97.7,,200770009722,6
473,20100640006EB,0.0,0.0659,,200064E00000,3
474,20100770005SB,0.6311,0.67,,20077S000000,6
475,2030061000000,23.8378,23.8857,,200610002375,6
476,20200600000EB,18.7145,18.783,,200600001864,6
477,2030061000000,25.704,25.8,,200610002375,6
478,20100640006EB,0.229,0.2677,,200064E00000,6
479,20100770005SB,0.0146,0.1,,20077S000000,6
480,20100770005SB,0.2,0.282,,20077S000000,3
481,20100770005SB,0.5,0.5856,,20077S000000,6
482,20200600000EB,19.301,19.4,,200600001864,6
483,2030061000000,24.5,24.5772,,200610002375,6
484,2030061000000,24.8,24.8907,,200610002375,6
485,20100770000NB,97.3,97.4,,200770009722,6
486,20100770000NB,97.4,97.5,,200770009722,6
487,20100770000NB,97.7,97.8,,200770009722,6
488,20100770000NB,97.8,97.9,,200770009722,6
489,20100770000NB,97.9,98.0,,200770009722,6
490,20100770023NB,0.0,0.1,,20077C000000,6
491,20100770023NB,0.1,0.2,,20077C000000,6
492,20100770023NB,0.2,0.3,,20077C000000,6
493,20100770023NB,0.3,0.4,,20077C000000,6
494,20100770023NB,0.6,0.7,,20077C000000,6
495,20100770023NB,0.7,0.8,,20077C000000,6
496,20200600000EB,15.9,15.9708,,200600001484,6
497,20200600000EB,18.9,19.0,,200600001864,6
498,20200600000EB,19.0,19.1,,200600001864,6
499,20200600000EB,19.1,19.1729,,200600001864,6
500,20200600000EB,19.6,19.7,,200600001864,6
501,20200600000EB,20.0,20.08,,200600001864,6
502,20100640000EB,57.7,57.7835,,200640005748,3
503,20100640000EB,58.0,58.1,,200640005792,3
504,2030061000000,24.0,24.0826,,200610002375,6
505,2030061000000,25.3194,25.4,,200610002375,6
506,2030061000000,25.4,25.5,,200610002375,6
507,2030061000000,25.5,25.5877,,200610002375,6
508,2030061000000,25.6,25.7,,200610002375,6
509,2030114000000,0.5212,0.6,,201140000050,6
510,2030114000000,0.642,0.7,,201140000050,6
511,2030114000000,0.7,0.8,,201140000050,6
512,2030114000000,0.82,0.9,,201140000050,6
513,2040114010000,0.13,0.2,,201140100000,6
514,2040114010000,0.2,0.3,,201140100000,6
515,2040114010000,0.3,0.4,,201140100000,6
516,2040114010000,0.4,0.5,,201140100000,6
517,2040114010000,0.5,0.6,,201140100000,6
518,2030061000000,24.2,24.3,,200610002375,6
519,2030061000000,24.3,24.4,,200610002375,6
520,2030061000000,24.6,24.7,,200610002375,6
521,2030061000000,24.7,24.8,,200610002375,6
522,2030061000000,24.9,25.0,,200610002375,6
523,2030061000000,25.0,25.0923,,200610002375,6
524,2030114000000,1.0,1.1,,201140000050,6
525,20100770023NB,0.8,0.9,,20077C000000,6
526,20100770023NB,0.9,1.0,,20077C000000,6
527,2040060630000,0.2,0.3,,200606300006,3
528,2040114010000,0.6,0.7,,201140100000,6
529,2040114010000,0.7,0.8,,201140100000,6
530,20201190023NB,0.7,0.8,,201190000070,6
531,20100770000NB,97.226,97.3,,200770009722,6
532,20100770000NB,97.5,97.587,,200770009722,6
533,2030061000000,23.936,24.0,,200610002375,6
534,2030061000000,25.117,25.2,,200610002375,6
535,20100640000EB,58.13,58.19,,200640005792,3
536,20100640000EB,57.6347,57.6955,,200640005748,3
537,20100640006EB,0.1355,0.1591,,200064E00000,3
538,20200600000EB,19.9051,19.9608,,200600001864,6
539,2040114010000,0.0,0.0596,,201140100000,6
540,20200600000EB,15.8166,15.8439,,200600001484,6
541,20100640006EB,0.2677,0.3,,200064E00000,6
542,20100770005SB,0.1684,0.1982,,20077S000000,6
543,2030114000000,1.3391,1.3813,,201140000050,6
544,20100770023NB,0.5391,0.6,,20077C000000,6
545,20100640000EB,57.92,57.96,,200640005792,3
546,20100640000EB,57.8216,57.874,,200640005748,3
547,20100770005SB,0.123,0.1684,,20077S000000,6
548,20100640006EB,0.1591,0.2,,200064E00000,3
549,20100640006EB,0.2,0.229,,200064E00000,6
550,20100770000NB,98.1,98.1289,,200770009722,3
551,20100770005SB,0.6,0.6311,,20077S000000,6
552,20200600000EB,19.5,19.55,,200600001864,6
553,20200600000EB,19.7423,19.8,,200600001864,6
554,20100640000EB,57.96,58.0,,200640005792,3
555,2030061000000,23.75,23.8,,200610002375,6
556,2030061000000,23.8,23.8378,,200610002375,6
557,20100640006EB,0.0659,0.1,,200064E00000,3
558,20100640006EB,0.1,0.1226,,200064E00000,3
559,20100770023NB,0.4,0.4621,,20077C000000,6
560,20100770023NB,0.5,0.5391,,20077C000000,6
561,20200600000EB,15.7684,15.8,,200600001484,6
