,RouteId,BeginPoint,EndPoint,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,DirThroughLanesVn,IriVn,PsrVn,SampleId
472,0330094000000,0.0,0.017,,2,5,,,,,030940000000
473,0330094000000,0.023,0.03,,2,5,,,,,030940000000
474,0330094000000,0.017,0.023,,2,5,,,,,030940000000
475,0340005000000,15.1,16.1557,,2,5,,,,,030050001510
476,0340005000000,17.0666,17.57,,2,5,,,,,030050001510
477,0340005000000,16.8111,17.0666,,2,5,,,,,030050001510
478,0340005000000,16.3186,16.64,,2,5,,,,,030050001510
479,0340005000000,16.64,16.7169,,2,5,,,,,030050001510
480,0340005000000,16.25,16.3186,,2,5,,,,,030050001510
481,0340005000000,16.7169,16.7581,,2,5,,,,,030050001510
482,0340005000000,16.1557,16.206,,2,5,,,,,030050001510
483,0340005000000,16.7581,16.7785,,2,5,,,,,030050001510
484,0340005000000,16.7785,16.8111,,2,5,,,,,030050001510
485,0340005000000,16.22,16.25,,2,5,,,,,030050001510
486,0340005000000,16.206,16.22,,2,5,,,,,030050001510
487,2240012000000,4.9825,5.18,,2,4,,,,,220120000491
488,2240012000000,4.945,4.9825,,2,4,,,,,220120000491
489,2240012000000,4.91,4.937,,2,4,,,,,220120000491
490,2240012000000,4.937,4.945,,2,4,,,,,220120000491
491,2040015000000,0.0,0.1,,2,6,,,,,200150000000
492,2040011000000,0.93,0.95,,2,6,,,,,200110000899
493,2040011000000,0.916,0.93,,2,6,,,,,200110000899
494,2040011000000,0.899,0.916,,2,6,,,,,200110000899
495,0330094000000,0.2693,0.382,,2,5,,,,,030940000000
496,0330094000000,0.1725,0.2398,,2,5,,,,,030940000000
497,0330094000000,0.2398,0.2693,,2,5,,,,,030940000000
498,0330094000000,0.382,0.39,,2,5,,,,,030940000000
499,0330094000000,1.9738,3.01,,2,5,,,,,030940000000
500,0330094000000,0.39,1.3986,,2,5,,,,,030940000000
501,0330094000000,1.4801,1.8123,,2,5,,,,,030940000000
502,0330094000000,1.8123,1.9419,,2,5,,,,,030940000000
503,0330094000000,1.4151,1.4801,,2,5,,,,,030940000000
504,0330094000000,1.9419,1.9738,,2,5,,,,,030940000000
505,0330094000000,1.3986,1.4151,,2,5,,,,,030940000000
506,2040023000000,2.8053,2.9765,,2,6,,,,,200230002670
507,2040023000000,2.48,2.67,,2,6,,,,,200230000248
508,2040023000000,2.7002,2.7833,,2,6,,,,,200230002670
509,2040023000000,2.67,2.7002,,2,6,,,,,200230002670
510,2040023000000,2.7833,2.8053,,2,6,,,,,200230002670
511,2040038000000,0.92,1.8205,,2,6,,,,,200380000000
512,2071058001900,0.578,0.999,,2,5,,,,,200105800009
513,2071058001900,1.0078,1.4713,,2,5,,,,,200105800009
514,2071056001900,0.0902,0.38,,2,5,,,,,200105600000
515,2030061000000,20.73,21.0131,,2,4,,,,,200610002073
516,2040038000000,0.0,0.359,,2,6,,,,,200380000000
517,2040038000000,0.363,0.7404,,2,6,,,,,200380000000
518,2030061000000,20.2535,20.3545,,2,4,,,,,200610002018
519,2040038000000,1.9912,2.2216,,2,6,,,,,200380000000
520,2040038000000,1.8205,1.9912,,2,6,,,,,200380000000
521,2040023000000,2.9765,3.2884,,2,6,,,,,200230002670
522,2071058001900,1.5041,1.6213,,2,5,,,,,200105800009
523,2040023000000,3.2884,3.4092,,2,6,,,,,200230002670
524,2030061000000,21.0701,21.2,,2,4,,,,,200610002073
525,2071056001900,0.0,0.0902,,2,5,,,,,200105600000
526,2040038000000,2.2915,2.43,,2,6,,,,,200380000000
527,2040038000000,0.82,0.92,,2,6,,,,,200380000000
528,2071058001900,1.6882,1.81,,2,5,,,,,200105800009
529,2071058001900,1.6213,1.6724,,2,5,,,,,200105800009
530,2040038000000,2.2216,2.2915,,2,6,,,,,200380000000
531,2030061000000,21.0131,21.07,,2,4,,,,,200610002073
532,2040038000000,0.7404,0.82,,2,6,,,,,200380000000
533,2040023000000,3.5354,3.6,,2,6,,,,,200230002670
534,2030061000000,20.18,20.2179,,2,4,,,,,200610002018
535,2040023000000,3.4092,3.51,,2,6,,,,,200230002670
536,2030061000000,20.2179,20.2535,,2,4,,,,,200610002018
537,2071058001900,1.4713,1.5041,,2,5,,,,,200105800009
538,2030061000000,20.3545,20.38,,2,4,,,,,200610002018
539,2071058001900,1.6724,1.6882,,2,5,,,,,200105800009
540,2040023000000,3.51,3.524,,2,6,,,,,200230002670
541,2040023000000,3.524,3.5354,,2,6,,,,,200230002670
542,2071058001900,0.999,1.0078,,2,5,,,,,200105800009
543,2040038000000,0.359,0.363,,2,6,,,,,200380000000
544,2030061000000,21.07,21.0701,,2,4,,,,,200610002073
545,0640021000000,1.51,1.81,,2,6,,,,,060210000151
546,0640021000000,1.203,1.51,,2,6,,,,,060210000090
547,0640017000000,1.2516,1.577,,2,5,,,,,060170000000
548,0640021000000,0.537,0.7205,,2,5,,,,,060021000537
549,0640021000000,0.7205,0.9,,2,5,,,,,060021000537
550,0640021000000,0.9,1.169,,2,6,,,,,060210000090
551,0640017000000,4.47,4.66,,2,4,,,,,060170000447
552,0640017000000,4.05,4.17,,2,4,,,,,060170000405
553,0640001000000,2.477,2.619,,2,6,,,,,060001002477
554,0640017000000,4.7353,4.887,,2,4,,,,,060170000447
555,0640017000000,4.66,4.7353,,2,4,,,,,060170000447
556,0640001000000,2.17,2.224,,2,6,,,,,060001000021
557,0640017000000,4.36,4.41,,2,4,,,,,060170000430
558,0640017000000,4.887,4.97,,2,4,,,,,060170000447
559,0640021000000,1.169,1.1935,,2,6,,,,,060210000090
560,0640017000000,4.97,5.02,,2,4,,,,,060170000447
561,0640001000000,2.145,2.17,,2,6,,,,,060001000021
562,0640001000000,2.102,2.14,,2,6,,,,,060001000021
563,0640017000000,4.331,4.36,,2,4,,,,,060170000430
564,0640017000000,4.3,4.317,,2,4,,,,,060170000430
565,0640021000000,1.1935,1.203,,2,6,,,,,060210000090
566,0640017000000,4.317,4.331,,2,4,,,,,060170000430
567,0640001000000,2.14,2.145,,2,6,,,,,060001000021
568,0640001000000,2.1,2.102,,2,6,,,,,060001000021
569,0640021000000,1.81,2.939,,2,6,,,,,060210000151
570,0640013000000,0.11,0.2454,,2,4,,,,,060130000002
571,0640013000000,0.02,0.11,,2,4,,,,,060130000002
572,0640009000000,1.706,1.803,,2,6,,,,,060090001688
573,0640013000000,0.3171,0.37,,2,4,,,,,060130000002
574,0640013000000,0.2454,0.2934,,2,4,,,,,060130000002
575,0640013000000,0.2934,0.3171,,2,4,,,,,060130000002
576,0640013000000,0.384,0.42,,2,4,,,,,060130000002
577,0640021000000,2.964,2.98,,2,6,,,,,060210002947
578,0640013000000,0.37,0.384,,2,4,,,,,060130000002
579,0640021000000,2.95,2.964,,2,6,,,,,060210002947
580,0640009000000,1.7,1.706,,2,6,,,,,060090001688
581,0640009000000,1.688,1.694,,2,6,,,,,060090001688
582,0640009000000,1.694,1.7,,2,6,,,,,060090001688
583,0640021000000,2.947,2.95,,2,6,,,,,060210002947
584,4040050000000,13.391,13.9466,,2,5,,,,,400500001338
585,4040050000000,13.9466,14.06,,2,5,,,,,400500001338
586,4040050000000,13.38,13.387,,2,5,,,,,400500001338
587,4040050000000,13.387,13.391,,2,5,,,,,400500001338
588,4040050000000,13.38,13.38,,2,5,,,,,400500001338
589,4040046000000,2.83,3.1445,,2,4,,,,,400460000255
590,4040046000000,3.1445,3.3594,,2,4,,,,,400460000255
591,4030034000000,16.1495,16.6231,,2,5,,,,,400340001568
592,4030034000000,17.081,17.416,,2,5,,,,,400034017081
593,4030034000000,15.68,16.05,,2,5,,,,,400340001568
594,4030034000000,16.7826,16.941,,2,5,,,,,400340001568
595,4040046000000,2.55,2.83,,2,4,,,,,400460000255
596,4030034000000,17.6992,17.88,,2,5,,,,,400034017081
597,4030034000000,14.57,14.6863,,2,4,,,,,400340001457
598,4030034000000,16.05,16.1495,,2,5,,,,,400340001568
599,4030034000000,14.8336,14.9478,,2,4,,,,,400340001457
600,4030034000000,17.539,17.6941,,2,5,,,,,400034017081
601,4030034000000,15.4743,15.5682,,2,5,,,,,400340001539
602,4030034000000,16.6231,16.706,,2,5,,,,,400340001568
603,4040046000000,3.3594,3.42,,2,4,,,,,400460000255
604,4030034000000,14.69,14.7508,,2,4,,,,,400340001457
605,4030034000000,14.7508,14.8336,,2,4,,,,,400340001457
606,4030034000000,15.3124,15.3581,,2,5,,,,,400340001527
607,4030034000000,15.63,15.6701,,2,5,,,,,400340001539
608,4030034000000,17.416,17.4729,,2,5,,,,,400034017081
609,4030034000000,17.4729,17.539,,2,5,,,,,400034017081
610,4030034000000,15.5682,15.63,,2,5,,,,,400340001539
611,4030034000000,17.0298,17.081,,2,5,,,,,400340001702
612,4030034000000,15.3581,15.39,,2,5,,,,,400340001527
613,4030034000000,15.39,15.4743,,2,5,,,,,400340001539
614,4030034000000,16.71,16.7825,,2,5,,,,,400340001568
615,4030034000000,15.2867,15.3124,,2,5,,,,,400340001527
616,4030034000000,16.941,16.9782,,2,5,,,,,400340001568
617,4030034000000,16.991,17.018,,2,5,,,,,400340001568
618,4030034000000,16.9782,16.991,,2,5,,,,,400340001568
619,4030034000000,17.018,17.0298,,2,5,,,,,400340001702
620,4030034000000,15.27,15.2867,,2,5,,,,,400340001527
621,4030034000000,14.9478,14.97,,2,4,,,,,400340001457
622,4030034000000,15.6701,15.68,,2,5,,,,,400340001539
623,4030034000000,14.6863,14.69,,2,4,,,,,400340001457
624,4030034000000,17.6941,17.6992,,2,5,,,,,400034017081
625,4030034000000,16.706,16.71,,2,5,,,,,400340001568
626,4030034000000,16.7825,16.7826,,2,5,,,,,400340001568
627,4030034000000,14.57,14.57,,2,4,,,,,400340001457
628,4040046000000,2.55,2.55,,2,4,,,,,400460000255
629,4030034000000,17.88,18.41,,2,5,,,,,400034017081
630,4030034000000,19.0624,19.4261,,2,5,,,,,400340001841
631,4030034000000,18.41,19.0624,,2,5,,,,,400340001841
632,4040012000000,6.6563,6.75,,2,5,,,,,400120000471
633,4040012000000,8.1213,8.19,,2,5,,,,,400120000471
634,4040012000000,4.71,5.43,,2,5,,,,,400120000471
635,4040012000000,6.75,8.1213,,2,5,,,,,400120000471
636,4040012000000,5.82,6.13,,2,5,,,,,400120000471
637,4040012000000,6.2076,6.6563,,2,5,,,,,400120000471
638,4040012000000,5.43,5.82,,2,5,,,,,400120000471
639,4040012000000,6.13,6.2076,,2,5,,,,,400120000471
640,4040012000000,5.82,5.82,,2,5,,,,,400120000471
641,2040006060000,1.3528,2.24,,2,4,,,,,200060600116
642,2040006060000,4.43,5.3538,,2,4,,,,,200060600370
643,2040060020000,2.3205,2.8485,,2,5,,,,,200600200213
644,2040006060000,3.7,4.0876,,2,4,,,,,200060600370
645,2040006060000,2.2653,2.9675,,2,4,,,,,200060600224
646,2040006060000,0.8091,0.9758,,2,4,,,,,200060600080
647,2040006060000,1.1671,1.3528,,2,4,,,,,200060600116
648,4040046000000,0.0,0.232,,2,5,,,,,400460000000
649,2040006060000,4.0927,4.25,,2,4,,,,,200060600370
650,2040006060000,4.25,4.43,,2,4,,,,,200060600370
651,2040060020000,2.13,2.3205,,2,5,,,,,200600200213
652,2040006060000,0.2143,0.47,,2,4,,,,,200060600000
653,2040006060000,0.0745,0.1686,,2,4,,,,,200060600000
654,2040006060000,5.3874,5.4672,,2,4,,,,,200060600370
655,2040006060000,0.9979,1.0731,,2,4,,,,,200060600080
656,2040006060000,5.6869,5.74,,2,4,,,,,200060600370
657,2040006060000,3.04,3.11,,2,4,,,,,200060600224
658,2040060020000,2.8909,3.0,,2,5,,,,,200600200213
659,2040006060000,1.0731,1.16,,2,4,,,,,200060600080
660,2040006150000,0.0,0.04,,1,4,,,,,200061500000
661,2040006150000,0.12,0.17,,2,4,,,,,200061500012
662,2040006060000,5.5548,5.63,,2,4,,,,,200060600370
663,2040006060000,5.5046,5.5548,,2,4,,,,,200060600370
664,2040006060000,0.0,0.0745,,2,4,,,,,200060600000
665,2040006060000,5.4672,5.5046,,2,4,,,,,200060600370
666,2040060020000,2.8485,2.8909,,2,5,,,,,200600200213
667,2040006060000,2.9675,3.04,,2,4,,,,,200060600224
668,2040006060000,5.63,5.6816,,2,4,,,,,200060600370
669,2040006060000,2.24,2.2653,,2,4,,,,,200060600224
670,2040006060000,0.183,0.2143,,2,4,,,,,200060600000
671,2040006060000,5.3538,5.3874,,2,4,,,,,200060600370
672,2040006060000,0.1686,0.183,,2,4,,,,,200060600000
673,2040006060000,0.9758,0.9979,,2,4,,,,,200060600080
674,2040006060000,5.74,5.75,,2,4,,,,,200060600370
675,2040006060000,0.8,0.8091,,2,4,,,,,200060600080
676,2040006060000,4.0876,4.0927,,2,4,,,,,200060600370
677,2040006060000,5.6816,5.6869,,2,4,,,,,200060600370
678,2040006060000,1.16,1.1671,,2,4,,,,,200060600116
679,2040009030000,2.3269,2.86,,2,5,,,,,200090300969
680,2040012000000,1.16,1.8926,,2,4,,,,,200120000000
681,2040012000000,0.407,1.16,,2,4,,,,,200120000000
682,2040012000000,3.7254,3.95,,2,4,,,,,200120000360
683,2040012000000,1.9515,2.5498,,2,4,,,,,200120000000
684,2040012010000,0.287,0.6,,2,5,,,,,200120100000
685,2040009030000,1.94,2.3269,,2,5,,,,,200090300969
686,2040009030000,1.356,1.76,,2,5,,,,,200090300969
687,2040006010000,1.3152,1.6593,,2,5,,,,,200060100046
688,2040006010000,0.46,0.8863,,2,5,,,,,200060100046
689,2040012000000,0.164,0.397,,2,4,,,,,200120000000
690,2040012010000,0.0,0.287,,2,5,,,,,200120100000
691,2040009030000,1.76,1.94,,2,5,,,,,200090300969
692,2040009030000,1.01,1.2742,,2,5,,,,,200090300969
693,2040008000000,2.8016,3.008,,2,5,,,,,200080000272
694,2040006010000,1.06,1.28,,2,5,,,,,200060100046
695,2040006010000,1.6747,1.89,,2,5,,,,,200060100046
696,2040008000000,0.9329,1.17,,2,5,,,,,204000800000
697,2040012000000,0.0,0.156,,2,4,,,,,200120000000
698,2040025260000,0.0,0.1171,,2,5,,,,,200252600000
699,2040012000000,3.6,3.7254,,2,4,,,,,200120000360
700,2040008000000,3.008,3.0946,,2,5,,,,,200080000272
701,2040009030000,1.2742,1.356,,2,5,,,,,200090300969
702,2040025260000,0.1171,0.2095,,2,5,,,,,200252600000
703,2040025260000,0.2095,0.294,,2,5,,,,,200252600000
704,2040006010000,0.9626,1.06,,2,5,,,,,200060100046
705,2040012000000,4.57,4.6487,,2,4,,,,,200120000457
706,2040008000000,3.1421,3.24,,2,5,,,,,200080000272
707,2040012000000,4.0286,4.0685,,2,4,,,,,200120000360
708,2040008000000,3.0946,3.1421,,2,5,,,,,200080000272
709,2040006010000,0.8863,0.9626,,2,5,,,,,200060100046
710,2040012000000,4.6487,4.6819,,2,4,,,,,200120000457
711,2040160070000,0.1734,0.1998,,2,5,,,,,201600700000
712,2040012000000,3.96,4.0286,,2,4,,,,,200120000360
713,2040012000000,4.0685,4.14,,2,4,,,,,200120000360
714,2040008000000,0.86,0.9329,,2,5,,,,,204000800000
715,2040008000000,2.736,2.8016,,2,5,,,,,200080000272
716,2040012000000,1.8926,1.942,,2,4,,,,,200120000000
717,2040009030000,0.97,1.01,,2,5,,,,,200090300969
718,2040160070000,0.0,0.0231,,2,5,,,,,201600700000
719,2040160070000,0.1185,0.146,,2,5,,,,,201600700000
720,2040160070000,0.146,0.1734,,2,5,,,,,201600700000
721,2040160070000,0.2822,0.3059,,2,5,,,,,201600700027
722,2040160070000,0.4563,0.4817,,2,5,,,,,201600700027
723,2040160070000,0.4817,0.51,,2,5,,,,,201600700027
724,2040160070000,0.3814,0.4063,,2,5,,,,,201600700027
725,2040160070000,0.4063,0.4316,,2,5,,,,,201600700027
726,2040160070000,0.4316,0.4563,,2,5,,,,,201600700027
