,RouteId,BeginPoint,EndPoint,NhsVn,FacilityTypeVn,FsystemVn
122,20100640017EB0050A,0.354,0.458,,4,1
123,20100640017EB0050A,0.0,0.325,,4,1
124,20100640017EB0050B,0.0967,0.201,,4,1
125,20100640017WB0053C,0.3633,0.5391,,4,1
126,20100640017EB0050B,0.0,0.0967,,4,1
127,20100640017WB0050C,0.3641,0.446,,4,1
128,20100640017WB0050C,0.0,0.0899,,4,1
129,20100640017WB0050C,0.0899,0.348,,4,1
130,20100640017WB0050D,0.0,0.0957,,4,1
131,20100640017EB0050F,0.0109,0.043,,4,1
132,20100640017EB0050E,0.0,0.0393,,4,1
133,20100640017EB0050A,0.325,0.354,,4,1
134,20100640017EB0050B,0.229,0.2585,,4,1
135,20100640017WB0050D,0.0957,0.1058,,4,1
136,20100640017EB0050F,0.0,0.0109,,4,1
137,20100640017EB0050B,0.201,0.2127,,4,1
138,20100640017EB0050B,0.2177,0.229,,4,1
139,20100640017WB0050C,0.349,0.3539,,4,1
140,20100640017WB0050C,0.3539,0.3641,,4,1
141,20100640017WB0050D,0.1058,0.111,,4,1
142,20100640017EB0050E,0.0393,0.045,,4,1
143,20100640017EB0050B,0.2127,0.2177,,4,1
144,40100640017WB0040D,0.3449,0.749,,4,1
145,40100640017EB0040F,0.579,1.269,,4,1
146,40100640017EB0040A,0.0,0.4,,4,1
147,40100640017EB0040B,0.1597,0.533,,4,1
148,40100640017EB0044A,0.1878,0.5849,,4,1
149,40100640017EB0044B,0.0338,0.4356,,4,1
150,40100640017EB0045A,0.0,0.344,,4,1
151,40100640017EB0040F,0.0,0.327,,4,1
152,40100640017WB0040C,0.4305,0.73,,4,1
153,40100640017WB0040D,0.1532,0.3449,,4,1
154,40100640017WB0040H,0.05,0.241,,4,1
155,40100640017EB0044A,0.0,0.1878,,4,1
156,40100640017WB0044C,0.2588,0.381,,4,1
157,40100640017EB0044B,0.4356,0.711,,4,1
158,40100640017WB0044C,0.0,0.2152,,4,1
159,40100640017WB0044D,0.167,0.351,,4,1
160,40100640017WB0045C,0.0,0.385,,4,1
161,40100640017WB0045D,0.0,0.2938,,4,1
162,40100640017EB0045B,0.0043,0.287,,4,1
163,40100640017WB0040C,0.342,0.4305,,4,1
164,40100640017WB0040C,0.11,0.332,,4,1
165,40100640017EB0040B,0.0,0.1597,,4,1
166,40100640017WB0040D,0.0,0.1532,,4,1
167,40100640017WB0040G,0.0,0.107,,4,1
168,40100640017WB0040C,0.005,0.11,,4,1
169,40100640017EB0040F,0.5212,0.579,,4,1
170,40100640017WB0044D,0.0,0.11,,4,1
171,40100640017EB0044A,0.5849,0.632,,4,1
172,40100640017EB0044E,0.0,0.074,,4,1
173,40100640017EB0044F,0.0,0.071,,4,1
174,40100640017WB0040H,0.0,0.05,,4,1
175,40100640017EB0040F,0.4601,0.5212,,4,1
176,40100640017EB0040F,0.355,0.4426,,4,1
177,40100640017EB0044B,0.0,0.0338,,4,1
178,40100640017WB0044C,0.2152,0.2521,,4,1
179,40100640017EB0040F,0.4446,0.4572,,4,1
180,40100640017WB0044D,0.13,0.146,,4,1
181,40100640017EB0040F,0.327,0.3438,,4,1
182,40100640017WB0040C,0.332,0.342,,4,1
183,40100640017EB0040F,0.3438,0.355,,4,1
184,40100640017WB0044D,0.11,0.1234,,4,1
185,40100640017WB0044D,0.146,0.167,,4,1
186,40100640017WB0044C,0.2521,0.2588,,4,1
187,40100640017WB0044D,0.1234,0.13,,4,1
188,40100640017WB0040C,0.0,0.005,,4,1
189,40100640017EB0045B,0.0,0.0043,,4,1
190,40100640017EB0040F,0.4426,0.4446,,4,1
191,40100640017EB0040F,0.4572,0.4601,,4,1
192,40100640017WB0045D,0.2938,0.294,,4,1
193,20100640017EB0047B,0.0472,0.422,,4,1
194,20100640017EB0047A,0.0,0.289,,4,1
195,20100640017WB0047C,0.0,0.2468,,4,1
196,20100640017WB0047D,0.0357,0.312,,4,1
197,20100640017EB0047E,0.0715,0.314,,4,1
198,20100640017EB0047B,0.0,0.0472,,4,1
199,20100640017WB0047C,0.2468,0.289,,4,1
200,20100640017WB0047D,0.0,0.0357,,4,1
201,20100640017EB0047E,0.0,0.0715,,4,1
202,20100640017WB0047G,0.0,0.022,,4,1
203,20100640017WB0047H,0.0,0.026,,4,1
204,20100640017EB0047F,0.0,0.041,,4,1
205,20100640017EB0053B,0.0202,0.361,,4,1
206,20100640017EB0056B,0.0,0.39,,4,1
207,20100640017WB0054C,0.0,0.4896,,4,1
208,20100640017WB0056C,0.0,0.297,,4,1
209,20100640017EB0054B,0.1683,0.626,,4,1
210,20100640017EB0055B,0.0,0.3614,,4,1
211,20100640017WB0053C,0.0,0.3633,,4,1
212,20100640017EB0054F,0.0,0.1,,4,1
213,20100640017EB058AA,0.0,0.2096,,4,1
214,20100640017EB058AA,0.2096,0.405,,4,1
215,20100640017WB058AC,0.1964,0.408,,4,1
216,20100640017WB0055C,0.0573,0.32,,4,1
217,20100640017WB0056D,0.0417,0.2877,,4,1
218,20100640017EB0054A,0.313,0.4374,,4,1
219,20100640017WB0054D,0.181,0.3331,,4,1
220,20100640017EB0054B,0.0612,0.1683,,4,1
221,20100640017EB0053A,0.0,0.0784,,4,1
222,20100640017EB0053A,0.0784,0.2319,,4,1
223,20100640017EB0054A,0.0806,0.1262,,4,1
224,20100640017EB0056A,0.034,0.1924,,4,1
225,20100640017EB0054A,0.1358,0.285,,4,1
226,20100640017WB0054D,0.0,0.137,,4,1
227,20100640017EB0053A,0.2319,0.29,,4,1
228,20100640017EB0053B,0.0,0.0202,,4,1
229,20100640017EB0053F,0.0,0.042,,4,1
