,RouteId,BeginPoint,EndPoint,SpeedLimitVn,SampleId,NhsVn,SampleId
0,30200520000EB,21.2192,21.3,,300520002106,1,300520002106
1,30200520000EB,21.3,21.4,,300520002106,1,300520002106
2,30200520000EB,21.5,21.6,,300520002106,1,300520002106
3,30200520000EB,21.114,21.2,,300520002106,1,300520002106
4,30200520000EB,20.8019,20.86,,300520002078,1,300520002078
5,30200520000EB,21.06,21.09,,300520002106,1,300520002106
6,30200520000EB,21.4,21.44,,300520002106,1,300520002106
7,30200520000EB,20.86,20.9,,300520002078,1,300520002078
8,30200520000EB,21.7,21.7366,,300520002106,1,300520002106
9,30200520000EB,21.6211,21.6701,,300520002106,1,300520002106
10,30200520000EB,21.4468,21.5,,300520002106,1,300520002106
11,30200520000EB,21.6,21.6211,,300520002106,1,300520002106
12,30200520000EB,20.6808,20.7,,300520002068,1,300520002068
13,30200520000EB,20.7,20.7542,,300520002068,1,300520002068
14,30200520000EB,21.6701,21.7,,300520002106,1,300520002106
15,30200520000EB,21.2063,21.2192,,300520002106,1,300520002106
16,30200520000EB,20.7564,20.78,,300520002068,1,300520002068
17,30200520000EB,20.78,20.8,,300520002078,1,300520002078
18,30200520000EB,20.9,20.91,,300520002078,1,300520002078
19,30200520000EB,21.1,21.114,,300520002106,1,300520002106
20,30200520000EB,21.44,21.4468,,300520002106,1,300520002106
21,30200520000EB,21.09,21.1,,300520002106,1,300520002106
22,30200520000EB,21.2,21.2063,,300520002106,1,300520002106
23,30200520000EB,20.7542,20.7564,,300520002068,1,300520002068
24,30200520000EB,20.8,20.8019,,300520002078,1,300520002078
25,30200520000EB,20.68,20.6808,,300520002068,1,300520002068
26,30200520000EB,10.6,10.7,,300520000995,1,300520000995
27,30200520000EB,11.2,11.3,,300520000995,1,300520000995
28,30200520000EB,11.6,11.65,,300520000995,1,300520000995
29,30200520000EB,10.1,10.2,,300520000995,1,300520000995
30,30200520000EB,10.2,10.3,,300520000995,1,300520000995
31,30200520000EB,10.4,10.5,,300520000995,1,300520000995
32,30200520000EB,10.5,10.6,,300520000995,1,300520000995
33,30200520000EB,10.7,10.8,,300520000995,1,300520000995
34,30200520000EB,10.8,10.9,,300520000995,1,300520000995
35,30200520000EB,10.9,11.0,,300520000995,1,300520000995
36,30200520000EB,11.0,11.1,,300520000995,1,300520000995
37,30200520000EB,11.1,11.2,,300520000995,1,300520000995
38,30200520000EB,11.3,11.4,,300520000995,1,300520000995
39,30200520000EB,11.4,11.5,,300520000995,1,300520000995
40,30200520000EB,11.5,11.6,,300520000995,1,300520000995
41,30200520000EB,9.95,10.0,,300520000995,1,300520000995
42,30200520000EB,10.0,10.1,,300520000995,1,300520000995
43,30200520000EB,10.3,10.3787,,300520000995,1,300520000995
44,30200520000EB,10.3787,10.4,,300520000995,1,300520000995
45,2430083000000,1.1,1.2,,240830000000,1,240830000000
46,2430083000000,0.8,0.9,,240830000000,1,240830000000
47,2430083000000,0.6,0.7,,240830000000,1,240830000000
48,2430083000000,0.5,0.6,,240830000000,1,240830000000
49,2430083000000,0.3,0.4,,240830000000,1,240830000000
50,2430083000000,0.1,0.2,,240830000000,1,240830000000
51,2430083000000,5.04,5.1,,240830000000,1,240830000000
52,2430083000000,4.6,4.68,,240830000000,1,240830000000
53,2430083000000,4.12,4.2,,240830000000,1,240830000000
54,2430083000000,1.84,1.9,,240830000000,1,240830000000
55,2430083000000,1.2,1.27,,240830000000,1,240830000000
56,2430083000000,0.7,0.8,,240830000000,1,240830000000
57,2430083000000,0.4,0.5,,240830000000,1,240830000000
58,2430083000000,0.0,0.1,,240830000000,1,240830000000
59,2430083000000,0.2,0.3,,240830000000,1,240830000000
60,2430083000000,1.7,1.8,,240830000000,1,240830000000
61,2430083000000,1.9,2.0,,240830000000,1,240830000000
62,2430083000000,2.2,2.3,,240830000000,1,240830000000
63,2430083000000,2.3,2.4,,240830000000,1,240830000000
64,2430083000000,1.4,1.4911,,240830000000,1,240830000000
65,2430083000000,2.0,2.1,,240830000000,1,240830000000
66,2430083000000,0.9106,1.0,,240830000000,1,240830000000
67,2430083000000,1.0,1.1,,240830000000,1,240830000000
68,2430083000000,1.6,1.7,,240830000000,1,240830000000
69,2430083000000,3.21,3.3,,240830000000,1,240830000000
70,2430083000000,3.3,3.4,,240830000000,1,240830000000
71,2430083000000,3.8036,3.9,,240830000000,1,240830000000
72,2430083000000,3.9448,4.0,,240830000000,1,240830000000
73,2430083000000,4.0,4.0843,,240830000000,1,240830000000
74,2430083000000,4.3,4.3782,,240830000000,1,240830000000
75,2430083000000,4.4,4.5,,240830000000,1,240830000000
76,2430083000000,4.9,5.0,,240830000000,1,240830000000
77,2430083000000,2.401,2.5,,240830000000,1,240830000000
78,2430083000000,2.5,2.6,,240830000000,1,240830000000
79,2430083000000,2.7,2.8,,240830000000,1,240830000000
80,2430083000000,2.8,2.8989,,240830000000,1,240830000000
81,2430083000000,2.9079,3.0,,240830000000,1,240830000000
82,2430083000000,3.0,3.1,,240830000000,1,240830000000
83,2430083000000,3.4,3.5,,240830000000,1,240830000000
84,2430083000000,3.7,3.8,,240830000000,1,240830000000
85,2430083000000,4.7,4.8,,240830000000,1,240830000000
86,2430083000000,4.5269,4.5897,,240830000000,1,240830000000
87,2430083000000,3.6021,3.6706,,240830000000,1,240830000000
88,2430083000000,5.0,5.04,,240830000000,1,240830000000
89,2430083000000,5.1,5.15,,240830000000,1,240830000000
90,2430083000000,4.2,4.2446,,240830000000,1,240830000000
91,2430083000000,1.8,1.84,,240830000000,1,240830000000
92,2430083000000,2.14,2.2,,240830000000,1,240830000000
93,2430083000000,1.3,1.37,,240830000000,1,240830000000
94,2430083000000,2.1,2.14,,240830000000,1,240830000000
95,2430083000000,1.5327,1.6,,240830000000,1,240830000000
96,2430083000000,4.2446,4.3,,240830000000,1,240830000000
97,2430083000000,4.8,4.8452,,240830000000,1,240830000000
98,2430083000000,4.8452,4.9,,240830000000,1,240830000000
99,2430083000000,5.15,5.2,,240830000000,1,240830000000
100,2430083000000,5.2,5.2205,,240830000000,1,240830000000
101,2430083000000,2.6391,2.7,,240830000000,1,240830000000
102,2430083000000,3.1142,3.2,,240830000000,1,240830000000
103,2430083000000,3.5,3.5234,,240830000000,1,240830000000
104,2430083000000,3.5289,3.6,,240830000000,1,240830000000
