,RouteId,BeginPoint,EndPoint,IriVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,UrbanIdVn,SampleId,DirThroughLanesVn,PsrVn
0,2430016000000,16.06,16.078,,6,2,3,1,99999,240160001606.0,,
1,2430016000000,16.078,16.1,,6,2,3,1,99999,240160001606.0,,
2,2430016000100,0.0,0.06,,6,2,3,1,99999,,,
3,24200520002WB,0.0051,0.0181,,6,2,3,1,99999,,,
4,24200520002WB,0.0,0.0051,,6,2,3,1,99999,,,
5,24200520002WB,0.0181,0.021,,6,2,3,1,99999,,,
6,06100640000WB,5.87,5.9,,6,6,1,1,40753,,2.0,
7,28100770000NB,0.1,0.2,,6,2,1,1,99999,,2.0,
8,28100770000NB,0.2,0.3,,6,2,1,1,99999,,2.0,
9,28100770000NB,0.4,0.5,,6,2,1,1,99999,,2.0,
10,28100770000SB,0.0,0.1,,6,6,1,1,99999,,2.0,
11,28100770000SB,0.1,0.2,,6,6,1,1,99999,,2.0,
12,28204600000EB,4.29,4.3,,6,2,3,1,99998,284600000429.0,,
13,5530054000000,4.89,4.9,,6,2,3,1,99999,,,
14,13100640000EB,175.6123,175.7,,6,2,1,1,99999,130640017531.0,2.0,
15,13100640000EB,175.6,175.6123,,6,2,1,1,99999,130640017531.0,2.0,
16,20100770016SB,67.21,67.3,,6,6,1,1,99999,,2.0,
17,5430095000000,3.69,3.7,,6,2,3,1,67672,,,
18,2930093000200,0.0,0.025,,6,2,3,1,99999,,,
19,3530088000000,6.18,6.2,,6,2,3,1,94726,,,
20,3140019240000,2.69,2.6963,,6,2,3,1,59275,,,
21,3140019240000,2.6963,2.7,,6,2,3,1,59275,,,
22,1630055000000,34.8,34.9,,6,2,3,1,99999,,,
23,1630055000000,35.018,35.1,,6,2,3,1,99999,,,
24,1630055000000,36.3,36.36,,6,2,3,1,99999,,,
25,1630055000000,34.3481,34.4,,6,2,3,1,99999,,,
26,1630055000000,34.4,34.5,,6,2,3,1,99999,,,
27,1630055000000,34.5584,34.6,,6,2,3,1,99999,,,
28,1630055000000,34.2,34.3,,6,2,3,1,99999,,,
29,1630055000000,34.6,34.7,,6,2,3,1,99999,,,
30,1630055000000,34.7,34.7824,,6,2,3,1,99999,,,
31,1630055000000,35.1,35.2,,6,2,3,1,99999,,,
32,1630055000000,35.8,35.9,,6,2,3,1,99999,160550003557.0,,
33,1630055000000,35.9057,36.0,,6,2,3,1,99999,160550003557.0,,
34,1630055000000,36.0,36.0538,,6,2,3,1,99999,160550003557.0,,
35,1630055000000,36.2,36.3,,6,2,3,1,99999,160550003557.0,,
36,1630055000000,36.4,36.49,,6,2,3,1,99999,,,
37,1630055000000,36.5,36.6,,6,2,3,1,99999,,,
38,1630055000000,36.9,37.0,,6,2,3,1,99999,,,
39,1630055000000,37.1,37.2,,6,2,3,1,99999,,,
40,1630055000000,34.9,34.998,,6,2,3,1,99999,,,
41,1630055000000,35.34,35.3995,,6,2,3,1,99999,,,
42,1630055000000,36.8246,36.8669,,6,2,3,1,99999,,,
43,1630055000000,35.7037,35.79,,6,2,3,1,99999,160550003557.0,,
44,1630055000000,34.3,34.3481,,6,2,3,1,99999,,,
45,1630055000000,34.5,34.5584,,6,2,3,1,99999,,,
46,1630055000000,36.66,36.7,,6,2,3,1,99999,,,
47,1630055000000,36.7,36.7606,,6,2,3,1,99999,,,
48,1630055000000,35.2355,35.3,,6,2,3,1,99999,,,
49,1630055000000,35.3,35.3341,,6,2,3,1,99999,,,
50,1630055000000,35.2,35.2355,,6,2,3,1,99999,,,
51,1630055000000,35.4226,35.5,,6,2,3,1,99999,,,
52,1630055000000,35.57,35.6,,6,2,3,1,99999,160550003557.0,,
53,1630055000000,36.1,36.1383,,6,2,3,1,99999,160550003557.0,,
54,1630055000000,36.1383,36.2,,6,2,3,1,99999,160550003557.0,,
55,1630055000000,36.36,36.4,,6,2,3,1,99999,,,
56,1630055000000,36.8,36.8246,,6,2,3,1,99999,,,
57,1630055000000,37.0,37.0657,,6,2,3,1,99999,,,
58,1630055000000,37.0657,37.1,,6,2,3,1,99999,,,
59,1630055000000,35.5182,35.5466,,6,2,3,1,99999,,,
60,1630055000000,35.4013,35.4226,,6,2,3,1,99999,,,
61,1630055000000,35.627,35.6696,,6,2,3,1,99999,160550003557.0,,
62,1630055000000,36.7606,36.7876,,6,2,3,1,99999,,,
