,RouteId,BeginPoint,EndPoint,LaneWidthVn,SampleId
5842,5530016000000,2.7,2.8,,550160000173
5843,2430016000000,34.1371,34.1811,,240160003270
5844,2430016000000,33.2491,33.2922,,240160003270
5845,2430016000000,33.2063,33.2491,,240160003270
5846,5530016000000,1.7622,1.8,,550160000173
5847,2430016000000,34.2,34.2785,,240160003270
5848,2430016000000,34.3,34.3971,,240160003270
5849,2430016000000,34.5454,34.6,,240160003270
5850,2430016000000,35.2,35.3,,240160003270
5851,2430016000000,34.5097,34.5454,,240160003270
5852,5530016000000,2.0095,2.0218,,550160000173
5853,2430016000000,33.8,33.84,,240160003270
5854,2430016000000,34.0,34.0174,,240160003270
5855,2430016000000,34.1,34.1186,,240160003270
5856,2430016000000,34.1811,34.2,,240160003270
5857,2430016000000,33.7,33.7239,,240160003270
5858,5530016000000,1.736,1.7622,,550160000173
5859,2430016000000,34.1186,34.1371,,240160003270
5860,2430016000000,34.2785,34.3,,240160003270
5861,2430016000000,34.9883,35.0,,240160003270
5862,2430016000000,35.0,35.0274,,240160003270
5863,5530016000000,2.0,2.0095,,550160000173
5864,5530016000000,2.39,2.4,,550160000173
5865,2430016000000,33.9,33.9057,,240160003270
5866,2430016000000,34.5,34.5097,,240160003270
5867,2430016000000,33.2922,33.3,,240160003270
5868,2430016000000,33.6929,33.7,,240160003270
5869,5530016000000,2.3,2.31,,550160000173
5870,5530016000000,1.73,1.736,,550160000173
5871,2430016000000,33.2,33.2063,,240160003270
5872,5530016000000,2.6952,2.7,,550160000173
5873,2430016000000,34.3971,34.4,,240160003270
5874,2430016000000,32.7,32.7,,240160003270
5875,5530097000000,21.7916,21.9865,,550970002156
5876,5530097000000,21.9865,22.1701,,550970002156
5877,5530097000000,23.0,23.1,,550970002283
5878,5530097000000,21.56,21.6295,,550970002156
5879,5530016000000,8.7086,8.8,,550160000642
5880,5530097000000,23.1,23.2,,550970002283
5881,5530010000000,24.2,24.3,,550100002414
5882,5530010000000,24.3,24.38,,550100002414
5883,5530016000000,11.1,11.2,,550160001099
5884,5530016000000,11.2,11.3,,550160001099
5885,5530016000000,11.3,11.4,,550160001099
5886,5530016000000,8.5,8.6,,550160000642
5887,5530016000000,8.6,8.7,,550160000642
5888,5530016000000,8.8,8.9,,550160000642
5889,5530097000000,22.85,22.9,,550970002283
5890,5530097000000,22.9,23.0,,550970002283
5891,5530097000000,21.69,21.7916,,550970002156
5892,5530097000000,22.1701,22.2199,,550970002156
5893,5530010000000,24.16,24.2,,550100002414
5894,5530016000000,8.9,8.95,,550160000642
5895,5530016000000,11.0,11.033,,550160001099
5896,5530097000000,22.2286,22.2586,,550970002156
5897,5530097000000,21.6295,21.6714,,550970002156
5898,5530097000000,21.6714,21.69,,550970002156
5899,5530097000000,22.83,22.85,,550970002283
5900,5530016000000,11.053,11.08,,550160001099
5901,5530016000000,8.7,8.7086,,550160000642
5902,5530016000000,10.99,11.0,,550160001099
5903,5530016000000,11.08,11.1,,550160001099
5904,5530010000000,24.151,24.16,,550100002414
5905,5530016000000,11.033,11.053,,550160001099
5906,5530097000000,22.2199,22.2286,,550970002156
5907,5530010000000,24.14,24.151,,550100002414
5908,5530097000000,22.2586,22.26,,550970002156
5909,2840025000000,0.9463,1.53,,280250000057
5910,2830020000000,4.23,4.45,,280200000423
5911,2830020000000,5.08,5.2,,280200000423
5912,2830020000000,4.6507,4.9,,280200000423
5913,2840025000000,0.67,0.9463,,280250000057
5914,2840025000000,0.41,0.5562,,280250000000
5915,2830020000000,4.45,4.6507,,280200000423
5916,2830020000000,4.9,5.0537,,280200000423
5917,28200190000NB,3.3,3.4,,280190000288
5918,28200190000NB,3.7011,3.8,,280190000288
5919,28200190000NB,6.4,6.5,,280190000601
5920,28200190000NB,6.8,6.9,,280190000601
5921,2870504001900,0.499,0.6197,,280050400047
5922,2840025000000,0.57,0.67,,280250000057
