,RouteId,BeginPoint,EndPoint,FaultingVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,SampleId,DirThroughLanesVn,PsrVn,IriVn
845,35104700000EB,0.1,0.1915,,3,2,1,1.0,354700000000,2.0,,136
846,35100700000EB,1.6,1.7,,3,2,1,1.0,350700000144,2.0,,110
847,35100700000EB,0.5,0.6,,3,2,1,1.0,350700000049,2.0,,91
848,35100700000EB,0.6,0.69,,3,2,1,1.0,350700000049,2.0,,133
849,35202500005SB,0.0,0.056,,3,1,2,1.0,35250S000000,,,161
850,35100700000EB,0.1032,0.1624,,3,2,1,1.0,350700000008,2.0,,78
851,35202500000NB,3.2153,3.2475,,3,1,2,1.0,352500000293,,,263
852,35100700000EB,1.2529,1.284,,3,2,1,1.0,,2.0,,114
853,35100700000EB,1.2,1.23,,3,2,1,1.0,350700000085,2.0,,114
854,35100700000EB,0.1624,0.2,,3,2,1,1.0,350700000008,2.0,,78
855,35100700000EB,1.4,1.44,,3,2,1,1.0,,2.0,,104
856,35104700000EB,0.3,0.34,,3,2,1,1.0,354700000000,2.0,,140
857,35104700000EB,0.447,0.5,,3,2,1,1.0,354700000000,2.0,,136
858,35104700000EB,0.5,0.52,,3,2,1,1.0,354700000000,2.0,,105
859,35104700000EB,0.55,0.6,,3,2,1,1.0,354700000000,2.0,,105
860,35202500005SB,0.0715,0.1,,3,1,2,1.0,35250S000000,,,161
861,35104700000EB,0.4,0.447,,3,2,1,1.0,354700000000,2.0,,136
862,35100700000EB,0.08,0.1,,3,2,1,1.0,350700000008,2.0,,58
863,35100700000EB,1.92,1.949,,3,2,1,1.0,350700000192,2.0,,175
864,35202500005SB,0.1207,0.166,,3,1,2,1.0,35250S000000,,,200
865,35100700000EB,0.715,0.75,,3,2,1,1.0,350700000049,2.0,,174
866,35100700000EB,0.75,0.777,,3,2,1,1.0,350700000049,2.0,,174
867,26202500000NB,37.811,37.873,,3,2,3,1.0,,,,212
868,26202500000NB,37.873,37.9,,3,2,3,1.0,,,,212
869,35100700000EB,1.23,1.2529,,3,2,1,1.0,,2.0,,114
870,35100700000EB,1.5746,1.597,,3,2,1,1.0,350700000144,2.0,,98
871,35100700000EB,0.2,0.2209,,3,2,1,1.0,350700000008,2.0,,60
872,35100700000EB,1.3824,1.4,,3,2,1,1.0,,2.0,,96
873,35100700000EB,1.5,1.514,,3,2,1,1.0,350700000144,2.0,,98
874,35100700000EB,1.78,1.8,,3,2,1,1.0,350700000144,2.0,,103
875,35104700000EB,0.2,0.218,,3,2,1,1.0,354700000000,2.0,,132
876,35104700000EB,0.79,0.8,,3,2,1,1.0,354700000000,2.0,,145
877,35202500005SB,0.1,0.1207,,3,1,2,1.0,35250S000000,,,200
878,35100700000EB,1.9666,2.0,,3,2,1,1.0,350700000192,2.0,,175
