,RouteId,BeginPoint,EndPoint,TurnLanesRVn,UrbanIdVn,AccessControlVn,SampleId
24,28200190000NB,11.63,11.7,,99998,3,280190001076
25,0230009000000,10.52,10.532,,36190,2,20090001052
