,RouteId,BeginPoint,EndPoint,ThicknessRigidVn,SampleId,SurfaceTypeVn
336,41200190023EB,0.3,0.331,,410190000034,3
337,41100640000EB,119.952,119.976,,410640011892,3
338,41100640000EB,120.0,120.022,,410640011892,3
339,41100640000EB,120.022,120.049,,410640011892,3
340,4130016000000,15.7581,15.774,,410160001565,3
341,4130016000000,15.774,15.8,,410160001565,3
342,41200190023EB,0.8413,0.8524,,410190000034,3
343,41100640000EB,119.976,120.0,,410640011892,3
344,41200190023EB,0.5845,0.6,,410190000034,3
345,4130016000000,15.8,15.81,,410160001565,3
346,41100640000EB,120.066,120.0744,,410640011892,3
347,4130016000000,15.752,15.7581,,410160001565,3
348,41200190023EB,0.8524,0.8581,,410190000034,3
349,41100640000EB,120.049,120.054,,410640011892,3
350,41100640000EB,120.054,120.066,,410640011892,3
351,41200190023EB,0.033,0.034,,41019C000003,3
352,41200190023EB,0.0326,0.033,,41019C000000,3
353,41100770004NB,0.3999,0.4,,41077N000000,3
354,45100640000EB,139.2,139.3,,450640013838,3
355,45100640000EB,139.9,140.0,,450640013838,3
356,45100640000EB,140.2,140.3,,450640013838,3
357,45100640000EB,138.4,138.5,,450640013838,3
358,45100640000EB,138.9,139.0,,450640013838,3
359,45100640000EB,138.01,138.1,,450640013801,3
360,45100640000EB,138.5,138.6,,450640013838,3
361,45100640000EB,138.8,138.9,,450640013838,3
362,45100640000EB,139.3,139.4,,450640013838,3
363,45100640000EB,139.4,139.5,,450640013838,3
364,45100640000EB,139.5,139.6,,450640013838,3
365,45100640000EB,139.6,139.7,,450640013838,3
366,45100640000EB,139.7,139.8,,450640013838,3
367,45100640000EB,139.8,139.9,,450640013838,3
368,45100640000EB,140.0,140.1,,450640013838,3
369,45100640000EB,140.1,140.2,,450640013838,3
370,45100640000EB,139.0,139.1,,450640013838,3
371,45100640000EB,139.1,139.2,,450640013838,3
372,45100640000EB,138.3,138.3425,,450640013801,3
373,45100640000EB,138.7,138.7393,,450640013838,3
374,45100640000EB,138.7393,138.8,,450640013838,3
375,45100640000EB,138.3425,138.373,,450640013801,3
376,45100640000EB,138.6172,138.672,,450640013838,3
377,45100640000EB,138.38,138.4,,450640013838,3
378,45100640000EB,138.672,138.7,,450640013838,3
379,45100640000EB,138.6,138.6172,,450640013838,3
380,45100640000EB,138.373,138.38,,450640013801,3
381,41200190014NB,2.251,2.3,,41019BP00000,3
382,10200190000NB,3.8,3.82,,100190000285,3
383,10200190000NB,3.89,3.9,,100190000389,3
384,10200190000NB,1.001,1.02,,100190000000,3
385,10200190000NB,1.0,1.001,,100190000000,3
386,45100640000EB,140.5,140.6,,450640013838,3
387,45100640000EB,140.3,140.4,,450640013838,3
388,45100640000EB,140.4,140.5,,450640013838,3
389,45100640000EB,140.6,140.7,,450640013838,3
390,45100640000EB,141.0,141.1,,450640013838,3
391,45100640000EB,141.4,141.5,,450640013838,3
392,45100640000EB,141.9,142.0,,450640013838,3
393,45100640000EB,144.5,144.6,,450640014375,3
394,45100640000EB,145.3,145.4,,450640014375,3
395,45100640000EB,145.6,145.7,,450640014375,3
396,45100640000EB,145.9,146.0,,450640014375,3
397,45100640000EB,146.2,146.3,,450640014375,3
398,45100640000EB,142.3,142.4,,450640013838,3
399,45100640000EB,146.6,146.7,,450640014375,3
400,45100640000EB,142.7,142.7438,,450640013838,3
401,45100640000EB,140.7,140.8,,450640013838,3
402,45100640000EB,140.8,140.8477,,450640013838,3
403,45100640000EB,143.0,143.1,,450640013838,3
404,45100640000EB,143.2,143.3,,450640014320,3
405,45100640000EB,143.3,143.4,,450640014320,3
406,45100640000EB,143.4,143.5,,450640014320,3
407,45100640000EB,143.5,143.5799,,450640014320,3
408,45100640000EB,143.6,143.7,,450640014320,3
409,45100640000EB,143.8,143.9,,450640014375,3
410,45100640000EB,143.9,144.0,,450640014375,3
411,45100640000EB,144.0,144.1,,450640014375,3
412,45100640000EB,144.1,144.2,,450640014375,3
413,45100640000EB,144.2,144.3,,450640014375,3
414,45100640000EB,144.3,144.4,,450640014375,3
415,45100640000EB,144.6,144.7,,450640014375,3
416,45100640000EB,144.7,144.8,,450640014375,3
417,45100640000EB,144.8,144.9,,450640014375,3
418,45100640000EB,144.9,145.0,,450640014375,3
419,45100640000EB,145.0,145.1,,450640014375,3
420,45100640000EB,145.1,145.2,,450640014375,3
421,45100640000EB,145.2,145.3,,450640014375,3
422,45100640000EB,145.4,145.5,,450640014375,3
423,45100640000EB,145.5,145.6,,450640014375,3
424,45100640000EB,145.7,145.8,,450640014375,3
425,45100640000EB,145.8,145.9,,450640014375,3
426,45100640000EB,146.0,146.1,,450640014375,3
427,45100640000EB,146.1,146.2,,450640014375,3
428,45100640000EB,146.4,146.4491,,450640014375,3
429,45100640000EB,146.5,146.6,,450640014375,3
430,45100640000EB,140.9,141.0,,450640013838,3
431,45100640000EB,141.1,141.2,,450640013838,3
432,45100640000EB,141.2,141.3,,450640013838,3
433,45100640000EB,141.3,141.4,,450640013838,3
434,45100640000EB,141.5,141.6,,450640013838,3
435,45100640000EB,141.6,141.7,,450640013838,3
436,45100640000EB,142.2,142.3,,450640013838,3
437,45100640000EB,142.4,142.5,,450640013838,3
438,45100640000EB,142.5,142.6,,450640013838,3
439,45100640000EB,142.6,142.7,,450640013838,3
440,45100640000EB,142.8441,142.9,,450640013838,3
441,45100640000EB,141.7,141.8,,450640013838,3
442,45100640000EB,141.8,141.9,,450640013838,3
443,45100640000EB,142.0,142.1,,450640013838,3
444,45100640000EB,142.1,142.2,,450640013838,3
445,45100640000EB,142.7438,142.8,,450640013838,3
446,45100640000EB,142.8,142.8441,,450640013838,3
447,45100640000EB,146.3,146.36,,450640014375,3
448,45100640000EB,143.7,143.75,,450640014320,3
449,45100640000EB,144.4,144.5,,450640014375,3
450,45100640000EB,146.36,146.4,,450640014375,3
451,45100640000EB,146.4491,146.5,,450640014375,3
452,45100640000EB,140.8477,140.9,,450640013838,3
453,45100640000EB,143.1,143.168,,450640013838,3
454,45100640000EB,143.75,143.7828,,450640014375,3
455,45100640000EB,143.5799,143.6,,450640014320,3
456,45100640000EB,143.7828,143.8,,450640014375,3
457,45100640000EB,143.168,143.1873,,450640013838,3
458,45100640000EB,143.1873,143.198,,450640013838,3
459,45100640000EB,143.198,143.2,,450640013838,3
460,13100640000EB,148.5,148.6,,130640014793,3
461,13100640000EB,150.9,151.0,,130640014984,3
462,13100640000EB,151.3,151.4,,130640014984,3
463,45100640000EB,147.2,147.3,,450640014375,3
464,45100640000EB,147.5,147.6,,450640014375,3
465,13100640000EB,148.2,148.3,,130640014793,3
466,13100640000EB,148.9,149.0,,130640014793,3
467,13100640000EB,147.93,148.0,,130640014793,3
468,13100640000EB,148.3,148.4,,130640014793,3
469,13100640000EB,148.4,148.5,,130640014793,3
470,13100640000EB,148.6,148.7,,130640014793,3
471,13100640000EB,148.7,148.8,,130640014793,3
472,13100640000EB,148.8,148.9,,130640014793,3
473,13100640000EB,149.0,149.1,,130640014793,3
474,13100640000EB,149.1,149.2,,130640014793,3
475,13100640000EB,149.2,149.3,,130640014793,3
476,13100640000EB,149.3,149.378,,130640014793,3
477,13100640000EB,150.5,150.6,,130640014984,3
478,13100640000EB,150.7,150.8,,130640014984,3
479,13100640000EB,150.8,150.9,,130640014984,3
480,13100640000EB,151.0,151.1,,130640014984,3
481,13100640000EB,151.1,151.2,,130640014984,3
482,13100640000EB,151.2,151.3,,130640014984,3
483,13100640000EB,151.4223,151.5,,130640014984,3
484,13100640000EB,151.5,151.6,,130640014984,3
485,13100640000EB,151.6,151.7,,130640014984,3
486,13100640000EB,151.7,151.8,,130640014984,3
487,13100640000EB,151.8,151.9,,130640014984,3
488,13100640000EB,151.9,152.0,,130640014984,3
489,13100640000EB,152.0,152.1,,130640014984,3
490,13100640000EB,152.1,152.2,,130640014984,3
491,13100640000EB,152.2,152.3,,130640014984,3
492,13100640000EB,152.3,152.4,,130640014984,3
493,13100640000EB,152.4,152.4769,,130640014984,3
494,13100640000EB,152.5,152.6,,130640014984,3
495,13100640000EB,152.6,152.7,,130640014984,3
496,13100640000EB,147.6,147.7,,130640014760,3
497,13100640000EB,147.75,147.8,,130640014760,3
498,13100640000EB,147.8,147.9,,130640014760,3
499,13100640000EB,148.0,148.1,,130640014793,3
500,13100640000EB,148.1,148.2,,130640014793,3
501,13100640000EB,149.6,149.7,,130640014793,3
502,13100640000EB,149.9,150.0,,130640014984,3
503,45100640000EB,146.7,146.8,,450640014375,3
504,45100640000EB,146.8,146.9,,450640014375,3
505,45100640000EB,146.9,147.0,,450640014375,3
506,45100640000EB,147.0,147.1,,450640014375,3
507,45100640000EB,147.1,147.2,,450640014375,3
508,45100640000EB,147.3,147.4,,450640014375,3
509,45100640000EB,147.4,147.5,,450640014375,3
510,13100640000EB,150.0,150.1,,130640014984,3
511,13100640000EB,147.9,147.93,,130640014760,3
512,13100640000EB,150.3135,150.4,,130640014984,3
513,13100640000EB,150.6,150.7,,130640014984,3
514,13100640000EB,147.7,147.75,,130640014760,3
515,13100640000EB,149.531,149.6,,130640014793,3
516,13100640000EB,149.7,149.8,,130640014793,3
517,13100640000EB,149.84,149.9,,130640014984,3
518,13100640000EB,150.4,150.456,,130640014984,3
519,13100640000EB,150.232,150.3,,130640014984,3
520,13100640000EB,150.1,150.145,,130640014984,3
521,13100640000EB,149.4,149.472,,130640014793,3
522,13100640000EB,151.4,151.4223,,130640014984,3
523,13100640000EB,149.5,149.531,,130640014793,3
524,13100640000EB,149.8,149.83,,130640014793,3
525,13100640000EB,150.1573,150.2,,130640014984,3
526,13100640000EB,150.456,150.496,,130640014984,3
527,13100640000EB,149.476,149.5,,130640014793,3
528,13100640000EB,152.4769,152.49,,130640014984,3
529,13100640000EB,149.83,149.84,,130640014793,3
530,13100640000EB,149.378,149.4,,130640014793,3
531,13100640000EB,150.3,150.3135,,130640014984,3
532,13100640000EB,150.2,150.214,,130640014984,3
533,13100640000EB,150.2154,150.232,,130640014984,3
534,13100640000EB,152.49,152.5,,130640014984,3
535,13100640000EB,150.145,150.153,,130640014984,3
536,13100640000EB,150.496,150.5,,130640014984,3
537,13100640000EB,150.153,150.1573,,130640014984,3
538,13100640000EB,149.472,149.476,,130640014793,3
539,13100640000EB,150.214,150.2154,,130640014984,3
540,13100640000EB,152.7,152.8,,130640014984,3
541,13100640000EB,152.8,152.9,,130640014984,3
542,13100640000EB,153.8,153.9,,130640014984,3
543,13100640000EB,155.1,155.2,,130640014984,3
544,13100640000EB,153.0,153.06,,130640014984,3
545,13100640000EB,155.4,155.5,,130640014984,3
546,13100640000EB,155.2,155.3,,130640014984,3
547,13100640000EB,155.3,155.4,,130640014984,3
548,13100640000EB,154.91,155.0,,130640014984,3
549,13100640000EB,154.8,154.9,,130640014984,3
550,13100640000EB,154.7,154.8,,130640014984,3
551,13100640000EB,154.6,154.7,,130640014984,3
552,13100640000EB,154.5,154.6,,130640014984,3
553,13100640000EB,154.4,154.5,,130640014984,3
554,13100640000EB,154.3,154.4,,130640014984,3
555,13100640000EB,154.2,154.3,,130640014984,3
556,13100640000EB,154.1,154.2,,130640014984,3
557,13100640000EB,153.9,154.0,,130640014984,3
558,13100640000EB,154.0,154.1,,130640014984,3
559,13100640000EB,153.7,153.8,,130640014984,3
560,13100640000EB,153.6,153.7,,130640014984,3
561,13100640000EB,153.5,153.6,,130640014984,3
562,13100640000EB,153.4,153.5,,130640014984,3
563,13100640000EB,153.3,153.4,,130640014984,3
564,13100640000EB,153.1,153.2,,130640014984,3
565,13100640000EB,153.2,153.3,,130640014984,3
566,13100640000EB,152.9,153.0,,130640014984,3
567,13100640000EB,153.06,153.1,,130640014984,3
568,13100640000EB,155.0284,155.1,,130640014984,3
