ValidationRule,ValidationDescription,ROUTEID,BMP,EMP,DataItemsImpacted,StateId,DataYear,FacilityTypeVn,MaintenanceOperationsVn,NhsVn,OwnershipVn,AadtVn,AadtVd,FsystemVn,ThroughLanesVn,CountyIdVn,IsRestrictedVn,RouteQualifier,RouteSigning,RouteName,RouteNumber,SectionLength,UrbanIdVn,StrahnetTypeVn,NhfnVn,NnVn,signsystem,supp_code
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4240009030000,0.64,0.64,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4240032050000,0.66,0.66,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740043190000,0.06,1.28,Road Designation,54,2022,,,,,,,,,,,,,,,1.22,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740045020000,3.59,3.59,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4760824000000,0.17,0.17,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,6,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740045000000,2.16,2.16,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4240032090000,2.17,2.17,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4940010040000,0.21,1.3,Road Designation,54,2022,,,,,,,,,,,,,,,1.09,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4940001000000,10.0,10.0,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140013000000,1.2,1.2,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
