ROUTEID,BMP,EMP,F_SYSTEM,NHS,NN,STRAHNET_TYPE,hash
0740005040000,2.28,2.64,7.0,,,,0740005040000-2.28-2.64
0740005060000,0.0,1.43,7.0,,,,0740005060000-0.0-1.43
0740005060000,1.43,1.71,7.0,,,,0740005060000-1.43-1.71
0740005070000,0.0,3.31,7.0,,,,0740005070000-0.0-3.31
0740005080000,0.0,0.83,7.0,,,,0740005080000-0.0-0.83
0740005100000,0.0,0.08,7.0,,,,0740005100000-0.0-0.08
0740005110000,0.0,0.2,7.0,,,,0740005110000-0.0-0.2
0740005120000,0.0,0.04,7.0,,,,0740005120000-0.0-0.04
0740005130000,0.0,0.62,7.0,,,,0740005130000-0.0-0.62
0740005140000,0.0,0.33,7.0,,,,0740005140000-0.0-0.33
0740005150000,0.0,0.04,7.0,,,,0740005150000-0.0-0.04
0740006000000,0.0,1.93,7.0,,,,0740006000000-0.0-1.93
0740007000000,0.0,10.47,5.0,,,,0740007000000-0.0-10.47
0740007030000,0.0,1.51,7.0,,,,0740007030000-0.0-1.51
0740007030000,1.51,1.87,7.0,,,,0740007030000-1.51-1.87
0740007030000,1.87,2.9,7.0,,,,0740007030000-1.87-2.9
0740007030000,2.9,3.61,7.0,,,,0740007030000-2.9-3.61
0740007040000,0.0,4.31,7.0,,,,0740007040000-0.0-4.31
0740007050000,0.0,0.69,7.0,,,,0740007050000-0.0-0.69
0740007050000,0.69,1.51,7.0,,,,0740007050000-0.69-1.51
0740007050000,1.51,2.16,7.0,,,,0740007050000-1.51-2.16
0740007060000,0.0,1.74,7.0,,,,0740007060000-0.0-1.74
0740007060000,1.74,3.44,7.0,,,,0740007060000-1.74-3.44
0740007060000,3.44,5.01,7.0,,,,0740007060000-3.44-5.01
0740007080000,0.0,0.91,7.0,,,,0740007080000-0.0-0.91
0740007090000,0.0,1.58,7.0,,,,0740007090000-0.0-1.58
0740007100000,0.0,0.37,7.0,,,,0740007100000-0.0-0.37
0740007110000,0.0,0.14,7.0,,,,0740007110000-0.0-0.14
0740007120000,0.0,0.21,7.0,,,,0740007120000-0.0-0.21
0740007130000,0.0,0.25,7.0,,,,0740007130000-0.0-0.25
0740007140000,0.0,0.42,7.0,,,,0740007140000-0.0-0.42
0740007140000,0.42,1.06,7.0,,,,0740007140000-0.42-1.06
0740008000000,0.0,1.33,7.0,,,,0740008000000-0.0-1.33
0740008000000,1.33,1.81,7.0,,,,0740008000000-1.33-1.81
0740008000000,1.81,2.07,7.0,,,,0740008000000-1.81-2.07
0740008000000,2.07,3.6,7.0,,,,0740008000000-2.07-3.6
0740008000000,3.6,3.87,7.0,,,,0740008000000-3.6-3.87
0740008020000,0.0,1.41,7.0,,,,0740008020000-0.0-1.41
0740008090000,0.0,1.8,7.0,,,,0740008090000-0.0-1.8
0740008090000,1.8,2.5,7.0,,,,0740008090000-1.8-2.5
0740008090000,2.5,3.54,7.0,,,,0740008090000-2.5-3.54
0740008090000,3.54,3.84,7.0,,,,0740008090000-3.54-3.84
0740008100000,0.0,1.39,7.0,,,,0740008100000-0.0-1.39
0740009000000,0.0,4.68,6.0,,,,0740009000000-0.0-4.68
0740009000000,4.68,5.92,7.0,,,,0740009000000-4.68-5.92
0740009000000,5.92,7.4,7.0,,,,0740009000000-5.92-7.4
0740009020000,0.0,2.91,7.0,,,,0740009020000-0.0-2.91
0740009030000,0.0,0.79,7.0,,,,0740009030000-0.0-0.79
0740009030000,0.79,1.68,7.0,,,,0740009030000-0.79-1.68
0740009030000,1.68,2.3,7.0,,,,0740009030000-1.68-2.3
0740009040000,0.0,0.05,7.0,,,,0740009040000-0.0-0.05
0740009040000,0.05,1.38,7.0,,,,0740009040000-0.05-1.38
0740009050000,0.0,1.0,7.0,,,,0740009050000-0.0-1.0
0740009060000,0.0,1.43,7.0,,,,0740009060000-0.0-1.43
0740009070000,0.0,2.89,7.0,,,,0740009070000-0.0-2.89
0740009070000,2.89,3.33,7.0,,,,0740009070000-2.89-3.33
0740010000000,0.0,0.74,7.0,,,,0740010000000-0.0-0.74
0740010000000,0.74,1.93,7.0,,,,0740010000000-0.74-1.93
0740010000000,1.93,2.14,7.0,,,,0740010000000-1.93-2.14
0740010000000,2.14,2.91,7.0,,,,0740010000000-2.14-2.91
0740010000000,2.91,3.38,7.0,,,,0740010000000-2.91-3.38
0740010000000,3.38,3.64,7.0,,,,0740010000000-3.38-3.64
0740010000000,3.64,5.0,7.0,,,,0740010000000-3.64-5.0
0740010000000,5.0,5.86,7.0,,,,0740010000000-5.0-5.86
0740010010000,0.0,1.2,7.0,,,,0740010010000-0.0-1.2
0740011000000,0.0,9.84,5.0,,,,0740011000000-0.0-9.84
0740011010000,0.0,1.16,7.0,,,,0740011010000-0.0-1.16
0740011020000,0.0,2.07,7.0,,,,0740011020000-0.0-2.07
0740011030000,0.0,1.87,7.0,,,,0740011030000-0.0-1.87
0740011030000,1.87,3.95,7.0,,,,0740011030000-1.87-3.95
0740011040000,0.0,2.41,7.0,,,,0740011040000-0.0-2.41
0740011050000,0.0,0.75,7.0,,,,0740011050000-0.0-0.75
0740011050000,0.75,2.34,7.0,,,,0740011050000-0.75-2.34
0740011060000,0.0,1.0,6.0,,,,0740011060000-0.0-1.0
0740011060000,1.0,2.42,7.0,,,,0740011060000-1.0-2.42
0740011060000,2.42,2.53,7.0,,,,0740011060000-2.42-2.53
0740011070000,0.0,1.09,7.0,,,,0740011070000-0.0-1.09
0740011080000,0.0,0.75,7.0,,,,0740011080000-0.0-0.75
0740012000000,0.0,2.36,7.0,,,,0740012000000-0.0-2.36
0740012000000,2.36,5.34,7.0,,,,0740012000000-2.36-5.34
0740012000000,5.34,8.48,7.0,,,,0740012000000-5.34-8.48
0740012000000,8.48,12.19,7.0,,,,0740012000000-8.48-12.19
0740012010000,0.0,3.33,7.0,,,,0740012010000-0.0-3.33
0740012030000,0.0,1.09,7.0,,,,0740012030000-0.0-1.09
0740012030000,1.09,1.68,7.0,,,,0740012030000-1.09-1.68
0740012030000,1.68,4.0,7.0,,,,0740012030000-1.68-4.0
0740012040000,0.0,1.95,7.0,,,,0740012040000-0.0-1.95
0740012050000,0.0,0.53,7.0,,,,0740012050000-0.0-0.53
0740012050000,0.53,0.85,7.0,,,,0740012050000-0.53-0.85
0740012060000,0.0,0.36,7.0,,,,0740012060000-0.0-0.36
0740012060000,0.36,0.58,7.0,,,,0740012060000-0.36-0.58
0740012070000,0.0,0.5,7.0,,,,0740012070000-0.0-0.5
0740013000000,0.0,2.56,6.0,,,,0740013000000-0.0-2.56
0740013000000,2.94,4.62,7.0,,,,0740013000000-2.94-4.62
0740014000000,0.0,1.62,7.0,,,,0740014000000-0.0-1.62
0740014000000,1.62,3.11,7.0,,,,0740014000000-1.62-3.11
0740014000000,3.11,5.6,7.0,,,,0740014000000-3.11-5.6
0740014030000,0.0,0.2,7.0,,,,0740014030000-0.0-0.2
0740014040000,0.0,1.3,7.0,,,,0740014040000-0.0-1.3
0740014040000,1.3,3.28,7.0,,,,0740014040000-1.3-3.28
0740014050000,0.0,1.49,7.0,,,,0740014050000-0.0-1.49
0740015000000,0.0,3.65,6.0,,,,0740015000000-0.0-3.65
0740015000000,3.65,4.39,6.0,,,,0740015000000-3.65-4.39
0740015000000,4.39,6.08,7.0,,,,0740015000000-4.39-6.08
0740015010000,0.0,0.4,7.0,,,,0740015010000-0.0-0.4
0740015020000,0.0,1.23,7.0,,,,0740015020000-0.0-1.23
0740015020000,2.25,4.25,7.0,,,,0740015020000-2.25-4.25
0740015020000,4.25,5.54,7.0,,,,0740015020000-4.25-5.54
0740015030000,0.0,0.92,7.0,,,,0740015030000-0.0-0.92
0740015030000,1.7,1.96,7.0,,,,0740015030000-1.7-1.96
0740015040000,0.0,0.69,6.0,,,,0740015040000-0.0-0.69
0740015040000,0.69,1.52,6.0,,,,0740015040000-0.69-1.52
0740015050000,0.0,0.68,7.0,,,,0740015050000-0.0-0.68
0740015060000,0.0,0.48,7.0,,,,0740015060000-0.0-0.48
0740016010000,0.0,0.69,6.0,,,,0740016010000-0.0-0.69
0740016020000,0.0,0.57,7.0,,,,0740016020000-0.0-0.57
0740016030000,0.0,0.24,7.0,,,,0740016030000-0.0-0.24
0740016030000,0.24,1.15,7.0,,,,0740016030000-0.24-1.15
0740016030000,1.15,1.42,7.0,,,,0740016030000-1.15-1.42
0740016040000,0.0,2.44,6.0,,,,0740016040000-0.0-2.44
0740016050000,0.0,0.52,7.0,,,,0740016050000-0.0-0.52
0740016060000,0.0,2.64,7.0,,,,0740016060000-0.0-2.64
0740016070000,0.0,2.21,7.0,,,,0740016070000-0.0-2.21
0740016080000,0.0,0.12,7.0,,,,0740016080000-0.0-0.12
0740016100000,0.0,0.2,7.0,,,,0740016100000-0.0-0.2
0740016120000,0.0,0.61,7.0,,,,0740016120000-0.0-0.61
0740016120000,0.61,1.16,7.0,,,,0740016120000-0.61-1.16
0740016130000,0.0,1.39,7.0,,,,0740016130000-0.0-1.39
0740016140000,0.0,1.01,7.0,,,,0740016140000-0.0-1.01
0740016150000,0.0,0.75,7.0,,,,0740016150000-0.0-0.75
0740016150000,0.75,2.33,7.0,,,,0740016150000-0.75-2.33
0740016150000,2.33,2.46,7.0,,,,0740016150000-2.33-2.46
0740016190000,0.0,1.74,7.0,,,,0740016190000-0.0-1.74
0740016200000,0.0,0.16,7.0,,,,0740016200000-0.0-0.16
0740016210000,0.0,1.93,7.0,,,,0740016210000-0.0-1.93
0740016210000,1.93,2.49,7.0,,,,0740016210000-1.93-2.49
0740016220000,0.0,2.04,7.0,,,,0740016220000-0.0-2.04
0740016220000,2.04,2.74,7.0,,,,0740016220000-2.04-2.74
0740016230000,0.0,4.0,7.0,,,,0740016230000-0.0-4.0
0740016230000,4.0,5.81,7.0,,,,0740016230000-4.0-5.81
0740016250000,0.0,0.67,7.0,,,,0740016250000-0.0-0.67
0740016250000,0.67,3.56,7.0,,,,0740016250000-0.67-3.56
0740016260000,0.0,0.04,7.0,,,,0740016260000-0.0-0.04
0740016260000,0.04,1.88,7.0,,,,0740016260000-0.04-1.88
0740016260000,1.88,2.06,7.0,,,,0740016260000-1.88-2.06
0740016270000,0.0,0.49,7.0,,,,0740016270000-0.0-0.49
0740016270000,0.88,2.86,7.0,,,,0740016270000-0.88-2.86
0740016270000,2.86,2.92,7.0,,,,0740016270000-2.86-2.92
0740016280000,0.0,2.01,7.0,,,,0740016280000-0.0-2.01
0740016280000,2.01,3.37,7.0,,,,0740016280000-2.01-3.37
0740016280000,3.37,3.73,7.0,,,,0740016280000-3.37-3.73
0740016290000,0.0,2.96,7.0,,,,0740016290000-0.0-2.96
0740016300000,0.0,0.37,7.0,,,,0740016300000-0.0-0.37
0740016300000,0.37,0.44,7.0,,,,0740016300000-0.37-0.44
0740016310000,0.0,3.37,7.0,,,,0740016310000-0.0-3.37
0740016320000,0.0,1.57,7.0,,,,0740016320000-0.0-1.57
0740016330000,0.0,0.55,7.0,,,,0740016330000-0.0-0.55
0740016340000,0.0,1.15,7.0,,,,0740016340000-0.0-1.15
0740016350000,0.0,1.51,7.0,,,,0740016350000-0.0-1.51
0740016350000,1.51,1.65,7.0,,,,0740016350000-1.51-1.65
0740016350000,1.65,2.18,7.0,,,,0740016350000-1.65-2.18
0740016360000,0.0,0.77,7.0,,,,0740016360000-0.0-0.77
0740016370000,0.0,0.22,7.0,,,,0740016370000-0.0-0.22
0740016380000,0.0,0.6,7.0,,,,0740016380000-0.0-0.6
0740016390000,0.0,0.14,7.0,,,,0740016390000-0.0-0.14
0740016400000,0.0,0.33,7.0,,,,0740016400000-0.0-0.33
0740016410000,0.0,0.04,7.0,,,,0740016410000-0.0-0.04
0740016410000,0.05,0.08,7.0,,,,0740016410000-0.05-0.08
0740016410000,0.1,0.11,7.0,,,,0740016410000-0.1-0.11
0740016430000,0.0,0.2,7.0,,,,0740016430000-0.0-0.2
0740016440000,0.0,0.15,7.0,,,,0740016440000-0.0-0.15
0740016450000,0.0,0.19,7.0,,,,0740016450000-0.0-0.19
0740016460000,0.0,0.41,7.0,,,,0740016460000-0.0-0.41
0740016470000,0.0,0.05,7.0,,,,0740016470000-0.0-0.05
0740016470000,0.05,0.13,7.0,,,,0740016470000-0.05-0.13
0740017000000,0.0,1.55,7.0,,,,0740017000000-0.0-1.55
0740017000000,1.55,2.64,7.0,,,,0740017000000-1.55-2.64
0740017010000,0.0,0.86,7.0,,,,0740017010000-0.0-0.86
0740017010000,0.86,1.51,7.0,,,,0740017010000-0.86-1.51
0740017020000,0.0,0.9,7.0,,,,0740017020000-0.0-0.9
0740017020000,0.9,1.2,7.0,,,,0740017020000-0.9-1.2
0740018000000,0.0,8.38,6.0,,,,0740018000000-0.0-8.38
0740018010000,0.0,3.59,7.0,,,,0740018010000-0.0-3.59
0740018020000,0.0,0.17,7.0,,,,0740018020000-0.0-0.17
0740018030000,0.0,2.71,7.0,,,,0740018030000-0.0-2.71
0740018040000,0.0,1.17,7.0,,,,0740018040000-0.0-1.17
0740018040000,1.17,1.67,7.0,,,,0740018040000-1.17-1.67
0740018040000,1.67,1.84,7.0,,,,0740018040000-1.67-1.84
0740018040000,2.83,3.66,7.0,,,,0740018040000-2.83-3.66
0740020000000,0.0,5.17,7.0,,,,0740020000000-0.0-5.17
0740020000000,5.17,10.38,6.0,,,,0740020000000-5.17-10.38
0740020000000,10.38,15.82,7.0,,,,0740020000000-10.38-15.82
0740020030000,0.0,0.51,7.0,,,,0740020030000-0.0-0.51
0740020040000,0.0,0.72,7.0,,,,0740020040000-0.0-0.72
0740020040000,0.72,1.56,7.0,,,,0740020040000-0.72-1.56
0740020040000,1.56,3.1,7.0,,,,0740020040000-1.56-3.1
0740020070000,0.0,1.13,7.0,,,,0740020070000-0.0-1.13
0740020070000,1.13,1.22,7.0,,,,0740020070000-1.13-1.22
0740020080000,0.0,1.32,7.0,,,,0740020080000-0.0-1.32
0740020080000,1.32,1.44,7.0,,,,0740020080000-1.32-1.44
0740020090000,0.0,1.19,7.0,,,,0740020090000-0.0-1.19
0740020090000,1.19,1.4,7.0,,,,0740020090000-1.19-1.4
0740022000000,0.0,2.24,6.0,,,,0740022000000-0.0-2.24
0740024000000,0.0,0.74,7.0,,,,0740024000000-0.0-0.74
0740024000000,1.41,2.33,7.0,,,,0740024000000-1.41-2.33
0740024000000,2.33,3.52,7.0,,,,0740024000000-2.33-3.52
0740024000000,3.52,3.65,7.0,,,,0740024000000-3.52-3.65
0740024010000,0.0,2.06,7.0,,,,0740024010000-0.0-2.06
0740026000000,0.0,2.48,6.0,,,,0740026000000-0.0-2.48
0740026000000,2.48,4.19,7.0,,,,0740026000000-2.48-4.19
0740026010000,0.0,1.77,6.0,,,,0740026010000-0.0-1.77
0740028000000,0.0,1.86,7.0,,,,0740028000000-0.0-1.86
0740028010000,0.0,0.12,7.0,,,,0740028010000-0.0-0.12
0740028010000,0.12,1.04,7.0,,,,0740028010000-0.12-1.04
0740035040000,0.0,1.96,7.0,,,,0740035040000-0.0-1.96
0740035050000,0.0,1.53,7.0,,,,0740035050000-0.0-1.53
0740035060000,0.0,2.92,7.0,,,,0740035060000-0.0-2.92
0740035060000,2.92,3.61,7.0,,,,0740035060000-2.92-3.61
0740035060000,3.61,4.22,7.0,,,,0740035060000-3.61-4.22
0740035070000,0.0,0.14,7.0,,,,0740035070000-0.0-0.14
0740035080000,0.0,0.32,7.0,,,,0740035080000-0.0-0.32
0740035080000,0.32,1.35,7.0,,,,0740035080000-0.32-1.35
0740035090000,0.0,2.29,7.0,,,,0740035090000-0.0-2.29
0740035090000,2.29,3.35,7.0,,,,0740035090000-2.29-3.35
0740035090000,3.35,3.61,7.0,,,,0740035090000-3.35-3.61
0740035100000,0.0,0.2,7.0,,,,0740035100000-0.0-0.2
0740035100000,0.2,0.41,7.0,,,,0740035100000-0.2-0.41
0740035110000,0.0,0.45,7.0,,,,0740035110000-0.0-0.45
0740035110000,0.45,1.93,7.0,,,,0740035110000-0.45-1.93
0740035120000,0.0,1.9,7.0,,,,0740035120000-0.0-1.9
0740035120000,1.9,5.74,7.0,,,,0740035120000-1.9-5.74
0740035120000,5.74,7.19,7.0,,,,0740035120000-5.74-7.19
0740035130000,0.0,1.44,7.0,,,,0740035130000-0.0-1.44
0740035130000,1.44,1.57,7.0,,,,0740035130000-1.44-1.57
0740035140000,0.0,0.3,7.0,,,,0740035140000-0.0-0.3
0740035140000,0.96,1.22,7.0,,,,0740035140000-0.96-1.22
0740035140000,1.22,2.32,7.0,,,,0740035140000-1.22-2.32
0740035160000,0.0,0.31,7.0,,,,0740035160000-0.0-0.31
0740035170000,0.0,1.57,7.0,,,,0740035170000-0.0-1.57
0740035170000,1.57,3.21,7.0,,,,0740035170000-1.57-3.21
0740035180000,0.0,1.13,7.0,,,,0740035180000-0.0-1.13
0740035180000,1.4,3.1,7.0,,,,0740035180000-1.4-3.1
0740035190000,0.0,0.2,7.0,,,,0740035190000-0.0-0.2
0740035190000,0.2,1.51,7.0,,,,0740035190000-0.2-1.51
0740035190000,1.51,2.57,7.0,,,,0740035190000-1.51-2.57
0740035200000,0.0,1.53,7.0,,,,0740035200000-0.0-1.53
0740035210000,0.0,2.71,7.0,,,,0740035210000-0.0-2.71
0740035220000,0.0,2.01,7.0,,,,0740035220000-0.0-2.01
0740035230000,0.0,0.28,7.0,,,,0740035230000-0.0-0.28
0740035240000,0.0,1.58,7.0,,,,0740035240000-0.0-1.58
0740035250000,0.0,1.45,7.0,,,,0740035250000-0.0-1.45
0740035250000,1.45,1.84,7.0,,,,0740035250000-1.45-1.84
0740035280000,0.0,1.4,7.0,,,,0740035280000-0.0-1.4
0740035290000,0.0,1.37,7.0,,,,0740035290000-0.0-1.37
0740035300000,0.0,0.33,7.0,,,,0740035300000-0.0-0.33
0740035310000,0.0,0.35,7.0,,,,0740035310000-0.0-0.35
0740035320000,0.0,0.68,7.0,,,,0740035320000-0.0-0.68
0740035320000,0.68,0.99,7.0,,,,0740035320000-0.68-0.99
0740035330000,0.0,1.48,7.0,,,,0740035330000-0.0-1.48
0740035330000,1.48,2.18,7.0,,,,0740035330000-1.48-2.18
0740035330000,2.18,3.43,7.0,,,,0740035330000-2.18-3.43
0740035340000,0.0,2.07,7.0,,,,0740035340000-0.0-2.07
0740035350000,0.0,0.2,7.0,,,,0740035350000-0.0-0.2
0740035360000,0.0,0.35,7.0,,,,0740035360000-0.0-0.35
0740035360000,0.35,1.06,7.0,,,,0740035360000-0.35-1.06
0780901000000,0.0,0.32,7.0,,,,0780901000000-0.0-0.32
0780902000000,0.0,0.3,7.0,,,,0780902000000-0.0-0.3
0780903000000,0.0,0.38,7.0,,,,0780903000000-0.0-0.38
08100790000NB,36.0,44.6,1.0,1.0,1.0,1.0,08100790000NB-36.0-44.6
08100790000SB,36.0,44.6,1.0,1.0,,1.0,08100790000SB-36.0-44.6
08100790017NB0040A,0.0,0.299,1.0,,,,08100790017NB0040A-0.0-0.299
08100790017NB0040B,0.0,0.406,1.0,,,,08100790017NB0040B-0.0-0.406
08100790017NB0040E,0.0,0.016,1.0,,,,08100790017NB0040E-0.0-0.016
08100790017NB0040F,0.0,0.015,1.0,,,,08100790017NB0040F-0.0-0.015
08100790017SB0040C,0.0,0.288,1.0,,,,08100790017SB0040C-0.0-0.288
08100790017SB0040D,0.0,0.415,1.0,,,,08100790017SB0040D-0.0-0.415
08100790017SB0040G,0.0,0.021,1.0,,,,08100790017SB0040G-0.0-0.021
08100790017SB0040H,0.0,0.017,1.0,,,,08100790017SB0040H-0.0-0.017
0830004000000,0.0,31.65,5.0,,,,0830004000000-0.0-31.65
0830016000000,0.0,20.4,5.0,,,,0830016000000-0.0-20.4
0830016000000,31.58,42.06,5.0,,,,0830016000000-31.58-42.06
0830016000200,0.0,0.05,5.0,,,,0830016000200-0.0-0.05
0830036000000,0.0,7.09,5.0,,,,0830036000000-0.0-7.09
0830036000200,0.0,0.09,5.0,,,,0830036000200-0.0-0.09
0840001000000,0.0,5.48,7.0,,,,0840001000000-0.0-5.48
0840001000000,5.48,17.12,5.0,,,,0840001000000-5.48-17.12
0840001010000,0.0,1.06,7.0,,,,0840001010000-0.0-1.06
0840001010000,1.06,2.41,7.0,,,,0840001010000-1.06-2.41
0840001010000,2.41,4.08,7.0,,,,0840001010000-2.41-4.08
0840001020000,0.0,0.41,7.0,,,,0840001020000-0.0-0.41
0840001030000,0.0,0.09,7.0,,,,0840001030000-0.0-0.09
0840001030000,0.09,0.97,7.0,,,,0840001030000-0.09-0.97
0840001040000,0.0,0.03,7.0,,,,0840001040000-0.0-0.03
0840001040000,0.03,0.98,7.0,,,,0840001040000-0.03-0.98
0840001040000,0.98,2.53,7.0,,,,0840001040000-0.98-2.53
0840001040000,2.53,4.77,7.0,,,,0840001040000-2.53-4.77
0840001040000,4.77,4.97,7.0,,,,0840001040000-4.77-4.97
0840001050000,0.0,0.34,7.0,,,,0840001050000-0.0-0.34
0840001060000,1.35,2.49,7.0,,,,0840001060000-1.35-2.49
0840001080000,0.0,0.7,7.0,,,,0840001080000-0.0-0.7
0840001080000,0.7,1.0,7.0,,,,0840001080000-0.7-1.0
0840001090000,0.0,1.71,7.0,,,,0840001090000-0.0-1.71
0840001100000,0.0,0.13,7.0,,,,0840001100000-0.0-0.13
0840001100000,0.13,0.25,7.0,,,,0840001100000-0.13-0.25
0840001100000,0.25,0.45,7.0,,,,0840001100000-0.25-0.45
0840001120000,0.0,0.8,5.0,,,,0840001120000-0.0-0.8
0840001130000,0.0,0.6,7.0,,,,0840001130000-0.0-0.6
0840001130000,0.6,0.71,7.0,,,,0840001130000-0.6-0.71
0840001130000,0.71,1.22,7.0,,,,0840001130000-0.71-1.22
0840001130000,1.22,2.87,7.0,,,,0840001130000-1.22-2.87
0840001140000,0.0,0.19,7.0,,,,0840001140000-0.0-0.19
0840001150000,0.0,0.47,7.0,,,,0840001150000-0.0-0.47
0840001160000,0.0,0.7,7.0,,,,0840001160000-0.0-0.7
0840001170000,0.0,0.5,7.0,,,,0840001170000-0.0-0.5
0840001180000,0.0,0.3,7.0,,,,0840001180000-0.0-0.3
0840001190000,0.0,0.3,7.0,,,,0840001190000-0.0-0.3
0840001200000,0.0,0.3,7.0,,,,0840001200000-0.0-0.3
0840001210000,0.0,1.67,7.0,,,,0840001210000-0.0-1.67
0840001210000,1.67,3.31,7.0,,,,0840001210000-1.67-3.31
0840002000000,0.0,0.63,7.0,,,,0840002000000-0.0-0.63
0840002000000,0.63,0.74,7.0,,,,0840002000000-0.63-0.74
0840002000000,0.74,1.6,5.0,,,,0840002000000-0.74-1.6
0840002000000,1.6,3.17,7.0,,,,0840002000000-1.6-3.17
0840002000000,3.17,3.82,7.0,,,,0840002000000-3.17-3.82
0840002000000,3.82,3.93,7.0,,,,0840002000000-3.82-3.93
0840002010000,0.0,0.76,7.0,,,,0840002010000-0.0-0.76
0840002010000,0.76,1.4,7.0,,,,0840002010000-0.76-1.4
0840002030000,0.0,0.79,7.0,,,,0840002030000-0.0-0.79
0840003000000,0.0,1.17,5.0,,,,0840003000000-0.0-1.17
0840003010000,0.0,0.66,7.0,,,,0840003010000-0.0-0.66
0840003010000,0.66,2.18,7.0,,,,0840003010000-0.66-2.18
0840003020000,0.0,4.04,5.0,,,,0840003020000-0.0-4.04
0840003080000,0.0,0.2,7.0,,,,0840003080000-0.0-0.2
0840003090000,0.0,0.75,7.0,,,,0840003090000-0.0-0.75
0840004010000,0.0,2.9,7.0,,,,0840004010000-0.0-2.9
0840004010000,2.9,3.02,7.0,,,,0840004010000-2.9-3.02
0840004020000,0.0,0.17,7.0,,,,0840004020000-0.0-0.17
0840004030000,0.0,1.86,7.0,,,,0840004030000-0.0-1.86
0840004040000,0.0,0.75,7.0,,,,0840004040000-0.0-0.75
0840004040000,0.75,2.67,7.0,,,,0840004040000-0.75-2.67
0840004050000,0.0,2.96,5.0,,,,0840004050000-0.0-2.96
0840004060000,0.0,0.45,7.0,,,,0840004060000-0.0-0.45
0840004070000,0.0,1.5,7.0,,,,0840004070000-0.0-1.5
0840004080000,0.0,0.5,7.0,,,,0840004080000-0.0-0.5
0840004090000,0.0,0.9,7.0,,,,0840004090000-0.0-0.9
0840004100000,0.0,2.0,7.0,,,,0840004100000-0.0-2.0
0840004110000,0.0,0.15,7.0,,,,0840004110000-0.0-0.15
0840004120000,0.0,1.0,7.0,,,,0840004120000-0.0-1.0
0840004140000,0.0,0.6,7.0,,,,0840004140000-0.0-0.6
0840004150000,0.0,0.5,7.0,,,,0840004150000-0.0-0.5
0840004160000,0.0,0.45,7.0,,,,0840004160000-0.0-0.45
0840004170000,0.0,1.0,7.0,,,,0840004170000-0.0-1.0
0840004180000,0.0,0.4,7.0,,,,0840004180000-0.0-0.4
0840004190000,0.0,0.02,7.0,,,,0840004190000-0.0-0.02
0840004190000,0.02,0.4,7.0,,,,0840004190000-0.02-0.4
0840004210000,0.0,0.03,7.0,,,,0840004210000-0.0-0.03
0840004220000,0.0,0.21,7.0,,,,0840004220000-0.0-0.21
0840005000000,0.0,14.58,6.0,,,,0840005000000-0.0-14.58
0840005000000,14.62,14.93,7.0,,,,0840005000000-14.62-14.93
0840005010000,0.0,0.28,7.0,,,,0840005010000-0.0-0.28
0840005010000,0.28,2.48,7.0,,,,0840005010000-0.28-2.48
0840005020000,0.0,0.35,7.0,,,,0840005020000-0.0-0.35
0840005030000,0.0,0.7,7.0,,,,0840005030000-0.0-0.7
0840006000000,0.0,2.58,7.0,,,,0840006000000-0.0-2.58
0840006000000,2.8,4.44,7.0,,,,0840006000000-2.8-4.44
0840006000000,4.44,5.81,7.0,,,,0840006000000-4.44-5.81
0840006020000,0.0,0.84,7.0,,,,0840006020000-0.0-0.84
0840007000000,0.0,1.61,7.0,,,,0840007000000-0.0-1.61
0840007000000,1.61,1.87,7.0,,,,0840007000000-1.61-1.87
0840007000000,1.87,2.88,7.0,,,,0840007000000-1.87-2.88
0840007000000,2.88,3.46,7.0,,,,0840007000000-2.88-3.46
0840007000000,3.46,8.1,7.0,,,,0840007000000-3.46-8.1
0840007000000,8.1,10.65,6.0,,,,0840007000000-8.1-10.65
0840007010000,0.0,1.15,7.0,,,,0840007010000-0.0-1.15
0840007010000,1.15,1.2,7.0,,,,0840007010000-1.15-1.2
0840007020000,0.0,2.94,7.0,,,,0840007020000-0.0-2.94
0840007030000,0.0,0.15,7.0,,,,0840007030000-0.0-0.15
0840007030000,0.15,2.22,7.0,,,,0840007030000-0.15-2.22
0840007050000,0.0,1.76,7.0,,,,0840007050000-0.0-1.76
0840007050000,1.76,2.47,7.0,,,,0840007050000-1.76-2.47
0840007060000,0.0,1.1,7.0,,,,0840007060000-0.0-1.1
0840007070000,0.0,0.4,7.0,,,,0840007070000-0.0-0.4
0840007080000,0.0,0.3,7.0,,,,0840007080000-0.0-0.3
0840007090000,0.0,0.4,7.0,,,,0840007090000-0.0-0.4
0840007100000,0.0,0.3,7.0,,,,0840007100000-0.0-0.3
0840009000000,0.0,0.85,7.0,,,,0840009000000-0.0-0.85
0840009000000,0.85,1.02,7.0,,,,0840009000000-0.85-1.02
0840009000000,1.02,1.14,7.0,,,,0840009000000-1.02-1.14
0840009010000,0.0,1.0,7.0,,,,0840009010000-0.0-1.0
0840010000000,0.0,1.13,7.0,,,,0840010000000-0.0-1.13
0840010000000,1.18,3.06,5.0,,,,0840010000000-1.18-3.06
0840010000000,3.06,5.18,7.0,,,,0840010000000-3.06-5.18
0840011000000,0.0,22.64,5.0,,,,0840011000000-0.0-22.64
0840011000000,22.64,23.68,7.0,,,,0840011000000-22.64-23.68
0840011010000,0.0,0.24,7.0,,,,0840011010000-0.0-0.24
0840011020000,0.0,1.67,7.0,,,,0840011020000-0.0-1.67
