,RouteId,BeginPoint,EndPoint,ShoulderTypeVn,SampleId
4610,1930115000000,4.0629,4.09,,191150000159
4611,1930115000000,3.7908,3.812,,191150000159
4612,1930115000000,3.812,3.8301,,191150000159
4613,1930115000000,2.1915,2.2008,,191150000159
4614,1930115000000,2.6852,2.7,,191150000159
4615,1930115000000,3.105,3.1111,,191150000159
4616,1930115000000,4.05,4.0629,,191150000159
4617,1930115000000,0.64,0.9456,,191150000064
4618,1930115000000,0.0,0.22,,191150000000
4619,1930115000000,0.9456,1.1264,,191150000064
4620,1930115000000,1.59,1.6916,,191150000159
4621,1930115000000,1.6916,1.7393,,191150000159
4622,1930115000000,1.1264,1.1466,,191150000064
4623,1930115000000,1.1466,1.15,,191150000064
4624,1940016000000,0.0,0.417,,190160000000
4625,1940029000000,0.8106,1.26,,190290000000
4626,1940017040000,0.63,0.92,,190170400630
4627,1940029000000,0.0,0.127,,190290000000
4628,1940029000000,0.6033,0.7927,,190290000000
4629,1940029000000,0.5025,0.6033,,190290000000
4630,1940029000000,0.2717,0.4697,,190290000000
4631,1940009020000,0.21,0.26,,190090200020
4632,1930051000000,8.37,8.45,,190510000813
4633,1930051000000,8.45,8.53,,190510000813
4634,1930051000000,8.2071,8.2665,,190510000813
4635,1940029000000,0.127,0.2717,,190290000000
4636,1930051000000,8.6669,8.7731,,190510008660
4637,1930051000000,8.13,8.1909,,190510000813
4638,1930051000000,8.53,8.66,,190510000813
4639,1940009020000,0.26,0.31,,190090200020
4640,1930051000000,8.2665,8.3133,,190510000813
4641,1930051000000,8.3133,8.37,,190510000813
4642,1940029000000,0.4697,0.5025,,190290000000
4643,1940009020000,0.31,0.35,,190090200020
4644,1940029000000,0.7927,0.8106,,190290000000
4645,1930051000000,8.1909,8.2071,,190510000813
4646,1940009020000,0.2,0.2075,,190090200020
4647,1930051000000,8.7731,8.78,,190510008660
4648,1930051000000,8.66,8.6669,,190510008660
4649,1940009020000,0.2075,0.21,,190090200020
4657,1940031000000,0.0,0.029,,190310000000
4660,1430028000000,21.27,22.21,,140280001647
4661,1430028000000,20.5879,21.27,,140280001647
4662,1430028000000,19.75,20.1998,,140280001647
4663,1430028000000,20.1998,20.5879,,140280001647
4664,1430028000000,18.4357,18.7715,,140280001647
4665,1430028000000,18.84,19.208,,140280001647
4666,1430028000000,19.208,19.74,,140280001647
4667,1430028000000,18.28,18.4357,,140280001647
4668,1430028000000,18.7715,18.84,,140280001647
4669,1430028000000,22.21,22.254,,140280001647
4670,1430028000000,19.74,19.75,,140280001647
4671,1430028000000,22.254,22.27,,140280001647
4672,0240032000000,0.0,0.6426,,020032000000
4673,0240009130000,1.12,1.92,,020091300040
4674,0230045000000,14.58,14.7666,,020450001452
4675,0240032000000,1.3032,1.565,,020320001260
4676,0230045000000,13.355,13.7526,,020040013355
4677,0240034030000,0.8322,1.01,,020340300000
4678,0240032000000,0.83,1.06,,020032000000
4679,0274252001900,0.0,0.1442,,020425200000
4680,0240032000000,0.6426,0.83,,020032000000
4681,0240019000000,1.6621,1.8228,,020190000155
4682,0230045000000,14.8548,15.0377,,020450001485
4683,0230045000000,15.0377,15.1524,,020450001485
4684,0230045000000,15.1524,15.24,,020450001485
4685,0274257001900,0.1365,0.2669,,020425700011
4686,0240009130000,0.4,0.613,,020091300040
4687,0240009130000,0.9229,1.12,,020091300040
4688,0240032000000,1.7696,2.0202,,020320001500
4689,0240030000000,4.175,4.37,,020300004175
4690,0240032000000,1.06,1.1353,,020032000000
4691,0240009270000,0.1909,0.2995,,020092700000
4692,0274265001900,0.023,0.1204,,020426500000
4693,0240032000000,1.6704,1.7696,,020320001500
4694,0240019000000,1.5845,1.6621,,020190000155
4695,0240009270000,0.1253,0.1909,,020092700000
4696,0274259001900,0.0,0.0588,,020425900000
4697,0274252001900,0.4931,0.5637,,020425200000
4698,0274265001900,0.5006,0.57,,020426500000
4699,0274265001900,0.4312,0.5006,,020426500000
4700,0274265001900,0.1204,0.2146,,020426500000
4701,0230045000000,15.24,15.3075,,020450001485
4702,0274265001900,0.2926,0.3621,,020426500000
4703,0240034030000,0.7392,0.8322,,020340300000
4704,0230045000000,14.7666,14.85,,020450001452
4705,0274252001900,0.2112,0.2819,,020425200000
4706,0274266001900,0.3078,0.44,,020426600000
4707,0274257001900,0.0,0.0531,,020425700000
4708,0274266001900,0.0,0.0997,,020426600000
4709,0274252001900,0.3537,0.4238,,020425200000
4710,0274252001900,0.4238,0.4931,,020425200000
4711,0274265001900,0.2237,0.2926,,020426500000
4712,0240032000000,2.0202,2.1262,,020320001500
4713,0230045000000,14.52,14.5619,,020450001452
4714,0240032000000,1.565,1.6704,,020320001500
4715,0240009130000,0.6673,0.761,,020091300040
4716,0240009130000,0.765,0.8621,,020091300040
4717,0230045000000,14.39,14.4403,,020450001439
4718,0230045000000,14.4554,14.5,,020450001439
4719,0240009270000,0.0,0.0603,,020092700000
4720,0274252001900,0.2819,0.3288,,020425200000
4721,0240009270000,0.0603,0.1253,,020092700000
4722,0274252001900,0.5637,0.6336,,020425200000
4723,0274259001900,0.0588,0.1178,,020425900000
4724,0274265001900,0.3621,0.4312,,020426500000
4725,0274259001900,0.2006,0.2296,,022590000017
4726,0274252001900,0.1442,0.2112,,020425200000
4727,0274252001900,0.3288,0.3537,,020425200000
4728,0274266001900,0.1426,0.1989,,020426600000
4729,0274266001900,0.2204,0.2742,,020426600000
4730,0240009130000,0.613,0.6673,,020091300040
4731,0240009130000,0.8621,0.9229,,020091300040
4732,0274259001900,0.17,0.2006,,022590000017
4733,0240032000000,1.26,1.3032,,020320001260
4734,0240015000000,2.9985,3.06,,020150000278
4735,0274257001900,0.0531,0.11,,020425700000
4736,0240032000000,1.1353,1.199,,020032000000
4737,0274259001900,0.1304,0.162,,020425900000
4738,0240032000000,2.1262,2.15,,020320001500
4739,0274265001900,0.0,0.023,,020426500000
4740,0240015000000,2.96,2.9985,,020150000278
4741,0274266001900,0.1989,0.2204,,020426600000
4742,0274266001900,0.0997,0.1426,,020426600000
4743,0274266001900,0.2742,0.2986,,020426600000
4744,0240019000000,1.55,1.5845,,020190000155
4745,0230045000000,14.5,14.52,,020450001439
4746,0240009270000,0.2995,0.31,,020092700000
4747,0240032000000,1.241,1.26,,020032000000
4748,0240032000000,1.2104,1.2267,,020032000000
4749,0230045000000,15.3075,15.31,,020450001485
4750,0274259001900,0.1178,0.1304,,020425900000
4751,0274257001900,0.1138,0.1261,,020425700011
4752,0274265001900,0.2146,0.2237,,020426500000
4753,0230045000000,14.57,14.58,,020450001452
4754,0230045000000,14.4403,14.45,,020450001439
4755,0230045000000,14.45,14.4554,,020450001439
4756,0240032000000,1.199,1.2104,,020032000000
4757,0240032000000,1.2267,1.241,,020032000000
4758,0230045000000,14.85,14.8548,,020450001485
4759,0274257001900,0.1261,0.1365,,020425700011
4760,0274266001900,0.2986,0.3078,,020426600000
4761,0230045000000,14.5619,14.57,,020450001452
4762,0274252001900,0.6336,0.64,,020425200000
4763,0230045000000,13.7526,13.76,,020040013355
4764,0274259001900,0.162,0.168,,020425900000
4765,0274257001900,0.11,0.1138,,020425700011
4766,0274259001900,0.168,0.17,,020425900000
4767,0240009130000,0.761,0.765,,020091300040
4768,0240015000000,0.939,0.94,,020150000939
4769,0240019000000,1.8228,2.4474,,020190000155
4770,0240019000000,2.4474,3.2406,,020190000155
4771,0230045000000,19.08,19.5156,,020450001908
4772,0240019000000,3.7138,3.8526,,020190003438
4773,0240036010000,1.7351,1.98,,020360100160
4774,0274259001900,0.4343,0.61,,022590000017
4775,1940003000000,1.5392,1.82,,190030001403
4776,0240019000000,3.438,3.7138,,020190003438
4777,1940003000000,1.82,2.02,,190030001820
4778,1940003000000,2.02,2.2758,,190030002020
4779,0240019000000,3.8526,4.039,,020190003438
4780,1940003000000,2.2758,2.36,,190030002020
4781,0240036010000,1.6,1.675,,020360100160
4782,0230045000000,19.5492,19.603,,020450001908
4783,0240019000000,3.2406,3.373,,020190000155
4784,0240019000000,3.381,3.43,,020190000155
4785,0240036010000,1.675,1.7351,,020360100160
4786,0230045000000,19.5156,19.5492,,020450001908
4787,0274259001900,0.2296,0.2727,,022590000017
4788,0274259001900,0.2786,0.3127,,022590000017
4789,0274259001900,0.3127,0.3523,,022590000017
4790,0274259001900,0.3523,0.4,,022590000017
4791,0274259001900,0.4,0.4343,,022590000017
4792,0240019000000,3.373,3.381,,020190000155
4793,0274259001900,0.2727,0.2786,,022590000017
4794,0240019000000,3.43,3.438,,020190000155
4795,0230045000000,19.603,19.61,,020450001908
4796,0240019000000,4.039,4.04,,020190003438
4797,0240013000000,2.9327,3.35,,020130000275
4798,0274256001900,0.0357,0.4234,,020425600000
4799,0240013000000,3.35,3.55,,020130000275
4800,0240013000000,0.43,0.6127,,020130000043
4801,0240013000000,1.2027,1.5,,020130000103
4802,0240010010000,0.0411,0.2481,,020100100000
4803,0240013000000,0.8071,0.9509,,020130000043
4804,0240010010000,0.2481,0.4516,,020100100000
4805,0240013000000,3.55,3.716,,020130000275
4806,0240013000000,2.75,2.9327,,020130000275
4807,0240013000000,0.6127,0.736,,020130000043
4808,0274256001900,0.441,0.6182,,020425600000
4809,0240015000000,2.8707,2.9555,,020150000278
4810,0240010010000,0.5004,0.5728,,020100100000
4811,0240013000000,1.0773,1.2027,,020130000103
4812,0240010010000,0.4516,0.5004,,020100100000
4813,0274257001900,0.2669,0.3448,,020425700011
4814,0240013000000,0.9509,1.03,,020130000043
4815,0240015000000,2.797,2.8707,,020150000278
4816,0240010010000,0.0,0.0411,,020100100000
4817,0274256001900,0.6182,0.66,,020425600000
4818,0240013000000,1.0316,1.0773,,020130000103
4819,0240010010000,0.5728,0.6428,,020100100000
4820,0240010010000,0.6428,0.69,,020100100000
4821,0274257001900,0.3699,0.42,,020425700011
4822,0240013000000,0.744,0.8071,,020130000043
4823,0274256001900,0.0,0.0357,,020425600000
4824,0274257001900,0.3448,0.3699,,020425700011
4825,0240015000000,2.78,2.797,,020150000278
4826,0274256001900,0.4234,0.435,,020425600000
4827,0240013000000,0.736,0.744,,020130000043
4828,0274256001900,0.435,0.441,,020425600000
4829,0240015000000,2.9555,2.96,,020150000278
4830,0240013000000,1.03,1.0316,,020130000103
4831,0240012000000,0.35,1.0,,020120000000
4832,0230045000000,18.0095,18.23,,020450001753
4833,0230901000000,4.9231,5.058,,029010000486
4834,0240011240000,0.63,0.84,,020112400000
4835,0240012000000,1.08,1.2735,,020120000000
4836,0240012000000,0.1047,0.2617,,020120000000
4837,0240011240000,0.2618,0.4626,,020112400000
4838,0240011190000,0.0,0.1098,,020111900000
4839,0240045050000,0.55,0.9,,020450500055
4840,0240012000000,1.0,1.08,,020120000000
4841,0240045050000,1.03,1.1097,,020450500055
4842,0240045050000,0.97,1.0244,,020450500055
4843,0240012000000,0.2617,0.35,,020120000000
4844,0230045000000,17.679,17.7441,,020450001753
4845,0240045050000,1.1097,1.209,,020450500055
4846,0240011190000,0.2123,0.2635,,020111900000
4847,0240011190000,0.2635,0.3004,,020111900000
4848,0230045000000,17.8418,17.9318,,020450001753
4849,0230045000000,17.9318,18.0095,,020450001753
4850,0240011130000,0.3127,0.365,,020111300028
4851,0240012000000,0.0,0.0593,,020120000000
4852,0274268001900,0.1447,0.2737,,020426800000
4853,0230901000000,5.058,5.1228,,029010000486
4854,0230901000000,5.1228,5.2229,,029010000486
4855,0230045000000,17.53,17.6115,,020450001753
4856,0240011130000,0.4641,0.4893,,020111300041
4857,0240011130000,0.4893,0.5497,,020111300041
4858,0240011240000,0.4626,0.5288,,020112400000
4859,0240011240000,0.5288,0.63,,020112400000
4860,0240011190000,0.1098,0.203,,020111900000
4861,0274268001900,0.3514,0.421,,020426800000
4862,0240011240000,0.0,0.104,,020112400000
4863,0240011240000,0.104,0.2618,,020112400000
4864,0240011130000,0.41,0.4641,,020111300041
4865,0230901000000,5.355,5.4128,,029010000486
4866,0230901000000,5.2229,5.26,,029010000486
4867,0230901000000,4.86,4.9231,,029010000486
4868,0240045050000,0.9,0.9546,,020450500055
4869,0240011130000,0.28,0.3127,,020111300028
4870,0274268001900,0.0,0.05,,020426800000
4871,0274268001900,0.2958,0.3336,,020426800000
4872,0274268001900,0.421,0.4789,,020426800000
4873,0240011130000,0.365,0.402,,020111300028
4874,0240012000000,0.0593,0.1047,,020120000000
4875,0230045000000,17.6115,17.679,,020450001753
4876,0274268001900,0.05,0.0934,,020426800000
4877,0274268001900,0.0934,0.1447,,020426800000
4878,0230045000000,17.7812,17.8147,,020450001753
4879,0240045050000,1.209,1.25,,020450500055
4880,0230901000000,5.26,5.313,,029010000486
4881,0240011240000,0.84,0.85,,020112400000
4882,0230045000000,17.7441,17.7812,,020450001753
4883,0274268001900,0.2737,0.2958,,020426800000
4884,0274268001900,0.3336,0.3514,,020426800000
4885,0230045000000,17.8147,17.8418,,020450001753
4886,0230901000000,5.4128,5.44,,029010000486
4887,0230901000000,5.313,5.329,,029010000486
4888,0230901000000,5.329,5.345,,029010000486
4889,0240045050000,0.9546,0.97,,020450500055
4890,0240011190000,0.203,0.2123,,020111900000
4891,0240011190000,0.3004,0.31,,020111900000
4892,0240012000000,1.2735,1.29,,020120000000
4893,0240011130000,0.402,0.41,,020111300028
4894,0230901000000,5.345,5.355,,029010000486
4895,0240045050000,1.0244,1.03,,020450500055
4896,0274268001900,0.4789,0.48,,020426800000
4897,0240011130000,0.5497,0.55,,020111300041
4898,0240005000000,6.8345,7.07,,020050000590
4899,0240005000000,7.511,7.88,,020050000590
4900,0240005000000,7.1327,7.45,,020050000590
4901,0240005000000,5.9,6.1795,,020050000590
4902,0240005000000,6.29,6.6369,,020050000590
4903,0240005000000,6.6369,6.79,,020050000590
4904,0240005000000,6.1795,6.29,,020050000590
4905,0240005000000,6.79,6.8345,,020050000590
4906,0240005000000,7.45,7.511,,020050000590
4907,0240005000000,7.07,7.1327,,020050000590
4908,0240005000000,7.88,7.934,,020050000590
4909,0240005000000,7.934,7.94,,020050000590
