,RouteId,BeginPoint,EndPoint,AadtcombinationVn,FsystemVn,FacilityTypeVn,SampleId
0,4940005090000,0.28,0.28,,4,2,490050900000.0
1,39100680018WB,0.0,0.676,,1,1,
