,RouteId,BeginPoint,EndPoint,CrackingPercentVn,FacilityTypeVn,FsystemVn,NhsVn,SampleId,DirThroughLanesVn,PsrVn,IriVn
0,30201190000NB,0.0,0.0683,,2,3,1.0,,,,185
1,30200520000EB,19.408,19.5,,2,3,1.0,,,,186
2,30200520000EB,19.2,19.3,,2,3,1.0,,,,141
3,30200520000EB,18.32,18.4,,2,3,1.0,,,,153
4,30200520000EB,19.1,19.141,,2,3,1.0,,,,152
5,30200520000EB,18.212,18.3,,2,3,1.0,,,,173
6,30200520000EB,19.155,19.186,,2,3,1.0,,,,152
7,30200520000EB,18.3,18.32,,2,3,1.0,,,,153
8,30200520000EB,19.186,19.2,,2,3,1.0,,,,152
9,30200520000EB,19.141,19.155,,2,3,1.0,,,,152
10,30200520000EB,18.2,18.212,,2,3,1.0,,,,173
11,30200520000EB,19.4,19.408,,2,3,1.0,,,,186
12,30201190000NB,0.0683,0.07,,2,3,1.0,,,,185
13,30200520000EB,13.9,13.9707,,2,3,1.0,,,,207
14,30200520000EB,17.5,17.6,,2,3,1.0,,,,118
15,30200520000EB,13.9707,14.0,,2,3,1.0,,,,207
16,30200520000EB,17.4,17.434,,2,3,1.0,,,,197
17,30200520000EB,17.434,17.5,,2,3,1.0,,,,197
18,30201190000NB,7.635,7.698,,2,3,1.0,,,,209
19,30201190000NB,7.606,7.6314,,2,3,1.0,,,,209
20,30201190000NB,7.6,7.606,,2,3,1.0,,,,209
21,30201190000NB,7.6314,7.635,,2,3,1.0,,,,209
22,30201190000NB,7.698,7.7,,2,3,1.0,,,,209
23,30200520000EB,2.7,2.8,,2,3,1.0,,,,278
24,50200520000EB,54.3,54.308,,2,3,1.0,,,,142
25,50200520000EB,54.308,54.32,,2,3,1.0,,,,142
26,24200520000EB,4.0,4.0563,,2,3,1.0,,,,172
27,24200520000EB,4.071,4.1,,2,3,1.0,,,,172
28,24200520000EB,4.06,4.071,,2,3,1.0,,,,172
29,24200520000EB,4.0563,4.06,,2,3,1.0,,,,172
30,30200520000EB,54.317,54.393,,2,3,1.0,,,,184
31,30200520000EB,54.3,54.31,,2,3,1.0,,,,184
32,30200520000EB,54.31,54.317,,2,3,1.0,,,,184
33,30200520000EB,54.393,54.4,,2,3,1.0,,,,184
34,2330010000000,11.9,11.979,,2,3,1.0,,,,162
35,2330010000000,12.0542,12.1,,2,3,1.0,,,,77
36,2330010000000,12.0,12.0542,,2,3,1.0,,,,77
37,2330010000000,11.9828,12.0,,2,3,1.0,,,,162
38,2330010000000,11.979,11.9828,,2,3,1.0,,,,162
39,30201190000NB,20.7,20.78,,2,3,1.0,,,,185
40,30201190000NB,20.78,20.8,,2,3,1.0,,,,185
41,23201190000NB,5.3181,5.4,,2,3,1.0,,,,83
43,2330073000000,2.3088,2.353,,2,3,1.0,,,,169
44,2330073000000,2.1,2.15,,2,3,1.0,230730000031,,,217
47,23201190000NB,5.27,5.3,,2,3,1.0,,,,100
49,2330073000000,1.4,1.451,,2,3,1.0,230730000031,,,131
50,2330073000000,1.451,1.5,,2,3,1.0,230730000031,,,131
51,2330073000000,2.353,2.377,,2,3,1.0,,,,169
52,2330073000000,2.1641,2.2,,2,3,1.0,,,,217
55,2330073000000,2.377,2.4,,2,3,1.0,,,,169
56,2330073000000,2.15,2.1641,,2,3,1.0,,,,217
58,2330073000000,2.3,2.3088,,2,3,1.0,,,,169
59,23201190000NB,5.3,5.3181,,2,3,1.0,,,,83
60,2330080000000,0.021,0.081,,2,3,1.0,,,,198
61,2330080000000,0.0817,0.1,,2,3,1.0,,,,198
62,2330080000000,0.0,0.0101,,2,3,1.0,,,,198
63,2330080000000,0.0101,0.021,,2,3,1.0,,,,198
64,2330080000000,0.081,0.0817,,2,3,1.0,,,,198
65,2330010000000,8.627,8.7,,2,3,1.0,,,,108
66,2330010000000,8.7,8.8,,2,3,1.0,,,,75
67,2330010000000,8.8,8.9,,2,3,1.0,,,,90
68,2330010000000,8.9,9.0,,2,3,1.0,,,,55
69,2330010000000,8.2,8.298,,2,3,1.0,,,,109
70,2330010000000,8.1,8.142,,2,3,1.0,,,,193
71,2330010000000,8.6,8.627,,2,3,1.0,,,,108
72,2330010000000,8.1647,8.2,,2,3,1.0,,,,193
73,2330010000000,8.142,8.1647,,2,3,1.0,,,,193
74,2330010000000,8.298,8.3,,2,3,1.0,,,,109
75,50200600000EB,0.0,0.1,,2,3,1.0,500600000000,,,140
76,50100640000EB,0.0,0.0925,,2,1,1.0,500640000000,2.0,,115
77,50100640000EB,2.0,2.0729,,2,1,1.0,500640000166,2.0,,135
78,50100640000EB,2.2429,2.3,,2,1,1.0,500640000217,2.0,,162
79,50200600000EB,3.1,3.2,,2,3,1.0,,,,172
80,50100640000EB,2.1,2.17,,2,1,1.0,500640000166,2.0,,124
81,50100640000EB,2.7147,2.75,,2,1,1.0,500640000217,2.0,,88
82,50100640000EB,2.17,2.2,,2,1,1.0,500640000217,2.0,,124
83,50100640000EB,2.755,2.8,,2,1,1.0,500640000275,2.0,,88
84,50100640000EB,2.0729,2.0884,,2,1,1.0,500640000166,2.0,,135
85,50100640000EB,2.2,2.23,,2,1,1.0,500640000217,2.0,,162
86,50100640000EB,2.7,2.7147,,2,1,1.0,500640000217,2.0,,88
87,50100640000EB,2.23,2.2429,,2,1,1.0,500640000217,2.0,,162
88,50100640000EB,0.0925,0.1,,2,1,1.0,500640000000,2.0,,115
89,50100640000EB,2.0884,2.1,,2,1,1.0,500640000166,2.0,,135
90,50100640000EB,2.75,2.755,,2,1,1.0,500640000275,2.0,,88
91,06200520000EB,1.01,1.09,,2,2,1.0,,,,376
92,06100640000EB,7.2,7.2464,,2,1,1.0,060640000674,2.0,,122
93,50100640000EB,4.4,4.4442,,2,1,1.0,500640000422,2.0,,133
94,06100640000EB,6.0213,6.0625,,2,1,1.0,060640000587,2.0,,132
95,06100640000EB,6.0625,6.1,,2,1,1.0,060640000587,2.0,,132
96,50100640000EB,4.4442,4.5,,2,1,1.0,500640000422,2.0,,133
97,06100640000EB,6.0,6.0213,,2,1,1.0,060640000587,2.0,,132
98,06100640000EB,7.26,7.289,,2,1,1.0,060640000726,2.0,,122
99,50100640000EB,5.3245,5.376,,2,1,1.0,500640000529,2.0,,138
100,0630152000000,1.2435,1.2599,,2,3,1.0,,,,171
101,50100640000EB,5.3,5.3245,,2,1,1.0,500640000529,2.0,,138
102,0630152000000,1.2,1.218,,2,3,1.0,,,,171
103,0630152000000,1.218,1.2435,,2,3,1.0,,,,171
104,0630152000000,1.2599,1.284,,2,3,1.0,,,,171
105,0630152000000,1.284,1.3,,2,3,1.0,,,,171
106,50100640000EB,5.376,5.4,,2,1,1.0,500640000529,2.0,,138
107,06100640000EB,7.2464,7.26,,2,1,1.0,060640000674,2.0,,122
108,06100640000EB,7.289,7.3,,2,1,1.0,060640000726,2.0,,122
109,06200520000EB,1.0,1.01,,2,2,1.0,060520000075,,,376
110,06200520000EB,1.0925,1.1,,2,2,1.0,,,,376
111,06200520000EB,1.09,1.0925,,2,2,1.0,,,,376
112,06200520000EB,0.01,0.1,,2,2,1.0,060520000001,,,69
113,06200520000EB,0.1,0.2,,2,2,1.0,060520000001,,,84
114,06200520000EB,0.2,0.3,,2,2,1.0,060520000001,,,76
115,0630527000000,0.2,0.3,,2,3,1.0,,,,126
116,0630527000000,0.1,0.2,,2,3,1.0,,,,103
117,06200520000EB,0.52,0.5809,,2,2,1.0,,,,241
118,06200520000EB,0.6473,0.7,,2,2,1.0,,,,137
119,0630527000000,0.0,0.1,,2,3,1.0,,,,165
120,06200520000EB,0.6,0.6473,,2,2,1.0,,,,137
121,0630527000000,0.345,0.37,,2,3,1.0,,,,197
122,0630527000000,0.3809,0.4,,1,3,1.0,,,,197
