,RouteId,BeginPoint,EndPoint,RouteNumber,FsystemVn,NhsVn,FacilityTypeVn,RouteSigning,DirThroughLanesVn,IriVn
107,06100640000WB,5.954,6.0,,1,1,6,,2,125
108,06100640000WB,6.0,6.0383,,1,1,6,,2,182
109,06100640000WB,6.3,6.3226,,1,1,6,,2,142
110,06100640000WB,7.2377,7.3,,1,1,6,,2,116
111,06100640000WB,8.4,8.4659,,1,1,6,,2,37
112,06100640000WB,8.4659,8.5,,1,1,6,,2,37
113,50100640000WB,5.2,5.267,,1,1,6,,2,139
114,50100640000WB,5.267,5.3,,1,1,6,,2,139
115,50100640000WB,5.3255,5.379,,1,1,6,,2,135
116,50100640000WB,4.4,4.436,,1,1,6,,2,141
117,50100640000WB,5.3,5.3255,,1,1,6,,2,135
118,06100640000WB,7.183,7.2,,1,1,6,,2,138
119,50100640000WB,4.388,4.4,,1,1,6,,2,41
120,06100640000WB,7.3,7.321,,1,1,6,,2,124
121,50100640000WB,4.5,4.52,,1,1,6,,2,83
122,50100640000WB,5.379,5.4,,1,1,6,,2,135
123,06100640000WB,6.3226,6.345,,1,1,6,,2,142
124,06100640000WB,6.345,6.3631,,1,1,6,,2,142
125,06100640000WB,6.4785,6.491,,1,1,6,,2,129
126,06100640000WB,8.2033,8.215,,1,1,6,,2,137
127,06100640000WB,6.0841,6.1,,1,1,6,,2,182
128,06100640000WB,6.463,6.4741,,1,1,6,,2,129
129,06100640000WB,6.491,6.5,,1,1,6,,2,129
130,06100640000WB,6.4741,6.4785,,1,1,6,,2,129
131,06100640000WB,6.6,6.6049,,1,1,6,,2,67
132,06100640000WB,7.8928,7.9,,1,1,6,,2,99
133,06100640000WB,8.2,8.2033,,1,1,6,,2,137
134,06100640000WB,6.297,6.3,,1,1,6,,2,122
135,06100640000WB,6.1249,6.126,,1,1,6,,2,182
136,06100640000WB,10.2,10.3,,1,1,6,,2,36
137,06100640000WB,11.7,11.8,,1,1,6,,3,37
138,06100640000WB,12.4,12.5,,1,1,6,,3,34
139,06100640000WB,12.9,13.0,,1,1,6,,3,34
140,06100640000WB,9.3,9.4,,1,1,6,,2,92
141,06100640000WB,9.9,10.0,,1,1,6,,2,33
142,06100640000WB,11.3,11.4,,1,1,6,,3,46
143,06100640000WB,12.1,12.2,,1,1,6,,3,42
144,06100640000WB,10.5428,10.6,,1,1,6,,2,70
145,06100640000WB,13.4,13.5,,1,1,6,,2,76
146,06100640000WB,10.4343,10.5,,1,1,6,,2,41
147,06100640000WB,10.9,10.9512,,1,1,6,,3,119
148,06100640000WB,12.02,12.1,,1,1,6,,3,81
149,06100640000WB,10.8,10.852,,1,1,6,,3,110
150,06100640000WB,10.0,10.1,,1,1,6,,2,36
151,06100640000WB,10.1,10.2,,1,1,6,,2,32
152,06100640000WB,10.3,10.4,,1,1,6,,2,42
153,06100640000WB,10.6,10.7,,1,1,6,,3,57
154,06100640000WB,10.7,10.8,,1,1,6,,3,54
155,06100640000WB,11.0,11.1,,1,1,6,,3,67
156,06100640000WB,11.2,11.26,,1,1,6,,3,46
157,06100640000WB,11.4,11.5,,1,1,6,,3,35
158,06100640000WB,11.8,11.9,,1,1,6,,3,30
159,06100640000WB,11.9,12.0,,1,1,6,,3,53
160,06100640000WB,12.2,12.3,,1,1,6,,3,41
161,06100640000WB,12.3,12.4,,1,1,6,,3,29
162,06100640000WB,12.5,12.6,,1,1,6,,3,31
163,06100640000WB,12.6,12.7,,1,1,6,,3,33
164,06100640000WB,12.7186,12.8,,1,1,6,,3,31
165,06100640000WB,12.8,12.9,,1,1,6,,3,42
166,06100640000WB,13.0,13.1,,1,1,6,,3,30
167,06100640000WB,13.1,13.2,,1,1,6,,3,28
168,06100640000WB,13.2,13.3,,1,1,6,,3,54
169,06100640000WB,13.3,13.3906,,1,1,6,,3,104
170,06100640000WB,13.5,13.6,,1,1,6,,3,43
171,06100640000WB,8.9,9.0,,1,1,6,,2,48
172,06100640000WB,9.0,9.1,,1,1,6,,2,56
173,06100640000WB,9.1,9.2,,1,1,6,,2,118
174,06100640000WB,9.4,9.5,,1,1,6,,2,44
175,06100640000WB,9.5,9.6,,1,1,6,,2,33
176,06100640000WB,9.6,9.6703,,1,1,6,,2,36
177,06100640000WB,9.7,9.8,,1,1,6,,2,41
178,06100640000WB,9.8,9.9,,1,1,6,,2,39
179,06100640000WB,11.5,11.6,,1,1,6,,3,41
180,06100640000WB,11.6,11.7,,1,1,6,,3,36
181,06100640000WB,10.5,10.5428,,1,1,6,,2,70
182,06100640000WB,9.2512,9.3,,1,1,6,,2,170
183,06100640000WB,10.852,10.9,,1,1,6,,3,110
184,06100640000WB,11.1,11.152,,1,1,6,,3,49
185,06100640000WB,11.152,11.2,,1,1,6,,3,49
186,06100640000WB,9.2,9.2512,,1,1,6,,2,170
187,06100640000WB,9.6703,9.7,,1,1,6,,2,36
188,06100640000WB,11.26,11.3,,1,1,6,,3,46
189,06100640000WB,10.9664,10.978,,1,1,6,,3,119
190,06100640000WB,10.4,10.4343,,1,1,6,,2,41
191,06100640000WB,10.978,11.0,,1,1,6,,3,119
192,06100640000WB,12.0,12.02,,1,1,6,,3,81
193,06100640000WB,10.9512,10.9664,,1,1,6,,3,119
194,06100640000WB,13.3906,13.4,,1,1,6,,3,104
195,06100640000WB,12.7,12.7186,,1,1,6,,3,31
196,06100640000WB,13.8,13.9,,1,1,6,,2,28
197,06100640000WB,13.9281,14.0,,1,1,6,,2,41
198,06100640000WB,13.6,13.7,,1,1,6,,3,36
199,06100640000WB,13.7,13.8,,1,1,6,,3,32
200,06100640000WB,14.0,14.1,,1,1,6,,2,30
201,06100640000WB,13.9,13.9281,,1,1,6,,2,41
202,06100640000WB,14.1,14.142,,1,1,6,,2,154
203,06100640000WB,15.7,15.8,,1,1,6,,2,128
204,06100640000WB,16.0,16.1,,1,1,6,,2,158
205,06100640000WB,15.3,15.4,,1,1,6,,2,169
206,06100640000WB,16.4,16.5,,1,1,6,,2,128
207,06100640000WB,16.7,16.8,,1,1,6,,2,165
