StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,GRADES_C_VN,GRADES_C_VT,GRADES_C_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000NB,23.46,24.53,GRADES_C,1/1/2022 12:00:00 AM,0.298,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,1.07,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02100810000NB,24.53,26.0,GRADES_C,1/1/2022 12:00:00 AM,0.39,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,1.47,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,5.24,6.05,GRADES_C,1/1/2022 12:00:00 AM,0.156,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.81,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,13.65,13.78,GRADES_C,1/1/2022 12:00:00 AM,0.008,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.13,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,14.51,14.64,GRADES_C,1/1/2022 12:00:00 AM,0.014,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.13,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,16.48,17.51,GRADES_C,1/1/2022 12:00:00 AM,0.012,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,1.03,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,24.71,24.97,GRADES_C,1/1/2022 12:00:00 AM,0.016,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.26,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,0.35,2.2,GRADES_C,1/1/2022 12:00:00 AM,0.545,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,1.85,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,6.17,6.27,GRADES_C,1/1/2022 12:00:00 AM,0.045,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.1,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,6.4,6.47,GRADES_C,1/1/2022 12:00:00 AM,0.015,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.07,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,6.47,7.58,GRADES_C,1/1/2022 12:00:00 AM,0.409,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,1.11,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,7.584,9.95,GRADES_C,1/1/2022 12:00:00 AM,0.709,,,,5/16/2023 3:19:46 PM,12/31/9999 12:00:00 AM,2.366,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,10.12,10.37,GRADES_C,1/1/2022 12:00:00 AM,0.075,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.25,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,10.532,10.84,GRADES_C,1/1/2022 12:00:00 AM,0.032,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.308,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,10.84,10.893,GRADES_C,1/1/2022 12:00:00 AM,0.183,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.053,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,10.893,11.15,GRADES_C,1/1/2022 12:00:00 AM,0.183,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.257,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,11.15,11.243,GRADES_C,1/1/2022 12:00:00 AM,0.172,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.093,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,14.0,14.2,GRADES_C,1/1/2022 12:00:00 AM,0.088,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.2,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,14.55,14.9,GRADES_C,1/1/2022 12:00:00 AM,0.1,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.35,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,15.57,15.79,GRADES_C,1/1/2022 12:00:00 AM,0.103,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.22,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,17.07,17.48,GRADES_C,1/1/2022 12:00:00 AM,0.054,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.41,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,18.18,20.16,GRADES_C,1/1/2022 12:00:00 AM,0.194,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,1.98,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230045000000,13.355,13.76,GRADES_C,1/1/2022 12:00:00 AM,0.137,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.405,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230045000000,14.39,14.45,GRADES_C,1/1/2022 12:00:00 AM,0.06,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.06,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230045000000,14.45,14.52,GRADES_C,1/1/2022 12:00:00 AM,0.062,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.07,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230045000000,14.52,14.85,GRADES_C,1/1/2022 12:00:00 AM,0.08,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.33,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230045000000,14.85,15.31,GRADES_C,1/1/2022 12:00:00 AM,0.059,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.46,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230045000000,17.53,18.23,GRADES_C,1/1/2022 12:00:00 AM,0.193,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.7,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230045000000,19.08,19.61,GRADES_C,1/1/2022 12:00:00 AM,0.085,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.53,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230051000000,1.87,2.841,GRADES_C,1/1/2022 12:00:00 AM,0.193,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.971,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230051000000,4.13,4.54,GRADES_C,1/1/2022 12:00:00 AM,0.015,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.41,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230051000000,4.58,4.62,GRADES_C,1/1/2022 12:00:00 AM,0.018,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.04,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230051000000,4.62,5.18,GRADES_C,1/1/2022 12:00:00 AM,0.099,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.56,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230051000000,5.4,8.591,GRADES_C,1/1/2022 12:00:00 AM,1.048,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,3.191,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230901000000,4.86,5.44,GRADES_C,1/1/2022 12:00:00 AM,0.16,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.58,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240001000000,8.14,9.32,GRADES_C,1/1/2022 12:00:00 AM,0.273,,,,5/16/2023 3:19:46 PM,12/31/9999 12:00:00 AM,1.18,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240005000000,5.9,7.94,GRADES_C,1/1/2022 12:00:00 AM,0.489,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,2.04,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240009050000,1.67,3.26,GRADES_C,1/1/2022 12:00:00 AM,0.264,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,1.59,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240009130000,0.4,1.92,GRADES_C,1/1/2022 12:00:00 AM,0.3,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,1.52,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240009270000,0.0,0.31,GRADES_C,1/1/2022 12:00:00 AM,0.052,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.31,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240010010000,0.0,0.69,GRADES_C,1/1/2022 12:00:00 AM,0.181,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.69,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240011130000,0.28,0.41,GRADES_C,1/1/2022 12:00:00 AM,0.011,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.13,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240011130000,0.41,0.55,GRADES_C,1/1/2022 12:00:00 AM,0.066,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.14,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240011190000,0.0,0.31,GRADES_C,1/1/2022 12:00:00 AM,0.078,,,,5/16/2023 3:19:42 PM,12/31/9999 12:00:00 AM,0.31,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240011240000,0.0,0.85,GRADES_C,1/1/2022 12:00:00 AM,0.122,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.85,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240011330000,0.0,0.26,GRADES_C,1/1/2022 12:00:00 AM,0.113,,,,5/16/2023 3:19:42 PM,12/31/9999 12:00:00 AM,0.26,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240011370000,0.0,0.23,GRADES_C,1/1/2022 12:00:00 AM,0.067,,,,5/16/2023 3:19:42 PM,12/31/9999 12:00:00 AM,0.23,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240012000000,0.0,1.29,GRADES_C,1/1/2022 12:00:00 AM,0.269,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,1.29,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0240013000000,0.43,1.03,GRADES_C,1/1/2022 12:00:00 AM,0.119,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.6,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
