StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,LAST_OVERLAY_THICKNESS_VN,LAST_OVERLAY_THICKNESS_VT,LAST_OVERLAY_THICKNESS_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000NB,20.37,23.0,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,2.63,9ba093cb-f840-4b28-a250-88014970859b,,
54,02100810000NB,23.0,23.4,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.4,9ba093cb-f840-4b28-a250-88014970859b,,
54,02100810000NB,23.4,23.46,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.06,9ba093cb-f840-4b28-a250-88014970859b,,
54,02100810000NB,23.46,23.5,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.04,9ba093cb-f840-4b28-a250-88014970859b,,
54,02100810000NB,23.5,24.53,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.03,9ba093cb-f840-4b28-a250-88014970859b,,
54,02100810000NB,24.53,25.9,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.37,9ba093cb-f840-4b28-a250-88014970859b,,
54,02100810000NB,25.9,26.0,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.1,9ba093cb-f840-4b28-a250-88014970859b,,
54,02200110000NB,5.24,6.05,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.81,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,0.35,2.2,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.85,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,4.81,4.9,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,New 2021,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.09,9ba093cb-f840-4b28-a250-88014970859b,,
