StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,BASE_TYPE_VN,BASE_TYPE_VT,BASE_TYPE_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000NB,18.13,20.37,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.24,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,02100810000NB,20.37,23.0,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.63,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,02100810000NB,23.0,23.4,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.4,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,02100810000NB,23.4,23.46,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.06,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,02100810000NB,23.46,23.5,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.04,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,02100810000NB,23.5,24.53,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.03,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,02100810000NB,24.53,25.9,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.37,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,02100810000NB,25.9,26.0,BASE_TYPE,1/1/2022 12:00:00 AM,6.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.1,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,0.35,2.2,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.85,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,4.9,6.17,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,New 2021,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.27,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,6.17,6.27,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.1,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,6.47,7.58,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.11,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,10.12,10.37,BASE_TYPE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.25,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,10.52,10.84,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.32,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,10.84,11.15,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.31,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,14.55,14.9,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.35,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,15.57,15.79,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.22,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,15.79,16.09,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.3,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,17.07,17.48,BASE_TYPE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.41,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,18.18,20.16,BASE_TYPE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.98,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,6.381,6.47,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.089,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0230009000000,7.584,9.95,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,same as 2020,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.366,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,53.27,54.18,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.91,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,54.18,57.51,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,3.33,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,49.73,50.35,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.62,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,67.52,69.32,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.8,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,63.46,64.83,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.37,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,64.83,67.52,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.69,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,61.47,62.04,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.57,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,51.61,52.61,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.0,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,57.51,59.0,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.49,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,46.22,49.73,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,3.51,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,62.04,63.46,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.42,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,50.35,51.61,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.26,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,59.0,61.47,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.47,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,44.6,46.22,BASE_TYPE,1/1/2022 12:00:00 AM,5.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.62,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,04100790000NB,52.61,53.27,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.66,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,03201190000NB,16.97,17.83,BASE_TYPE,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.86,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,03201190000NB,12.83,13.54,BASE_TYPE,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,0.71,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,03201190000NB,11.49,12.83,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.34,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,03201190000NB,9.44,11.49,BASE_TYPE,1/1/2022 12:00:00 AM,3.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.05,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0330003000000,8.17,11.14,BASE_TYPE,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.97,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,03201190000NB,0.0,2.93,BASE_TYPE,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,2.93,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
54,0330099000000,0.0,1.84,BASE_TYPE,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:11:56 PM,12/31/9999 12:00:00 AM,1.84,70e0bfc9-e9d0-41f3-a0c5-64a1be0f55f2,,
