StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,THICKNESS_RIGID_VN,THICKNESS_RIGID_VT,THICKNESS_RIGID_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,20100770000NB,106.17,107.6,THICKNESS_RIGID,1/1/2022 12:00:00 AM,8.0,,,,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,1.43,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,20100640006EB,0.0,0.3,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.3,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,20100640000EB,57.48,57.92,THICKNESS_RIGID,1/1/2022 12:00:00 AM,8.0,,,,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.44,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,20100770000NB,100.28,100.78,THICKNESS_RIGID,1/1/2022 12:00:00 AM,8.0,,,,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.5,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,20100640000EB,57.92,58.3,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.38,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,20100770000NB,98.28,99.12,THICKNESS_RIGID,1/1/2022 12:00:00 AM,8.0,,,,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.84,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,21100790000NB,98.4,98.63,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.23,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,28100770000NB,8.189,8.98,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.791,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,28100770000NB,0.69,2.56,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,1.87,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,28100770000NB,2.56,5.12,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,2.56,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,28100770000NB,5.12,6.9,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,1.78,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,31200190000NB,8.99,9.16,THICKNESS_RIGID,1/1/2022 12:00:00 AM,10.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.17,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,3130705000000,0.0,0.51,THICKNESS_RIGID,1/1/2022 12:00:00 AM,10.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.51,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,3130705000000,0.68,0.7,THICKNESS_RIGID,1/1/2022 12:00:00 AM,10.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.02,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,3130705000000,0.7,1.23,THICKNESS_RIGID,1/1/2022 12:00:00 AM,10.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.53,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,3130705000000,1.23,1.63,THICKNESS_RIGID,1/1/2022 12:00:00 AM,10.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.4,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,3130705000000,1.63,1.81,THICKNESS_RIGID,1/1/2022 12:00:00 AM,10.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.18,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,14.66,18.1,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,3.44,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,18.1,18.12,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.02,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,18.12,18.2,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.08,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,18.2,23.34,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,5.14,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,26.75,28.64,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,1.89,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,28.64,29.23,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.59,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,29.23,31.24,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,2.01,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,39100680000EB,31.24,31.42,THICKNESS_RIGID,1/1/2022 12:00:00 AM,9.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.18,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,128.91,129.49,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.58,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,129.49,132.0,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,2.51,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
