StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,TURN_LANES_L_VN,TURN_LANES_L_VT,TURN_LANES_L_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000NB,14.26,15.22,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.96,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,15.22,15.62,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.4,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,15.62,15.95,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.33,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,15.95,16.23,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.28,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,16.23,17.3,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,1.07,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,17.3,18.13,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.83,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,18.13,20.37,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,2.24,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,20.37,23.0,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,2.63,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,23.0,23.46,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.46,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,23.46,23.6,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.14,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,23.6,23.7,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.1,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,23.7,23.8,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.1,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,23.8,24.53,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.73,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,24.53,25.4,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.87,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,25.4,25.9,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.5,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02100810000NB,25.9,26.0,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.1,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02200110000NB,5.24,6.05,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.81,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
