StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,STRUCTURE_TYPE_VN,STRUCTURE_TYPE_VT,STRUCTURE_TYPE_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,0130092000000,9.244,9.252,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A075,,,6/1/2023 12:39:22 PM,12/31/9999 12:00:00 AM,0.008,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0130092000000,19.143,19.167,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A076,,,6/1/2023 12:39:21 PM,12/31/9999 12:00:00 AM,0.024,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0130092000000,19.413,19.427,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A077,,,6/1/2023 12:39:21 PM,12/31/9999 12:00:00 AM,0.014,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0130092000000,26.735,26.739,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A078,,,6/1/2023 12:39:21 PM,12/31/9999 12:00:00 AM,0.004,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,01202500000SB,17.237,17.297,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A092,,,6/1/2023 12:39:21 PM,12/31/9999 12:00:00 AM,0.06,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0130057000000,7.236,7.242,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A098,,,6/1/2023 12:39:22 PM,12/31/9999 12:00:00 AM,0.006,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0140001010000,4.23,4.248,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A099,,,6/1/2023 12:39:21 PM,12/31/9999 12:00:00 AM,0.018,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0140011000000,15.775,15.817,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A101,,,6/1/2023 12:39:21 PM,12/31/9999 12:00:00 AM,0.042,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0140011020000,0.64,0.644,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A102,,,6/1/2023 12:39:20 PM,12/31/9999 12:00:00 AM,0.004,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0130038000000,7.352,7.366,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A103,,,6/1/2023 12:39:22 PM,12/31/9999 12:00:00 AM,0.014,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,0140007100000,0.093,0.101,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A106,,,6/1/2023 12:39:20 PM,12/31/9999 12:00:00 AM,0.008,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
54,01202500013SB,0.374,0.544,STRUCTURE_TYPE,1/1/2022 12:00:00 AM,1.0,01A107,,,6/1/2023 12:39:20 PM,12/31/9999 12:00:00 AM,0.17,515e6391-94b1-4cdc-9c8c-cc613994ce97,,
