StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,BASE_THICKNESS_VN,BASE_THICKNESS_VT,BASE_THICKNESS_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000NB,23.4,23.46,BASE_THICKNESS,1/1/2022 12:00:00 AM,10.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.06,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,02100810000NB,23.46,23.5,BASE_THICKNESS,1/1/2022 12:00:00 AM,10.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.04,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,02100810000NB,23.5,24.53,BASE_THICKNESS,1/1/2022 12:00:00 AM,10.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.03,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,02100810000NB,24.53,25.9,BASE_THICKNESS,1/1/2022 12:00:00 AM,10.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.37,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,02100810000NB,25.9,26.0,BASE_THICKNESS,1/1/2022 12:00:00 AM,10.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.1,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,0.35,2.2,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.85,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,4.9,6.17,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,New 2021,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.27,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,6.17,6.27,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.1,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,6.47,7.58,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.11,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,10.12,10.37,BASE_THICKNESS,1/1/2022 12:00:00 AM,8.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.25,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,10.52,10.84,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.32,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,10.84,11.15,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.31,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,14.55,14.9,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.35,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,15.57,15.79,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.22,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,15.79,16.09,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.3,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,17.07,17.48,BASE_THICKNESS,1/1/2022 12:00:00 AM,11.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.41,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,18.18,20.16,BASE_THICKNESS,1/1/2022 12:00:00 AM,11.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.98,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,6.381,6.47,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.089,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0230009000000,7.584,9.95,BASE_THICKNESS,1/1/2022 12:00:00 AM,4.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.366,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,53.27,54.18,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.91,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,54.18,57.51,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,3.33,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,49.73,50.35,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.62,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,67.52,69.32,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.8,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
