StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,PCT_PASS_SIGHT_VN,PCT_PASS_SIGHT_VT,PCT_PASS_SIGHT_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,0330085000000,34.05,34.35,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,0.3,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0330094000000,0.0,3.01,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,34.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,3.01,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0330099000000,0.0,1.84,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,4.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,1.84,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0340005000000,5.42,6.96,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,1.54,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0340005000000,15.1,17.57,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,2.47,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0340006000000,2.99,5.53,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,2.54,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,04200190000NB,26.57,27.56,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,0.99,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,04200190000NB,27.56,27.64,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,0.08,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0440032000000,6.27,6.5,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,0.23,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0530027000000,1.58,2.26,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,0.68,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0530067000000,6.14,6.71,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,0.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,0.57,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
54,0630002000000,9.98,10.08,PCT_PASS_SIGHT,1/1/2022 12:00:00 AM,50.0,,,,4/18/2023 12:02:38 PM,12/31/9999 12:00:00 AM,0.1,56913338-56f4-4ea9-a10b-12aaa9f571c7,,
