StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,PCT_GREEN_TIME_VN,PCT_GREEN_TIME_VT,PCT_GREEN_TIME_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,06200600000EB,8.82,9.5,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,70.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.68,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,06200600000EB,9.56,9.92,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,70.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.36,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,06200600000EB,10.76,11.25,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,65.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.49,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,06200600000EB,11.51,12.23,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,60.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.72,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,06200600000EB,15.59,17.29,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,50.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,1.7,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,06200600001EB,0.0,0.39,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,50.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.39,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,0630002001300,0.0,0.17,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,43.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.17,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,0630002001300,0.17,0.39,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,58.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.22,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,0630010000000,15.69,15.82,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,63.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.13,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,0630010000000,15.82,16.27,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,74.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.45,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,0630010000000,17.21,17.37,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,42.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.16,f81b82c0-9383-4284-94ab-50364c983bb0,,
54,0630010000000,17.46,18.41,PCT_GREEN_TIME,1/1/2022 12:00:00 AM,60.0,,,,4/17/2023 5:15:45 PM,12/31/9999 12:00:00 AM,0.95,f81b82c0-9383-4284-94ab-50364c983bb0,,
