StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,SIGNAL_TYPE_VN,SIGNAL_TYPE_VT,SIGNAL_TYPE_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,0230009000000,15.79,16.09,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.3,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,0230009000000,17.07,17.48,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.41,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,0230009000000,18.18,20.16,SIGNAL_TYPE,1/1/2022 12:00:00 AM,2.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,1.98,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,0230045000000,14.85,15.31,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.46,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,05200220000EB,3.17,3.35,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.18,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,05200220000EB,3.35,3.45,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.1,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,05200220000EB,3.45,4.73,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,1.28,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,05200220000EB,4.73,5.19,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.46,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,05200220000EB,5.19,5.89,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.7,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,05300020005SB,0.0,0.34,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.34,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,5.87,6.47,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.6,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,6.47,6.74,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.27,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,6.74,7.26,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.52,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,7.26,7.72,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.46,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,7.72,8.19,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.47,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,8.19,9.22,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,1.03,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,9.22,9.52,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.3,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,11.02,11.26,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:07 PM,12/31/9999 12:00:00 AM,0.24,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,11.26,11.37,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:07 PM,12/31/9999 12:00:00 AM,0.11,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,11.37,11.8,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.43,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,11.8,13.4,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,1.6,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,13.4,13.5,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.1,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,13.5,13.8,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.3,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,13.8,14.53,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:07 PM,12/31/9999 12:00:00 AM,0.73,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,14.57,14.6,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.03,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,14.6,17.68,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,3.08,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,17.68,18.08,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.4,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,18.08,18.49,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.41,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,18.49,19.32,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.83,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,19.32,19.71,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.39,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,19.71,20.19,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.48,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,20.19,21.04,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.85,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,21.04,21.16,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.12,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,21.16,21.75,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.59,aed67bc5-0c79-4f25-8674-587545cbf962,,
54,06100640000EB,21.75,22.39,SIGNAL_TYPE,1/1/2022 12:00:00 AM,5.0,,,,4/17/2023 5:09:08 PM,12/31/9999 12:00:00 AM,0.64,aed67bc5-0c79-4f25-8674-587545cbf962,,
