BeginDate|StateID|RouteID|BeginPoint|EndPoint|Data_Item|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|0140010000000|0.0|1.96|ACCESS_CONTROL|3|||
12/31/2021|54|0140010000000|2.31|7.28|ACCESS_CONTROL|3|||
12/31/2021|54|0140010000000|7.41|8.63|ACCESS_CONTROL|3|||
12/31/2021|54|0140010000000|8.63|11.73|ACCESS_CONTROL|3|||
12/31/2021|54|0140010010000|0.0|1.79|ACCESS_CONTROL|3|||
12/31/2021|54|0140010030000|0.0|1.27|ACCESS_CONTROL|3|||
12/31/2021|54|0140010040000|0.0|1.47|ACCESS_CONTROL|3|||
12/31/2021|54|0140010050000|0.0|0.66|ACCESS_CONTROL|3|||
12/31/2021|54|0140010060000|0.0|0.28|ACCESS_CONTROL|3|||
12/31/2021|54|0140010070000|0.0|0.92|ACCESS_CONTROL|3|||
12/31/2021|54|0140010080000|0.0|1.75|ACCESS_CONTROL|3|||
12/31/2021|54|0140010090000|0.0|0.95|ACCESS_CONTROL|3|||
12/31/2021|54|0140010100000|0.0|0.41|ACCESS_CONTROL|3|||
12/31/2021|54|0140010120000|0.0|0.2|ACCESS_CONTROL|3|||
12/31/2021|54|0140010130000|0.0|2.55|ACCESS_CONTROL|3|||
12/31/2021|54|0140010140000|0.0|0.2|ACCESS_CONTROL|3|||
12/31/2021|54|0140011000000|0.0|3.05|ACCESS_CONTROL|3|||
12/31/2021|54|0140011000000|3.05|3.78|ACCESS_CONTROL|3|||
12/31/2021|54|0140011000000|3.78|5.79|ACCESS_CONTROL|3|||
12/31/2021|54|0140011000000|5.79|15.87|ACCESS_CONTROL|3|||
12/31/2021|54|0140011020000|0.0|0.78|ACCESS_CONTROL|3|||
12/31/2021|54|0140011030000|0.0|3.62|ACCESS_CONTROL|3|||
12/31/2021|54|0140011040000|0.0|1.04|ACCESS_CONTROL|3|||
12/31/2021|54|0140011050000|0.0|2.19|ACCESS_CONTROL|3|||
12/31/2021|54|0140011050000|2.23|2.35|ACCESS_CONTROL|3|||
12/31/2021|54|0140011060000|0.0|1.73|ACCESS_CONTROL|3|||
12/31/2021|54|0140011080000|0.0|1.57|ACCESS_CONTROL|3|||
12/31/2021|54|0140011090000|0.0|1.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140011100000|0.0|3.0|ACCESS_CONTROL|3|||
12/31/2021|54|0140011110000|0.0|1.03|ACCESS_CONTROL|3|||
12/31/2021|54|0140011120000|0.0|1.4|ACCESS_CONTROL|3|||
12/31/2021|54|0140011130000|0.0|0.7|ACCESS_CONTROL|3|||
12/31/2021|54|0140011150000|0.0|0.82|ACCESS_CONTROL|3|||
12/31/2021|54|0140011160000|0.0|2.3|ACCESS_CONTROL|3|||
12/31/2021|54|0140011170000|0.0|0.2|ACCESS_CONTROL|3|||
12/31/2021|54|0140011180000|0.0|0.06|ACCESS_CONTROL|3|||
12/31/2021|54|0140011190000|0.0|0.32|ACCESS_CONTROL|3|||
12/31/2021|54|0140011200000|0.0|0.19|ACCESS_CONTROL|3|||
12/31/2021|54|0140011210000|0.0|0.1|ACCESS_CONTROL|3|||
12/31/2021|54|0140011220000|0.0|0.09|ACCESS_CONTROL|3|||
12/31/2021|54|0140011230000|0.0|0.22|ACCESS_CONTROL|3|||
12/31/2021|54|0140011240000|0.0|0.1|ACCESS_CONTROL|3|||
12/31/2021|54|0140011250000|0.0|0.21|ACCESS_CONTROL|3|||
12/31/2021|54|0140011260000|0.0|0.12|ACCESS_CONTROL|3|||
12/31/2021|54|0140011290000|0.0|0.16|ACCESS_CONTROL|3|||
12/31/2021|54|0140011300000|0.0|0.23|ACCESS_CONTROL|3|||
12/31/2021|54|0140011310000|0.0|0.09|ACCESS_CONTROL|3|||
12/31/2021|54|0140011350000|0.0|0.04|ACCESS_CONTROL|3|||
12/31/2021|54|0140011360000|0.0|0.31|ACCESS_CONTROL|3|||
12/31/2021|54|0140012000000|0.0|2.38|ACCESS_CONTROL|3|||
12/31/2021|54|0140012000000|2.38|2.63|ACCESS_CONTROL|3|||
12/31/2021|54|0140012000000|2.63|6.71|ACCESS_CONTROL|3|||
