BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Comments
12/31/2021|54|1930009000000|5.439|6.112|NN|2||
12/31/2021|54|1930009000000|6.112|6.176|NN|2||
12/31/2021|54|1930009000000|6.176|6.35|NN|2||
12/31/2021|54|1930009000000|6.35|6.52|NN|2||
12/31/2021|54|1930009000000|6.52|8.03|NN|2||
12/31/2021|54|1930009000000|8.03|8.346|NN|2||
12/31/2021|54|1930009000000|8.346|8.891|NN|2||
12/31/2021|54|1930009000000|8.891|8.953|NN|2||
12/31/2021|54|1930009000000|8.953|9.12|NN|2||
12/31/2021|54|1930009000000|9.98|10.3|NN|2||
12/31/2021|54|1930009000000|10.301|10.441|NN|2||
12/31/2021|54|1930009000000|10.441|10.68|NN|2||
12/31/2021|54|1930009000000|10.68|10.91|NN|2||
12/31/2021|54|1930009000000|10.91|10.969|NN|2||
12/31/2021|54|1930009000000|10.969|11.418|NN|2||
12/31/2021|54|1930009000000|11.418|12.53|NN|2||
12/31/2021|54|1930009000000|12.53|13.55|NN|2||
12/31/2021|54|1930009000000|13.55|13.87|NN|2||
12/31/2021|54|1930009000000|13.87|14.29|NN|2||
12/31/2021|54|1930009000000|14.29|14.43|NN|2||
12/31/2021|54|1930009000000|14.43|14.435|NN|2||
12/31/2021|54|1930009000000|14.435|14.96|NN|2||
12/31/2021|54|2030025000000|0.0|0.378|NN|2||
12/31/2021|54|2030025000000|0.378|0.73|NN|2||
12/31/2021|54|2030025000000|0.73|0.89|NN|2||
12/31/2021|54|2030025000000|0.89|2.33|NN|2||
12/31/2021|54|2030025000000|2.33|2.46|NN|2||
12/31/2021|54|2030025000000|2.46|2.68|NN|2||
12/31/2021|54|2030025000000|2.68|2.78|NN|2||
12/31/2021|54|2030025000000|2.78|3.595|NN|2||
12/31/2021|54|2030025000000|3.595|3.599|NN|2||
12/31/2021|54|2030025000000|3.599|3.609|NN|2||
12/31/2021|54|2030025000000|3.609|3.74|NN|2||
12/31/2021|54|2030025000000|3.74|3.79|NN|2||
12/31/2021|54|2030025000000|3.79|3.89|NN|2||
12/31/2021|54|2030025000000|3.89|4.85|NN|2||
12/31/2021|54|2030025000000|4.85|5.11|NN|2||
12/31/2021|54|2030025000000|5.11|5.13|NN|2||
12/31/2021|54|2030025000000|5.13|5.24|NN|2||
12/31/2021|54|2030025000000|5.24|5.35|NN|2||
12/31/2021|54|2030025000000|5.35|5.68|NN|2||
12/31/2021|54|2030025000000|5.68|5.71|NN|2||
12/31/2021|54|2030025000000|5.71|5.8|NN|2||
12/31/2021|54|2030025000000|8.3|8.42|NN|2||
12/31/2021|54|2030025000000|8.42|9.35|NN|2||
12/31/2021|54|2030025000000|9.35|9.42|NN|2||
12/31/2021|54|2030025000000|9.42|10.24|NN|2||
12/31/2021|54|2030025000000|10.24|10.42|NN|2||
12/31/2021|54|2030025000000|10.42|10.422|NN|2||
12/31/2021|54|2030025000000|10.422|10.44|NN|2||
12/31/2021|54|2030025000000|10.44|10.55|NN|2||
12/31/2021|54|2030025000000|10.55|10.62|NN|2||
12/31/2021|54|2030025000000|10.62|11.16|NN|2||
12/31/2021|54|2030025000000|11.16|11.27|NN|2||
12/31/2021|54|2030025000000|11.27|11.36|NN|2||
12/31/2021|54|2030025000000|11.36|11.48|NN|2||
12/31/2021|54|2030025000000|11.48|12.59|NN|2||
12/31/2021|54|2030025000000|12.59|12.62|NN|2||
12/31/2021|54|2030025000000|12.62|12.63|NN|2||
12/31/2021|54|2030817000000|0.0|0.08|NN|2||
12/31/2021|54|2030817000000|0.08|0.75|NN|2||
12/31/2021|54|2030817000000|0.75|0.97|NN|2||
12/31/2021|54|2030817000000|0.97|1.57|NN|2||
12/31/2021|54|2040021000000|0.0|1.39|NN|2||
12/31/2021|54|2040021000000|1.39|1.42|NN|2||
12/31/2021|54|2040021000000|1.42|1.912|NN|2||
12/31/2021|54|2040021000000|1.912|2.35|NN|2||
12/31/2021|54|2040025250000|0.0|0.15|NN|2||
12/31/2021|54|2040025250000|0.15|2.136|NN|2||
12/31/2021|54|2040025250000|2.136|2.17|NN|2||
12/31/2021|54|2040027000000|0.0|0.21|NN|2||
12/31/2021|54|2040027000000|2.08|2.14|NN|2||
12/31/2021|54|2040027000000|2.14|2.141|NN|2||
12/31/2021|54|2040027000000|2.141|2.24|NN|2||
12/31/2021|54|2630002000000|0.0|3.95|NN|2||
12/31/2021|54|2630002000000|3.95|4.68|NN|2||
12/31/2021|54|2630002000000|4.68|6.46|NN|2||
12/31/2021|54|2630002000000|6.46|6.48|NN|2||
12/31/2021|54|2630002000000|6.48|7.41|NN|2||
12/31/2021|54|2630002000000|7.41|7.78|NN|2||
12/31/2021|54|2630002000000|7.78|7.85|NN|2||
12/31/2021|54|2630002000000|7.85|7.99|NN|2||
12/31/2021|54|2630002000000|7.99|10.22|NN|2||
12/31/2021|54|2630002000000|10.22|11.92|NN|2||
12/31/2021|54|2630002000000|11.92|11.95|NN|2||
12/31/2021|54|2630002000000|11.95|11.98|NN|2||
12/31/2021|54|2630002000000|11.98|12.12|NN|2||
12/31/2021|54|2630002000000|12.12|13.46|NN|2||
12/31/2021|54|2630002000000|13.46|13.89|NN|2||
12/31/2021|54|2630002000000|13.89|15.25|NN|2||
12/31/2021|54|2630002000000|15.25|15.46|NN|2||
12/31/2021|54|2630002000000|15.46|17.62|NN|2||
12/31/2021|54|2630002000000|17.62|17.918|NN|2||
12/31/2021|54|2630002000000|17.918|17.94|NN|2||
12/31/2021|54|2630002000000|17.94|18.04|NN|2||
12/31/2021|54|2630002000000|18.04|18.066|NN|2||
12/31/2021|54|2630002000000|18.066|18.07|NN|2||
12/31/2021|54|2630002000000|18.07|18.08|NN|2||
12/31/2021|54|2630002000000|18.08|18.24|NN|2||
12/31/2021|54|2630002000000|18.24|18.76|NN|2||
12/31/2021|54|2630002000000|18.76|18.86|NN|2||
12/31/2021|54|2630002000000|18.86|19.2|NN|2||
12/31/2021|54|2630002000000|19.2|19.31|NN|2||
12/31/2021|54|2630002000000|19.31|19.5|NN|2||
12/31/2021|54|2630002000000|19.5|19.53|NN|2||
12/31/2021|54|2630002000000|19.53|19.8|NN|2||
12/31/2021|54|2630002000000|19.8|19.82|NN|2||
12/31/2021|54|2630002000000|19.82|20.16|NN|2||
12/31/2021|54|2630002000300|0.0|0.2|NN|2||
12/31/2021|54|2630002000300|0.2|0.32|NN|2||
12/31/2021|54|2630002000300|0.32|0.35|NN|2||
12/31/2021|54|2630002000300|0.35|0.43|NN|2||
12/31/2021|54|3140857000000|6.21|6.222|NN|2||
12/31/2021|54|3140857000000|6.222|7.39|NN|2||
12/31/2021|54|3180901370000|0.0|0.13|NN|2||
12/31/2021|54|3180901450000|0.0|0.47|NN|2||
12/31/2021|54|3430020000000|30.35|34.16|NN|2||
12/31/2021|54|3430055000000|0.0|0.12|NN|2||
12/31/2021|54|3430055000000|0.12|0.38|NN|2||
12/31/2021|54|3430055000000|0.38|0.55|NN|2||
12/31/2021|54|3430055000000|0.55|0.56|NN|2||
12/31/2021|54|3430055000000|0.56|6.52|NN|2||
12/31/2021|54|3430055000000|6.52|7.98|NN|2||
12/31/2021|54|3430055000000|7.98|12.11|NN|2||
12/31/2021|54|3430055000200|0.0|0.027|NN|2||
12/31/2021|54|3730002000000|0.0|0.01|NN|2||
12/31/2021|54|3730002000000|0.01|3.71|NN|2||
12/31/2021|54|3730002000000|3.71|4.75|NN|2||
12/31/2021|54|3730002000000|4.75|5.72|NN|2||
12/31/2021|54|3730002000000|5.72|6.064|NN|2||
12/31/2021|54|3730002000000|6.064|6.86|NN|2||
12/31/2021|54|3730002000000|6.86|7.22|NN|2||
12/31/2021|54|3730002000000|7.22|7.25|NN|2||
12/31/2021|54|3730002000000|7.25|7.473|NN|2||
12/31/2021|54|3730002000000|7.473|7.67|NN|2||
12/31/2021|54|3730002000000|7.67|7.685|NN|2||
12/31/2021|54|3730002000000|7.685|8.322|NN|2||
12/31/2021|54|3730002000000|8.322|8.39|NN|2||
12/31/2021|54|3730002000000|8.39|9.34|NN|2||
12/31/2021|54|3730002000000|9.34|9.44|NN|2||
12/31/2021|54|3730002000000|9.44|9.63|NN|2||
12/31/2021|54|3730002000000|9.63|9.93|NN|2||
12/31/2021|54|3730002000000|9.93|9.978|NN|2||
12/31/2021|54|3730002000000|9.978|10.07|NN|2||
12/31/2021|54|3730002000000|10.07|10.51|NN|2||
12/31/2021|54|3730002000000|10.51|10.84|NN|2||
12/31/2021|54|3730002000000|10.84|10.96|NN|2||
