BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|05200220000EB|3.35|3.45|PEAK_PARKING|3|||
12/31/2021|54|05200220000EB|3.45|4.73|PEAK_PARKING|3|||
12/31/2021|54|05200220000EB|4.73|5.19|PEAK_PARKING|3|||
12/31/2021|54|05200220000EB|5.19|5.89|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|3.33|3.88|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|3.88|6.35|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|6.8|7.06|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|7.06|7.47|PEAK_PARKING|2|||
12/31/2021|54|0530002000000|7.59|8.67|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|10.14|10.72|PEAK_PARKING|1|||
12/31/2021|54|0530002000000|12.63|13.08|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|14.5|14.83|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|14.83|15.05|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|15.05|15.08|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|15.08|15.4|PEAK_PARKING|3|||
12/31/2021|54|0530002000000|15.75|16.16|PEAK_PARKING|3|||
12/31/2021|54|05300020005SB|0.0|0.34|PEAK_PARKING|3|||
12/31/2021|54|0530027000100|0.4|0.96|PEAK_PARKING|3|||
12/31/2021|54|0530027000100|0.96|3.35|PEAK_PARKING|3|||
12/31/2021|54|0530067000000|0.17|0.62|PEAK_PARKING|3|||
12/31/2021|54|0540001000000|0.0|0.12|PEAK_PARKING|3|||
12/31/2021|54|0540001000000|0.12|0.5|PEAK_PARKING|3|||
12/31/2021|54|0540001000000|1.07|1.34|PEAK_PARKING|3|||
12/31/2021|54|0540001000000|3.26|4.01|PEAK_PARKING|3|||
12/31/2021|54|0540001000000|4.01|4.8|PEAK_PARKING|3|||
12/31/2021|54|0540001080000|0.81|0.95|PEAK_PARKING|3|||
12/31/2021|54|0540001080000|0.95|1.45|PEAK_PARKING|3|||
12/31/2021|54|0540001080000|1.9|2.41|PEAK_PARKING|3|||
12/31/2021|54|0540002010000|0.0|0.13|PEAK_PARKING|3|||
12/31/2021|54|0540002010000|0.13|1.03|PEAK_PARKING|3|||
12/31/2021|54|0540003010000|0.48|0.61|PEAK_PARKING|3|||
12/31/2021|54|0540003010000|0.61|1.65|PEAK_PARKING|3|||
12/31/2021|54|0540003010000|1.65|1.94|PEAK_PARKING|3|||
12/31/2021|54|0540007000000|1.29|2.449|PEAK_PARKING|3|||
12/31/2021|54|0540007010000|0.0|0.84|PEAK_PARKING|3|||
12/31/2021|54|0540007010000|0.84|1.99|PEAK_PARKING|3|||
12/31/2021|54|0540008000000|0.0|0.75|PEAK_PARKING|3|||
12/31/2021|54|0540013000000|0.0|0.14|PEAK_PARKING|3|||
12/31/2021|54|0540014000000|2.43|3.45|PEAK_PARKING|3|||
12/31/2021|54|0540018000000|0.0|0.55|PEAK_PARKING|3|||
12/31/2021|54|0540027040000|0.0|0.13|PEAK_PARKING|3|||
12/31/2021|54|0540027040000|0.44|0.84|PEAK_PARKING|3|||
12/31/2021|54|0540028000000|0.0|0.198|PEAK_PARKING|3|||
12/31/2021|54|0540507000000|0.0|0.25|PEAK_PARKING|3|||
12/31/2021|54|0540507000000|0.25|0.34|PEAK_PARKING|3|||
12/31/2021|54|0540507000000|0.62|1.2|PEAK_PARKING|3|||
12/31/2021|54|0540507020000|0.0|1.22|PEAK_PARKING|3|||
12/31/2021|54|0577278001900|0.0|0.16|PEAK_PARKING|3|||
12/31/2021|54|0577279001900|0.0|0.16|PEAK_PARKING|2|||
12/31/2021|54|06100640000EB|5.87|6.47|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|6.47|6.74|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|6.74|7.26|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|7.26|7.72|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|7.72|8.19|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|8.19|9.22|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|9.22|9.52|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|11.02|11.37|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|11.37|14.53|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|14.57|17.68|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|17.68|18.08|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|18.08|18.49|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|18.49|19.32|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|19.32|19.71|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|19.71|20.19|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|20.19|21.04|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|21.04|21.16|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|21.16|21.75|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|21.75|22.39|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|22.39|27.11|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|27.11|27.55|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|27.55|28.67|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|28.67|29.44|PEAK_PARKING|3|||
12/31/2021|54|06100640000EB|29.44|31.77|PEAK_PARKING|3|||
12/31/2021|54|06200520000EB|0.01|0.33|PEAK_PARKING|3|||
12/31/2021|54|06200520000EB|0.33|0.45|PEAK_PARKING|3|||
12/31/2021|54|06200520000EB|0.75|1.01|PEAK_PARKING|3|||
12/31/2021|54|06200520004NB|0.0|0.32|PEAK_PARKING|3|||
12/31/2021|54|06200520004NB|0.321|0.46|PEAK_PARKING|3|||
12/31/2021|54|06200600000EB|2.97|3.07|PEAK_PARKING|1|||
12/31/2021|54|06200600000EB|3.17|3.27|PEAK_PARKING|2|||
12/31/2021|54|06200600000EB|5.76|5.96|PEAK_PARKING|1|||
12/31/2021|54|06200600000EB|6.97|7.51|PEAK_PARKING|3|||
12/31/2021|54|06200600000EB|7.59|7.96|PEAK_PARKING|3|||
12/31/2021|54|06200600000EB|7.96|8.43|PEAK_PARKING|3|||
12/31/2021|54|06200600000EB|8.43|8.82|PEAK_PARKING|3|||
12/31/2021|54|06200600000EB|8.82|9.5|PEAK_PARKING|3|||
12/31/2021|54|06200600000EB|9.56|9.92|PEAK_PARKING|3|||
