BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Date|Value_Text
12/31/2021|54|1530105000000|4.26|4.58|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|1530105000000|4.58|4.82|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|3530002000000|2.36|2.84|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|3530002000000|5.81|7.04|THICKNESS_FLEXIBLE|3.0||
12/31/2021|54|35200400000EB|2.81|2.83|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|3540007000000|0.0|0.44|THICKNESS_FLEXIBLE|6.5||
12/31/2021|54|35100700000EB|11.761|14.45|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|3540017000000|0.27|0.95|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|3540018030000|1.75|2.03|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|3540039000000|0.01|0.42|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|3540039000000|0.42|1.56|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|3540039000000|1.56|2.05|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|35200400000EB|2.83|3.24|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|35200400000EB|3.44|3.91|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|35200400000EB|4.32|5.42|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|35200400000EB|5.42|5.93|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|35200400000EB|7.1|7.44|THICKNESS_FLEXIBLE|5.0||
12/31/2021|54|35200400000EB|8.5|8.88|THICKNESS_FLEXIBLE|5.0||
12/31/2021|54|35200400000EB|8.06|8.26|THICKNESS_FLEXIBLE|5.0||
12/31/2021|54|4830002000000|9.93|10.25|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|4830002000000|4.9|6.65|THICKNESS_FLEXIBLE|2.5||
12/31/2021|54|4830002000000|2.84|4.64|THICKNESS_FLEXIBLE|2.5||
12/31/2021|54|5230002000000|11.75|12.12|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|5230002000000|8.6|9.24|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|5230002000000|8.35|8.6|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|5230002000000|7.29|7.84|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|5230002000000|6.95|7.09|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|5230002000000|6.08|6.5|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|5230002000000|5.69|6.08|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|5230002000000|5.29|5.69|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|5230002000000|4.21|4.442|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|5230007000000|2.0|2.55|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|0530027000100|0.4|0.96|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|26202500000NB|0.0|3.56|THICKNESS_FLEXIBLE|2.5||
12/31/2021|54|26202500000NB|3.56|4.01|THICKNESS_FLEXIBLE|2.5||
12/31/2021|54|26202500000NB|4.01|4.62|THICKNESS_FLEXIBLE|2.5||
12/31/2021|54|26202500000NB|4.65|7.1|THICKNESS_FLEXIBLE|2.5||
12/31/2021|54|26202500000NB|11.65|12.35|THICKNESS_FLEXIBLE|3.0||
12/31/2021|54|26202500000NB|12.47|13.37|THICKNESS_FLEXIBLE|3.0||
12/31/2021|54|26202500000NB|13.4|15.31|THICKNESS_FLEXIBLE|6.5||
12/31/2021|54|26202500000NB|31.63|31.73|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|35100700000EB|5.37|5.93|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|35100700000EB|5.93|6.9|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|35100700000EB|6.9|8.07|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|35100700000EB|8.07|10.75|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|35100700000EB|10.75|11.06|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|35100700000EB|11.06|11.761|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|3530088000000|7.12|7.47|THICKNESS_FLEXIBLE|1.5||
12/31/2021|54|52202500000NB|9.63|11.07|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|52202500000NB|9.2|9.63|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|52202500000NB|8.68|9.05|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|52202500000NB|8.1|8.64|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|52202500000NB|7.02|7.97|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|52202500000NB|5.54|6.88|THICKNESS_FLEXIBLE|1.0||
12/31/2021|54|04100790000NB|53.27|54.18|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|04100790000NB|49.73|50.35|THICKNESS_FLEXIBLE|9.0||
