BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Date|Value_Text
12/31/2021|54|40100640000EB|41.546|41.66|BASE_TYPE|3||
12/31/2021|54|40100640000EB|34.45|36.27|BASE_TYPE|5||
12/31/2021|54|40100640000EB|41.86|42.78|BASE_TYPE|3||
12/31/2021|54|40100640000EB|41.66|41.86|BASE_TYPE|3||
12/31/2021|54|40200350000NB|0.29|0.65|BASE_TYPE|5||
12/31/2021|54|40100640000EB|44.47|45.39|BASE_TYPE|3||
12/31/2021|54|40100640000EB|43.77|44.47|BASE_TYPE|3||
12/31/2021|54|40200350000NB|2.1|2.532|BASE_TYPE|5||
12/31/2021|54|40100640000EB|40.46|41.546|BASE_TYPE|5||
12/31/2021|54|40100640000EB|33.45|34.45|BASE_TYPE|5||
12/31/2021|54|40100640000EB|32.57|33.45|BASE_TYPE|5||
12/31/2021|54|40100640000EB|42.79|43.77|BASE_TYPE|3||
12/31/2021|54|40200350000NB|1.36|1.6|BASE_TYPE|5||
12/31/2021|54|0630010000000|15.69|15.82|BASE_TYPE|2||
12/31/2021|54|0630010000000|15.82|16.27|BASE_TYPE|2||
12/31/2021|54|0940003000000|4.14|5.77|BASE_TYPE|3||
12/31/2021|54|09200500000EB|0.0|3.98|BASE_TYPE|6||
12/31/2021|54|09200500000EB|3.98|5.61|BASE_TYPE|6||
12/31/2021|54|09200500000EB|5.63|6.54|BASE_TYPE|6||
12/31/2021|54|09200500000EB|8.26|8.8|BASE_TYPE|6||
12/31/2021|54|09200500000EB|8.8|9.75|BASE_TYPE|6||
12/31/2021|54|09200500000EB|9.75|11.01|BASE_TYPE|6||
12/31/2021|54|09200500000EB|11.43|12.1|BASE_TYPE|6||
12/31/2021|54|09200500000EB|12.1|12.96|BASE_TYPE|6||
12/31/2021|54|09200500000EB|17.75|18.87|BASE_TYPE|6||
12/31/2021|54|1740011000000|4.7|5.24|BASE_TYPE|2||
12/31/2021|54|1740019020000|0.23|0.65|BASE_TYPE|2||
12/31/2021|54|1740019570000|0.0|0.49|BASE_TYPE|2||
12/31/2021|54|1740020750000|0.46|0.93|BASE_TYPE|6||
12/31/2021|54|1740020750000|1.26|1.48|BASE_TYPE|2||
12/31/2021|54|1740023090000|6.77|7.36|BASE_TYPE|2||
12/31/2021|54|1740025060000|2.98|5.26|BASE_TYPE|1||
12/31/2021|54|1740031000000|0.5|1.45|BASE_TYPE|1||
12/31/2021|54|1740050340000|0.0|0.69|BASE_TYPE|2||
12/31/2021|54|1740050400000|0.0|0.67|BASE_TYPE|2||
12/31/2021|54|1740707000000|0.0|0.57|BASE_TYPE|1||
12/31/2021|54|17100790000NB|117.17|117.74|BASE_TYPE|2||
12/31/2021|54|17100790000NB|117.74|119.53|BASE_TYPE|2||
12/31/2021|54|17100790000NB|119.53|120.72|BASE_TYPE|2||
12/31/2021|54|17100790000NB|120.72|122.43|BASE_TYPE|2||
12/31/2021|54|17100790000NB|122.43|122.9|BASE_TYPE|2||
12/31/2021|54|17100790000NB|122.9|123.988|BASE_TYPE|2||
12/31/2021|54|17100790000NB|123.988|125.38|BASE_TYPE|2||
12/31/2021|54|17100790000NB|125.38|125.8|BASE_TYPE|2||
12/31/2021|54|17100790000NB|125.8|129.217|BASE_TYPE|2||
