Year_Record|State_Code|RouteID|BMP|EMP|Section_Length|Value_Numeric|Value_Text|Data_Item|Value_Date|Comments
2021|54|5475763001900|0.0|0.9|0.9|540576300000||sample||same as 2020
2021|54|5475762001900|1.16|1.47|0.31|540576200116||sample||same as 2020
2021|54|5475760001900|0.21|0.24|0.03|540576000021||sample||same as 2020
2021|54|5475760001900|0.0|0.21|0.21|540576000000||sample||same as 2020
2021|54|5475759001900|0.0|0.48|0.48|540575900000||sample||same as 2020
2021|54|5475757001900|0.33|0.47|0.14|540575700330||sample||same as 2020
2021|54|5475756001900|0.0|0.25|0.25|540575600000||sample||same as 2020
2021|54|5440050380000|0.0|2.13|2.13|540503800000||sample||same as 2020
2021|54|54200500000EB|8.94|10.02|1.08|540500000894||sample||same as 2020
2021|54|5440047040000|0.93|2.86|1.93|540470400930||sample||same as 2020
2021|54|5440047040000|0.23|0.93|0.7|540470400230||sample||same as 2020
2021|54|5440047040000|0.0|0.23|0.23|540470400000||sample||same as 2020
2021|54|5430047000000|0.45|0.56|0.11|540470000045||sample||same as 2020
2021|54|5440034000000|1.45|1.76|0.31|540340001450||sample||same as 2020
2021|54|5440034000000|0.0|0.76|0.76|540340000000||sample||same as 2020
2021|54|5440030000000|0.0|0.98|0.98|540300000000||sample||same as 2020
2021|54|5440021020000|0.5|1.98|1.48|540210200050||sample||same as 2020
2021|54|5440021010000|1.2|1.71|0.51|540210100120||sample||same as 2020
2021|54|5440016000000|0.9|1.12|0.22|540160000090||sample||same as 2020
2021|54|5440016000000|0.5|0.9|0.4|540160000050||sample||same as 2020
2021|54|5440016000000|0.0|0.5|0.5|540160000000||sample||same as 2020
2021|54|54300140005SB|0.0|0.16|0.16|54014S000000||sample||same as 2020
2021|54|5430014000100|1.72|1.98|0.26|54014A000172||sample||same as 2020
2021|54|5430014000100|0.92|1.31|0.39|54014A000092||sample||same as 2020
2021|54|5430014000100|0.0|0.63|0.63|54014A000000||sample||same as 2020
2021|54|5440014160000|2.89|3.83|0.94|540141600289||sample||same as 2020
2021|54|5440014160000|0.86|1.23|0.37|540141600086||sample||same as 2020
2021|54|5440014160000|0.18|0.86|0.68|540141600019||sample||same as 2020
2021|54|5440014140000|0.0|0.66|0.66|540141400000||sample||same as 2020
2021|54|5430014000000|20.12|20.56|0.44|540140002012||sample||same as 2020
2021|54|5430014000000|16.1|16.76|0.66|540140001610||sample||same as 2020
2021|54|5430014000000|15.32|15.45|0.13|540140001532||sample||same as 2020
2021|54|5430014000000|15.19|15.32|0.13|540140001519||sample||same as 2020
2021|54|5430014000000|13.22|13.39|0.17|540140001322||sample||same as 2020
2021|54|5430014000000|12.88|13.0|0.12|540140001288||sample||same as 2020
2021|54|5430014000000|12.71|12.88|0.17|540140001271||sample||same as 2020
2021|54|5430014000000|12.38|12.45|0.07|540140001238||sample||same as 2020
2021|54|5430014000000|11.28|11.76|0.48|540140001128||sample||same as 2020
2021|54|5440012000000|0.4|1.15|0.75|540120000040||sample||same as 2020
2021|54|5440012000000|0.0|0.33|0.33|540120000000||sample||same as 2020
2021|54|5440011000000|7.679|8.3|0.621|540110007679||sample||same as 2020
2021|54|54100770000NB|168.205|168.37|0.165|540077168205||sample||same as 2020
2021|54|5440004100000|0.0|0.4|0.4|540041000000||sample||same as 2020
2021|54|5440004000000|0.57|0.93|0.36|540040000059||sample||same as 2020
2021|54|5440001000000|6.67|7.17|0.5|540010000667||sample||same as 2020
2021|54|0274259001900|0.17|0.61|0.44|022590000017||sample||New 2021
2021|54|5330014000000|19.34|20.71|1.37|530140001934||sample||same as 2020
2021|54|3174770001900|0.4|0.44|0.04|317700000040||sample||New 2021
2021|54|52202500000NB|9.63|11.07|1.44|522500000963||sample||same as 2020
2021|54|52202500000NB|9.2|9.63|0.43|522500000920||sample||same as 2020
2021|54|52202500000NB|9.05|9.2|0.15|522500000905||sample||same as 2020
2021|54|52202500000NB|8.68|9.05|0.37|522500000868||sample||same as 2020
2021|54|52202500000NB|8.1|8.64|0.54|522500000810||sample||same as 2020
2021|54|52202500000NB|7.02|7.97|0.95|522500000702||sample||same as 2020
2021|54|52202500000NB|5.54|6.88|1.34|522500000554||sample||same as 2020
2021|54|52202500000NB|1.18|1.89|0.71|522500000118||sample||same as 2020
2021|54|5275515001900|0.0|0.22|0.22|520551500000||sample||same as 2020
2021|54|5275511001900|0.57|0.84|0.27|520551100057||sample||same as 2020
2021|54|5275511001900|0.0|0.12|0.12|520551100000||sample||same as 2020
2021|54|5275509001900|0.07|0.23|0.16|520550900070||sample||same as 2020
2021|54|5275503001900|0.0|0.45|0.45|520550300000||sample||same as 2020
2021|54|5275502001900|0.11|0.3|0.19|520550200110||sample||same as 2020
2021|54|5275501001900|0.93|1.07|0.14|520550100093||sample||same as 2020
2021|54|5275501001900|0.07|0.22|0.15|520550100007||sample||same as 2020
2021|54|5230020000000|19.48|20.04|0.56|520200001948||sample||same as 2020
2021|54|52300070007WB|0.23|0.33|0.1|52007W000023||sample||same as 2020
2021|54|52300070007WB|0.0|0.23|0.23|52007W000000||sample||same as 2020
2021|54|52300070006EB|0.1|0.27|0.17|52007E000010||sample||same as 2020
2021|54|52300070006EB|0.0|0.1|0.1|52007E000000||sample||same as 2020
2021|54|5230007000000|35.64|36.52|0.88|520070003564||sample||same as 2020
2021|54|5230007000000|2.0|2.55|0.55|520070000200||sample||same as 2020
2021|54|5230007000000|0.2|0.36|0.16|520070000020||sample||same as 2020
2021|54|5240003010000|0.0|0.009|0.009|520030100000||sample||same as 2020
2021|54|5240003000000|0.15|0.28|0.13|520030000015||sample||same as 2020
2021|54|5240002090000|0.0|0.19|0.19|520020900000||sample||same as 2020
2021|54|5230002000000|11.75|12.12|0.37|520020011750||sample||same as 2020
2021|54|5230002000000|8.6|9.24|0.64|520020000860||sample||same as 2020
2021|54|5230002000000|8.35|8.6|0.25|520020000835||sample||same as 2020
2021|54|5230002000000|7.29|7.84|0.55|520020000729||sample||same as 2020
2021|54|5230002000000|6.95|7.09|0.14|520020000695||sample||same as 2020
2021|54|5230002000000|6.08|6.5|0.42|520020000608||sample||same as 2020
2021|54|5230002000000|5.69|6.08|0.39|520020000569||sample||same as 2020
2021|54|5230002000000|5.29|5.69|0.4|520020000529||sample||same as 2020
2021|54|5230002000000|4.21|4.442|0.232|520020000421||sample||same as 2020
2021|54|5130015000000|6.3|8.48|2.18|510150000630||sample||same as 2020
2021|54|5140003000000|8.08|10.38|2.3|510030000801||sample||same as 2020
2021|54|5030152000000|43.98|44.59|0.61|501520004398||sample||same as 2020
2021|54|5030152000000|29.86|30.39|0.53|501520002986||sample||same as 2020
2021|54|50100640000EB|5.29|5.87|0.58|500640000529||sample||same as 2020
2021|54|50100640000EB|4.22|5.29|1.07|500640000422||sample||same as 2020
2021|54|50100640000EB|2.75|4.22|1.47|500640000275||sample||same as 2020
2021|54|50100640000EB|2.17|2.75|0.58|500640000217||sample||same as 2020
2021|54|50100640000EB|1.66|2.17|0.51|500640000166||sample||same as 2020
2021|54|50100640000EB|1.29|1.66|0.37|500640000129||sample||same as 2020
2021|54|50100640000EB|0.0|1.25|1.25|500640000000||sample||same as 2020
2021|54|5040060070000|0.87|1.44|0.57|500600700087||sample||same as 2020
2021|54|5040060070000|0.24|0.87|0.63|500600700024||sample||same as 2020
2021|54|5040060050000|0.0|0.18|0.18|500600500000||sample||same as 2020
2021|54|5040060040000|1.24|2.4|1.16|500600400124||sample||same as 2020
2021|54|5040060030000|1.37|1.47|0.1|500600300137||sample||same as 2020
2021|54|50200600000EB|4.04|4.39|0.35|500600000404||sample||same as 2020
2021|54|50200600000EB|3.79|4.04|0.25|500600000379||sample||same as 2020
2021|54|50200600000EB|1.13|1.83|0.7|500600000113||sample||same as 2020
2021|54|50200600000EB|0.49|0.72|0.23|500600000049||sample||same as 2020
2021|54|50200600000EB|0.0|0.24|0.24|500600000000||sample||same as 2020
2021|54|50200520000EB|29.12|31.4|2.28|500520002912||sample||same as 2020
2021|54|50200520000EB|5.8|6.51|0.71|500520000580||sample||same as 2020
2021|54|5073253001900|0.13|0.26|0.13|500325300130||sample||same as 2020
2021|54|5073253001900|0.0|0.13|0.13|500325300000||sample||same as 2020
2021|54|5040012000000|3.176|4.65|1.474|500120003176||sample||same as 2020
2021|54|5040009000000|0.65|1.92|1.27|500090000650||sample||same as 2020
2021|54|5040009000000|1.92|3.59|1.67|500090000192||sample||same as 2020
2021|54|5040008000000|0.0|0.45|0.45|500080000000||sample||same as 2020
2021|54|5040007000000|19.35|19.76|0.41|500070001935||sample||same as 2020
2021|54|5040007000000|17.84|18.87|1.03|500070001784||sample||same as 2020
2021|54|5040003020000|0.64|1.25|0.61|500030200064||sample||same as 2020
2021|54|5040003020000|0.0|0.64|0.64|500030200000||sample||same as 2020
2021|54|5040003010000|0.65|0.68|0.03|500030100065||sample||same as 2020
2021|54|5040003010000|0.09|0.65|0.56|500030100009||sample||same as 2020
2021|54|5040003000000|3.94|4.06|0.12|500030000394||sample||same as 2020
2021|54|5040003000000|3.75|3.85|0.1|500030000375||sample||same as 2020
2021|54|5040001000000|2.16|2.29|0.13|500010000216||sample||same as 2020
2021|54|1930009000000|0.0|1.45|1.45|190090000000||sample||New 2021
2021|54|4940151000000|1.13|1.6|0.47|491510000113||sample||same as 2020
2021|54|4940151000000|0.34|0.64|0.3|491510000034||sample||same as 2020
2021|54|4940151000000|0.0|0.24|0.24|491510000000||sample||same as 2020
2021|54|49201190000NB|5.38|5.6|0.22|491190000538||sample||same as 2020
2021|54|49200330000EB|8.31|10.87|2.56|490330000831||sample||same as 2020
2021|54|49200330000EB|5.37|7.192|1.822|490330000537||sample||same as 2020
2021|54|49200330000EB|4.0|4.35|0.35|490330000400||sample||same as 2020
2021|54|49200330000EB|2.51|4.0|1.49|490330000251||sample||same as 2020
2021|54|49200330000EB|1.22|2.51|1.29|490330000122||sample||same as 2020
2021|54|49200330000EB|0.0|0.64|0.64|490330000000||sample||same as 2020
2021|54|4940020310000|0.0|0.22|0.22|490203100000||sample||same as 2020
2021|54|4930020000000|22.87|23.54|0.67|490200002287||sample||same as 2020
2021|54|4940016000000|9.05|9.51|0.46|490160000904||sample||same as 2020
2021|54|4940016000000|8.09|8.32|0.23|490160000809||sample||same as 2020
2021|54|4940013000000|0.0|0.86|0.86|490130000000||sample||same as 2020
2021|54|4940012010000|0.0|0.02|0.02|490120100000||sample||same as 2020
2021|54|4940012000000|1.53|2.57|1.04|490120001530||sample||same as 2020
2021|54|4940012000000|0.85|1.53|0.68|490120000850||sample||same as 2020
2021|54|4940012000000|5.08|5.29|0.21|490120000508||sample||same as 2020
2021|54|4940012000000|2.57|4.26|1.69|490120000257||sample||same as 2020
2021|54|4940009010000|0.0|0.97|0.97|490090100000||sample||same as 2020
2021|54|4970764001900|0.0|0.39|0.39|490076400000||sample||same as 2020
2021|54|4970755001900|0.64|1.05|0.41|490075500064||sample||same as 2020
2021|54|4970755001900|0.1|0.64|0.54|490075500010||sample||same as 2020
2021|54|4970753001900|0.26|0.44|0.18|490075300026||sample||same as 2020
2021|54|4940007000000|0.22|0.423|0.203|490070000022||sample||same as 2020
2021|54|4940005090000|0.0|0.28|0.28|490050900000||sample||same as 2020
2021|54|4940001000000|2.28|3.17|0.89|490010000228||sample||same as 2020
2021|54|4840007020000|0.0|1.01|1.01|480070200000||sample||same as 2020
2021|54|4830002000000|12.02|13.02|1.0|480020001202||sample||same as 2020
2021|54|4830002000000|10.25|12.02|1.77|480020001025||sample||same as 2020
2021|54|4830002000000|9.93|10.25|0.32|480020000993||sample||same as 2020
2021|54|4830002000000|4.9|6.65|1.75|480020000490||sample||same as 2020
2021|54|4830002000000|2.84|4.64|1.8|480020000284||sample||same as 2020
2021|54|4830002000000|2.27|2.84|0.57|480020000227||sample||same as 2020
2021|54|4830002000000|0.0|2.27|2.27|480020000000||sample||same as 2020
2021|54|47202190000NB|26.1|27.76|1.66|472190002610||sample||same as 2020
2021|54|47202190000NB|25.83|26.1|0.27|472190002583||sample||same as 2020
2021|54|47202190000NB|22.16|25.83|3.67|472190002216||sample||same as 2020
2021|54|47202190000NB|17.49|18.0|0.51|472190001749||sample||same as 2020
2021|54|47202190000NB|13.1|17.49|4.39|472190001310||sample||same as 2020
2021|54|47202190000NB|5.57|7.37|1.8|472190000557||sample||same as 2020
2021|54|4730093000000|2.34|7.42|5.08|470930000234||sample||same as 2020
2021|54|4730093000000|0.15|0.91|0.76|470930000015||sample||same as 2020
2021|54|4730093000000|0.0|0.15|0.15|470930000000||sample||same as 2020
2021|54|47300320005SB|0.04|0.19|0.15|47032S000004||sample||same as 2020
2021|54|4730032000000|16.09|16.45|0.36|470320001609||sample||same as 2020
2021|54|4730032000000|14.79|16.09|1.3|470320001479||sample||same as 2020
2021|54|4730032000000|3.26|4.88|1.62|470320000326||sample||same as 2020
2021|54|4730032000000|0.0|3.26|3.26|470320000000||sample||same as 2020
2021|54|4630310000000|0.0|0.2|0.2|463100000000||sample||same as 2020
