RouteID,BMP,EMP,49_ROUTE_STATUS
"2740039020000",0.000000,3.380000,5
"1701900000000",0.000000,0.042000,5
"3900566000000",0.000000,0.016000,5
"1840011050000",0.000000,0.770000,5
"2001788000000",0.000000,0.128000,5
"1500083000000",0.000000,0.093000,5
"0400122000000",0.000000,0.052000,5
"2601089000000",0.000000,0.137000,5
"1500166000000",0.000000,0.118000,5
"1480922000000",0.000000,0.120000,5
"2500465000000",0.000000,0.115000,5
"2840009050000",0.000000,1.340000,5
"2005237000000",0.000000,0.429000,5
"38U1605000000",0.000000,0.544000,5
"1140007080000",0.000000,1.550000,5
"1700638002500",0.000000,0.002000,5
"1740006030000",0.000000,0.970000,5
"3900634000000",0.000000,0.067000,5
"5200948000000",0.000000,0.116000,5
"3440020430000",0.000000,0.130000,5
"3900135000000",0.000000,1.040000,5
"4140099080000",0.000000,0.130000,5
"4300364000000",0.000000,1.493000,5
"2930042000000",3.380000,10.860000,5
"2801623000000",0.000000,0.083000,5
"2801807000000",0.000000,0.848000,5
"4202795000000",0.000000,0.098000,5
"0640164030000",0.000000,0.080000,5
"0605251000000",0.000000,0.164000,5
"2900886000000",0.000000,0.254000,5
"2400546000000",0.000000,0.078000,5
"2840012030000",0.000000,1.400000,5
"1340060900000",0.000000,0.530000,5
"1700128000000",0.000000,0.369000,5
"0201417000000",0.000000,0.287000,5
"0201179000000",0.000000,0.020000,5
"2400883000000",0.000000,0.053000,5
"5230020000000",0.000000,29.920000,5
"1040002090000",0.000000,0.500000,5
"2800428000000",0.000000,0.048000,5
"4000179000000",0.000000,0.128000,5
"3840250162500",0.000000,0.002000,5
"2440002060000",0.000000,0.080000,5
"1001326000000",0.000000,0.239000,5
"3900940000000",0.000000,0.038000,5
"0240045170000",0.000000,0.070000,5
"3140070000000",0.000000,3.120000,5
"2340701420000",0.000000,0.040000,5
"2006067000000",0.000000,0.237000,5
"5300226000000",0.000000,0.145000,5
"2901140000000",0.000000,0.100000,5
"5000304000000",0.000000,0.035000,5
"4102286000000",0.000000,0.041000,5
"2801133000000",0.000000,0.156000,5
"1740011160000",0.000000,0.150000,5
"0200140000000",0.000000,0.110000,5
"1040023220000",0.000000,0.300000,5
"2003088000000",0.000000,0.074000,5
"1100040000000",0.000000,0.217000,5
"4100593002500",0.000000,0.001000,5
"3300709000000",0.000000,0.238000,5
"1700421002500",0.000000,0.004000,5
"1340060300000",0.000000,0.910000,5
"3980969000000",0.000000,0.270000,5
"0440019330000",0.000000,0.840000,5
"5401532000000",0.000000,0.112000,5
"0900088000000",0.000000,0.123000,5
"2001806000000",0.000000,0.157000,5
"2003180000000",0.000000,0.197000,5
"2900884000000",0.000000,0.064000,5
"1001070000000",0.000000,0.067000,5
"0600716000000",0.000000,0.107000,5
"0640002090000",0.000000,0.050000,5
"3000361000000",0.000000,0.043000,5
"0202674000000",0.000000,0.052000,5
"2740035120000",0.000000,0.090000,5
"5200537000000",0.000000,0.091000,5
"4500460000000",0.000000,0.442000,5
"3380921000000",0.000000,0.270000,5
"1040008010000",0.000000,4.280000,5
"1300832000000",0.000000,0.119000,5
"4001103000000",0.000000,0.036000,5
"2300624000000",0.000000,0.059000,5
"3240003030000",0.000000,2.570000,5
"1401409000000",0.000000,1.428000,5
"2601125000000",0.000000,0.113000,5
"3700199000000",0.000000,0.570000,5
"0274259002500",0.000000,0.003000,5
"1000102000000",0.000000,0.258000,5
"2340012010000",0.000000,2.990000,5
"4700311000000",0.000000,0.116000,5
"1840021260000",0.000000,2.590000,5
"4201205000000",0.000000,0.283000,5
"4001604000000",0.000000,0.123000,5
"4000747000000",0.000000,0.254000,5
"3000182000000",0.000000,0.053000,5
"1040009030000",0.000000,0.730000,5
"5440004080000",0.000000,0.810000,5
"3500496002500",0.000000,0.006000,5
"4000348000000",0.000000,0.046000,5
"1000807000000",0.000000,0.257000,5
"5000742000000",0.000000,0.101000,5
"4000820000000",0.000000,0.116000,5
"3101281000000",0.000000,0.140000,5
"5000769000000",0.000000,0.088000,5
"0240019100000",0.000000,0.530000,5
"2200671000000",0.000000,0.750000,5
"13100640017WB0150D",0.000000,0.388000,5
"1701496000000",0.000000,0.188000,5
"2440152070000",0.000000,0.140000,5
"2000325000000",0.000000,0.060000,5
"0900047000000",0.000000,0.173000,5
"2340009220000",0.000000,0.090000,5
"3100077000000",0.000000,0.259000,5
"0400116000000",0.000000,0.185000,5
"4000569000000",0.000000,0.220000,5
"2140033022500",0.000000,0.002000,5
"3500605000000",0.000000,0.075000,5
"0601547000000",0.000000,0.355000,5
"0900238000000",0.000000,0.104000,5
"2001289000000",0.000000,0.249000,5
"2001656000000",0.000000,0.290000,5
"4201303000000",0.000000,0.429000,5
"4180902820000",0.000000,0.160000,5
"1340021000000",0.000000,7.290000,5
"3100740000000",0.000000,0.049000,5
"2800592000000",0.000000,0.036000,5
"2005586000000",0.000000,0.025000,5
"1701341000000",0.000000,0.047000,5
"0601570000000",0.000000,0.437000,5
"2601054000000",0.000000,0.152000,5
"5401116000000",0.000000,0.536000,5
"3400226000000",0.000000,0.094000,5
"2003702002500",0.000000,0.001000,5
"0202026000000",0.000000,0.138000,5
"1601269000000",0.000000,0.015000,5
"3500208002500",0.000000,0.005000,5
"4640050040000",0.000000,1.290000,5
"0340119720000",0.000000,0.300000,5
"2003016000000",0.000000,0.196000,5
"5400376000000",0.000000,0.298000,5
"1401534000000",0.000000,0.713000,5
"4001194000000",0.000000,0.250000,5
"0201630000000",0.000000,0.194000,5
"3901138000000",0.000000,0.240000,5
"3900711000000",0.000000,0.041000,5
"4940006050000",0.000000,1.030000,5
"4660807000000",0.000000,0.640000,5
"4740029010000",0.000000,2.460000,5
"2005987000000",0.000000,0.158000,5
"0380951000000",0.000000,0.110000,5
"3800402000000",0.000000,1.085000,5
"2040061790000",0.000000,0.750000,5
"1001134000000",0.000000,0.463000,5
"2200698000000",0.000000,0.083000,5
"0300468000000",0.000000,0.071000,5
"4340009040000",0.000000,0.800000,5
"1340021100000",0.000000,0.380000,5
"2900272000000",0.000000,0.156000,5
"2901321000000",0.000000,0.142000,5
"0580932000000",0.000000,0.060000,5
"4440013200000",0.000000,4.010000,5
"0200732000000",0.000000,0.124000,5
"0940005040000",0.000000,0.400000,5
"0202028000000",0.000000,0.114000,5
"0640064820000",0.000000,0.220000,5
"2005803000000",0.000000,0.125000,5
"4640005070000",0.000000,1.060000,5
"2005445000000",0.000000,0.089000,5
"2500212000000",0.000000,0.139000,5
"2500096000000",0.000000,0.315000,5
"2001229002500",0.000000,0.002000,5
"5580901060000",0.000000,0.030000,5
"3401429000000",0.000000,0.050000,5
"0100356000000",0.000000,0.805000,5
"2801347000000",0.000000,0.047000,5
"2340017200000",0.000000,0.350000,5
"0440019700000",0.000000,0.600000,5
"1200120000000",0.000000,0.070000,5
"3400156000000",0.000000,0.135000,5
"1440050030000",0.000000,1.920000,5
"2100238000000",0.000000,0.235000,5
"2501205000000",0.000000,0.297000,5
"5401536000000",0.000000,0.206000,5
"3440039340000",0.000000,0.510000,5
"3400244000000",0.000000,0.113000,5
"3900920000000",0.000000,0.044000,5
"3300821000000",0.000000,0.471000,5
"2140119230000",0.000000,0.430000,5
"0601137000000",0.000000,0.262000,5
"2140033012500",0.000000,0.016000,5
"2840037050000",0.000000,0.080000,5
"0900049000000",0.000000,0.179000,5
"4100519000000",0.000000,0.265000,5
"3840250080000",0.000000,1.790000,5
"4201319000000",0.000000,0.248000,5
"2005486000000",0.000000,0.027000,5
"2901361000000",0.000000,0.072000,5
"2540015030000",0.000000,0.500000,5
"0930018000300",0.000000,0.120000,5
"1901718002500",0.000000,0.008000,5
"3440019680000",0.000000,0.540000,5
"2200142000000",0.000000,0.168000,5
"2140010010000",0.000000,1.410000,5
"0240028000000",0.000000,4.920000,5
"0440015040000",0.000000,1.700000,5
"1900098000000",0.000000,0.071000,5
"1301439000000",0.000000,0.153000,5
"1701590000000",0.000000,0.068000,5
"3940033070000",0.000000,0.790000,5
"54100770026000172",0.000000,0.012000,5
"0600008000000",0.000000,0.168000,5
"1400147000000",0.000000,0.092000,5
"2900927000000",0.000000,0.054000,5
"3300251000000",0.000000,1.218000,5
"3174790002500",0.000000,0.007000,5
"5540010710000",0.000000,0.500000,5
"3401083000000",0.000000,0.143000,5
"2540026010000",0.000000,0.900000,5
"0400225000000",0.000000,0.159000,5
"5500327000000",0.000000,0.027000,5
"4940011020000",0.000000,3.220000,5
"3101564000000",0.000000,0.158000,5
"46202500025NB0001",0.000000,0.002000,5
"2240003490000",0.000000,0.200000,5
"5000356000000",0.000000,1.236000,5
"0800083000000",0.000000,0.219000,5
"1200425000000",0.000000,0.182000,5
"2000936000000",0.000000,0.068000,5
"2601085000000",0.000000,0.154000,5
"3500905002500",0.000000,0.002000,5
"4600094000000",0.000000,0.065000,5
"1200929000000",0.000000,0.095000,5
"2001250000000",0.000000,0.049000,5
"2002624000000",0.000000,0.214000,5
"4200470000000",0.000000,0.232000,5
"2900302000000",0.000000,0.086000,5
"0600086000000",0.000000,0.389000,5
"5480901390000",0.000000,0.140000,5
"0602004000000",0.000000,0.043000,5
"0601198000000",0.000000,0.438000,5
"2340700840000",0.000000,0.070000,5
"5000341000000",0.000000,0.374000,5
"2540019022500",0.000000,0.001000,5
"2040064070000",0.000000,0.010000,5
"2500178000000",0.000000,0.035000,5
"4700357000000",0.000000,0.066000,5
"4140017170000",0.000000,0.120000,5
"5500368000000",0.000000,0.037000,5
"2300549000000",0.000000,1.015000,5
"1980901240000",0.000000,0.590000,5
"1740024702500",0.000000,0.010000,5
"2300044000000",0.000000,0.092000,5
"4200300000000",0.000000,0.163000,5
"2340110540000",0.000000,0.020000,5
"1500206000000",0.000000,0.079000,5
"1800574000000",0.000000,0.056000,5
"5100020000000",0.000000,0.172000,5
"1980902690000",0.000000,0.240000,5
"40200600000EB",0.000000,9.010000,5
"1700546000000",0.000000,0.048000,5
"2540031180000",0.400000,0.870000,5
"2000150000000",0.000000,0.208000,5
"1740007100000",0.000000,0.600000,5
"5500218000000",0.000000,0.209000,5
"2003721000000",0.000000,0.173000,5
"4201291000000",0.000000,0.088000,5
"27300020000SB",19.910000,21.000000,5
"1701762000000",0.000000,0.058000,5
"5300008000000",0.000000,0.218000,5
"2800610000000",0.000000,0.212000,5
"4900659000000",0.000000,0.192000,5
"3301276000000",0.000000,0.053000,5
"4440060000000",0.000000,3.540000,5
"1200489000000",0.000000,0.043000,5
"3500128000000",0.000000,0.937000,5
"5040007030000",0.000000,0.760000,5
"1640055040000",0.000000,0.160000,5
"3600839000000",0.000000,1.256000,5
"1300316000000",0.000000,0.065000,5
"2001478000000",0.000000,0.050000,5
"4201573000000",0.000000,0.137000,5
"3501183000000",0.000000,0.220000,5
"4900027000000",0.000000,0.280000,5
"5140018030000",0.000000,7.360000,5
"2002859000000",0.000000,0.420000,5
"3001157000000",0.000000,0.036000,5
"0200275000000",0.000000,0.039000,5
"1401272000000",0.000000,0.161000,5
"2900097000000",0.000000,0.361000,5
"2000360000000",0.000000,0.183000,5
"1201034000000",0.000000,0.113000,5
"1000254000000",0.000000,0.045000,5
"0202092000000",0.000000,0.134000,5
"1840068050000",0.000000,0.020000,5
"3900770000000",0.000000,0.126000,5
"2340119740000",0.000000,0.080000,5
"0202073000000",0.000000,0.503000,5
"2900537000000",0.000000,3.090000,5
"3101010000000",0.000000,0.068000,5
"0601796000000",0.000000,0.629000,5
"0400484000000",0.000000,0.157000,5
"1600190000000",0.000000,0.092000,5
"0580922000000",0.000000,0.300000,5
"3101916000000",0.000000,0.221000,5
"4140054080000",0.000000,0.070000,5
"2740082020000",0.000000,0.750000,5
"2000549000000",0.000000,0.102000,5
"1000926000000",0.000000,0.092000,5
"2900599000000",0.000000,0.086000,5
"0300700000000",0.000000,0.201000,5
"2005841000000",0.000000,0.246000,5
"0200250000000",0.000000,0.041000,5
"1401367000000",0.000000,0.140000,5
"3440013050000",0.000000,2.150000,5
"3401216000000",0.000000,0.107000,5
"0500195000000",0.000000,0.254000,5
"3940052110000",0.000000,0.240000,5
"3800262000000",0.000000,0.070000,5
"2840052242500",0.000000,0.002000,5
"1900962000000",0.000000,0.373000,5
"4000764000000",0.000000,0.038000,5
"0400391000000",0.000000,0.294000,5
"2801151000000",0.000000,0.164000,5
"3001320000000",0.000000,0.042000,5
"4740072260000",0.000000,0.310000,5
"1900752000000",0.000000,0.279000,5
"3900540000000",0.000000,0.277000,5
"1201097000000",0.000000,0.231000,5
"2540014020000",0.000000,0.700000,5
"4700267000000",0.000000,0.192000,5
