BeginDate|StateID|CountyCode|FSystem|UrbanID|Ownership|SystemLength
12/31/2021|54|51|6|99999|1|43.316
12/31/2021|54|51|7|94726|1|14.833
12/31/2021|54|51|7|94726|4|67.822
12/31/2021|54|51|7|99999|1|301.897
12/31/2021|54|51|7|99999|4|1.553
12/31/2021|54|51|7|99999|11|0.39
12/31/2021|54|53|6|99999|1|70.337
12/31/2021|54|53|7|99998|1|13.932
12/31/2021|54|53|7|99998|4|40.966
12/31/2021|54|53|7|99999|1|468.483
12/31/2021|54|53|7|99999|4|0.461
12/31/2021|54|53|7|99999|11|4.86
12/31/2021|54|55|6|99999|1|53.667
12/31/2021|54|55|7|99998|1|111.962
12/31/2021|54|55|7|99998|4|109.337
12/31/2021|54|55|7|99999|1|528.853
12/31/2021|54|55|7|99999|4|1.379
12/31/2021|54|55|7|99999|11|9.273
12/31/2021|54|57|6|99999|1|25.831
12/31/2021|54|57|7|21745|1|7.163
12/31/2021|54|57|7|21745|4|7.89
12/31/2021|54|57|7|99998|1|3.877
12/31/2021|54|57|7|99998|4|30.769
12/31/2021|54|57|7|99999|1|211.87
12/31/2021|54|57|7|99999|4|1.3
12/31/2021|54|57|7|99999|73|18.65
12/31/2021|54|59|6|99999|1|18.33
12/31/2021|54|59|7|99999|1|237.135
12/31/2021|54|59|7|99999|4|37.894
12/31/2021|54|59|7|99999|11|0.18
12/31/2021|54|61|6|99999|1|39.049
12/31/2021|54|61|7|59275|1|109.241
12/31/2021|54|61|7|59275|4|115.4
12/31/2021|54|61|7|99999|1|409.377
12/31/2021|54|61|7|99999|4|0.596
12/31/2021|54|61|7|99999|11|3.98
12/31/2021|54|63|6|99999|1|72.77
12/31/2021|54|63|7|99999|1|400.919
12/31/2021|54|63|7|99999|4|5.043
12/31/2021|54|63|7|99999|11|1.74
12/31/2021|54|63|7|99999|64|3.348
12/31/2021|54|65|6|99999|1|31.27
12/31/2021|54|65|7|99999|1|261.68
12/31/2021|54|65|7|99999|4|7.032
12/31/2021|54|65|7|99999|11|9.7
12/31/2021|54|67|6|99999|1|47.022
12/31/2021|54|67|7|99999|1|412.658
12/31/2021|54|67|7|99999|4|36.037
12/31/2021|54|67|7|99999|64|9.858
12/31/2021|54|67|7|99999|70|11.375
12/31/2021|54|69|6|99999|1|10.04
12/31/2021|54|69|7|94726|1|33.568
12/31/2021|54|69|7|94726|4|146.348
12/31/2021|54|69|7|99999|1|78.4
12/31/2021|54|69|7|99999|4|1.6
12/31/2021|54|69|7|99999|11|0.24
12/31/2021|54|71|6|99999|1|51.74
12/31/2021|54|71|7|99999|1|335.963
12/31/2021|54|71|7|99999|4|3.29
12/31/2021|54|71|7|99999|64|43.289
12/31/2021|54|71|7|99999|73|5.14
12/31/2021|54|73|6|99999|1|22.27
12/31/2021|54|73|7|99998|4|9.85
12/31/2021|54|73|7|99999|1|163.28
12/31/2021|54|73|7|99999|4|2.592
12/31/2021|54|73|7|99999|63|1.648
12/31/2021|54|75|6|99999|1|28.17
12/31/2021|54|75|7|99999|1|374.147
12/31/2021|54|75|7|99999|4|1.078
12/31/2021|54|75|7|99999|11|10.173
12/31/2021|54|75|7|99999|64|170.511
12/31/2021|54|77|6|99999|1|74.711
12/31/2021|54|77|7|99998|1|0.449
12/31/2021|54|77|7|99999|1|815.626
12/31/2021|54|77|7|99999|4|39.341
12/31/2021|54|77|7|99999|11|0.28
12/31/2021|54|77|7|99999|74|8
12/31/2021|54|79|6|99999|1|34.6
12/31/2021|54|79|7|15481|1|26.395
12/31/2021|54|79|7|15481|4|21.221
12/31/2021|54|79|7|40753|1|38.327
12/31/2021|54|79|7|40753|4|26.207
12/31/2021|54|79|7|99999|1|368.981
12/31/2021|54|79|7|99999|4|3.19
12/31/2021|54|81|6|99999|1|20.867
12/31/2021|54|81|7|6139|1|212.936
12/31/2021|54|81|7|6139|4|85.57
12/31/2021|54|81|7|6139|11|0.229
12/31/2021|54|81|7|99999|1|413.103
12/31/2021|54|81|7|99999|11|2.271
12/31/2021|54|81|7|99999|66|19.4
12/31/2021|54|83|6|99999|1|64.475
12/31/2021|54|83|7|99998|1|25.466
12/31/2021|54|83|7|99998|4|28.814
12/31/2021|54|83|7|99999|1|543.734
12/31/2021|54|83|7|99999|4|1.224
12/31/2021|54|83|7|99999|64|223.985
12/31/2021|54|85|6|99999|1|34.92
12/31/2021|54|85|7|99999|1|522.91
12/31/2021|54|85|7|99999|4|17.51
12/31/2021|54|85|7|99999|11|5.81
12/31/2021|54|87|6|99999|1|63.54
12/31/2021|54|87|7|99999|1|555.767
12/31/2021|54|87|7|99999|4|10.919
12/31/2021|54|87|7|99999|11|1.33
12/31/2021|54|89|6|99999|1|50.402
12/31/2021|54|89|6|99999|11|1.48
12/31/2021|54|89|7|99999|1|395.472
12/31/2021|54|89|7|99999|4|17.28
12/31/2021|54|89|7|99999|11|25.85
12/31/2021|54|89|7|99999|70|11.375
12/31/2021|54|91|6|99999|1|20.372
12/31/2021|54|91|7|99998|1|25.605
12/31/2021|54|91|7|99998|4|16.56
12/31/2021|54|91|7|99999|1|249.614
12/31/2021|54|91|7|99999|11|3.07
12/31/2021|54|91|7|99999|70|11.375
12/31/2021|54|93|6|99999|1|33.11
12/31/2021|54|93|7|99999|1|265.827
12/31/2021|54|93|7|99999|4|21.477
12/31/2021|54|93|7|99999|11|8.89
12/31/2021|54|93|7|99999|63|6.513
12/31/2021|54|93|7|99999|64|72.373
12/31/2021|54|95|6|99999|1|39.08
12/31/2021|54|95|7|99999|1|267.63
12/31/2021|54|95|7|99999|4|27.37
12/31/2021|54|97|6|99999|1|53.079
12/31/2021|54|97|7|99998|1|18.741
12/31/2021|54|97|7|99998|4|33.67
12/31/2021|54|97|7|99999|1|515.655
12/31/2021|54|99|6|99999|1|55.036
12/31/2021|54|99|7|40753|1|72.435
12/31/2021|54|99|7|40753|4|16.703
12/31/2021|54|99|7|99999|1|488.502
12/31/2021|54|99|7|99999|4|9.183
12/31/2021|54|99|7|99999|11|5.915
12/31/2021|54|99|7|99999|70|22.75
12/31/2021|54|101|6|99999|1|38.12
12/31/2021|54|101|7|99999|1|304.803
12/31/2021|54|101|7|99999|4|12.056
12/31/2021|54|101|7|99999|11|15.45
12/31/2021|54|101|7|99999|64|40.553
12/31/2021|54|103|6|99999|1|37.391
12/31/2021|54|103|7|99998|1|6.358
12/31/2021|54|103|7|99998|4|24.27
12/31/2021|54|103|7|99999|1|333.182
12/31/2021|54|103|7|99999|4|5.03
12/31/2021|54|105|6|99999|1|23.77
12/31/2021|54|105|7|99999|1|275.15
12/31/2021|54|105|7|99999|4|0.35
12/31/2021|54|107|6|99999|1|44.337
12/31/2021|54|107|7|67672|1|129.174
12/31/2021|54|107|7|67672|4|179.634
12/31/2021|54|107|7|99998|1|13.298
12/31/2021|54|107|7|99998|4|15.32
12/31/2021|54|107|7|99999|1|391.743
12/31/2021|54|107|7|99999|63|0.086
12/31/2021|54|109|6|99999|1|34.49
12/31/2021|54|109|7|99999|1|285.378
12/31/2021|54|109|7|99999|4|21.431
12/31/2021|54|109|7|99999|11|8.71
12/31/2021|54|109|7|99999|70|11.375
