tmc|BeginDate|StateID|Travel_Time_Code|F_System|UrbanID|Facility_Type|NHS|Segment_Length|Directionality|DIR_AADT|LOTTR_AMP|TT_AMP50PCT|TT_AMP80PCT|LOTTR_MIDD|TT_MIDD50PCT|TT_MIDD80PCT|LOTTR_PMP|TT_PMP50PCT|TT_PMP80PCT|LOTTR_WE|TT_WE50PCT|TT_WE80PCT|TTTR_AMP|TTT_AMP50PCT|TTT_AMP95PCT|TTTR_MIDD|TTT_MIDD50PCT|TTT_MIDD95PCT|TTTR_PMP|TTT_PMP50PCT|TTT_PMP95PCT|TTTR_OVN|TTT_OVN50PCT|TTT_OVN95PCT|TTTR_WE|TTT_WE50PCT|TTT_WE95PCT|PHED|OCC_FAC|METRIC_SOURCE|Comments
122N18554|12/31/2021|54|122N18554|3|99999|2|1|0.046|1|1000|1.32|0|0|1.4|0|0|1.33|0|0|1.55|0|0|1.67|0|0|2.07|0|0|2.28|0|0|1.64|0|0|2.27|0|0|0|1.7|1|0
122+04829|12/31/2021|54|122+04829|1|99999|2|1|0.171|1|20100|1.05|0|0|1.05|0|0|1.05|0|0|1.06|0|0|1.1|0|0|1.14|0|0|1.19|0|0|1.3|0|0|1.19|0|0|0|1.7|1|0
122+04831|12/31/2021|54|122+04831|1|99999|2|1|1.28|1|12950|1.05|1|1|1.03|1|1|1.04|1|1|1.05|1|1|1.08|1|1|1.07|1|1|1.09|1|1|1.15|1|2|1.1|1|1|0|1.7|1|0
122+04832|12/31/2021|54|122+04832|1|99999|2|1|1.525|1|12485|1.08|2|2|1.06|2|2|1.07|2|2|1.09|1|2|1.13|2|2|1.11|2|2|1.13|2|2|1.22|2|2|1.17|2|2|0|1.7|1|0
122N06577|12/31/2021|54|122N06577|3|99999|2|1|0.084|1|3100|1.12|0|0|1.12|0|0|1.12|0|0|1.12|0|0|1.25|0|0|1.25|0|0|1.25|0|0|1.38|0|0|1.38|0|0|0|1.7|1|0
122+04833|12/31/2021|54|122+04833|1|99998|2|1|4.092|1|15600|1.03|4|4|1.02|4|4|1.03|4|4|1.03|4|4|1.07|4|4|1.07|4|4|1.07|4|4|1.12|4|4|1.08|4|4|0|1.7|1|0
122+04834|12/31/2021|54|122+04834|1|99999|2|1|5.657|1|20274|1.07|5|5|1.09|5|5|1.07|5|5|1.06|5|5|1.14|5|6|1.98|5|10|2.24|5|11|1.11|5|6|1.14|5|6|0|1.7|1|0
122+04835|12/31/2021|54|122+04835|1|99999|2|1|8.547|1|15546|1.05|9|9|1.05|8|9|1.05|9|9|1.08|8|9|1.09|10|10|1.08|9|10|1.09|10|10|1.16|10|11|1.12|10|11|0|1.7|1|0
122+04836|12/31/2021|54|122+04836|1|6139|2|1|0.819|1|14300|1.07|1|1|1.06|1|1|1.08|1|1|1.08|1|1|1.16|1|1|1.25|1|1|1.21|1|1|1.39|1|2|1.44|1|2|0|1.7|1|0
122+04837|12/31/2021|54|122+04837|1|6139|2|1|9.039|1|14300|1.03|8|9|1.03|8|9|1.03|8|9|1.04|8|8|1.08|9|10|1.06|9|9|1.08|9|10|1.21|9|11|1.11|9|10|0|1.7|1|0
122N06579|12/31/2021|54|122N06579|3|99998|2|1|0.163|1|3750|1.07|0|0|1.07|0|0|1.07|0|0|1.07|0|0|1.2|0|0|1.2|0|0|1.2|0|0|1.2|0|0|1.2|0|0|0|1.7|1|0
122N18552|12/31/2021|54|122N18552|3|6139|2|1|0.082|1|9050|1.1|0|0|1.2|0|0|1.1|0|0|1.1|0|0|1.4|0|0|1.5|0|0|1.4|0|0|1.4|0|0|1.3|0|0|0|1.7|1|0
122+04830|12/31/2021|54|122+04830|1|99999|2|1|3.835|1|15950|1.03|3|4|1.03|3|3|1.03|3|4|1.03|3|3|1.08|4|4|1.06|4|4|1.07|4|4|1.12|4|4|1.08|4|4|0|1.7|1|0
122+07094|12/31/2021|54|122+07094|3|36190|2|1|2.403|1|8562|1.29|7|8|1.32|8|11|1.43|9|12|1.36|7|10|1.89|6|12|2.22|8|18|2.24|8|19|2.22|6|13|2.26|7|16|0|1.7|1|0
122N18545|12/31/2021|54|122N18545|3|6139|2|1|0.251|1|2750|1.25|0|0|1.3|0|0|1.29|0|0|1.31|0|0|1.85|0|1|2.78|0|1|1.73|0|1|1.39|0|0|3.12|0|1|0|1.7|1|0
122+07092|12/31/2021|54|122+07092|3|99998|2|1|0.536|1|11450|1.09|1|1|1.07|1|1|1.07|1|1|1.09|1|1|1.21|1|1|1.21|1|1|1.25|1|1|1.24|1|1|1.27|1|1|0|1.7|1|0
122+07093|12/31/2021|54|122+07093|3|99999|2|1|1.586|1|10950|1.04|1|1|1.03|1|1|1.03|1|1|1.04|1|1|1.16|1|2|1.13|1|2|1.11|1|2|1.15|1|2|1.12|1|2|0|1.7|1|0
122N18544|12/31/2021|54|122N18544|3|99999|2|1|0.019|1|800|1.0|0|0|1.0|0|0|1.5|0|0|1.5|0|0|1.33|0|0|1.33|0|0|2.0|0|0|1.33|0|0|1.5|0|0|0|1.7|1|0
122+07099|12/31/2021|54|122+07099|3|99999|2|1|11.265|1|1850|1.14|16|18|1.14|15|18|1.17|15|18|1.15|15|18|2.01|16|31|1.56|15|24|1.67|15|25|1.53|16|24|1.5|15|23|0|1.7|1|0
122+07096|12/31/2021|54|122+07096|3|36190|2|1|1.101|1|14300|1.32|2|3|1.26|3|4|1.28|3|4|1.31|2|3|2.01|2|4|1.79|3|5|1.76|3|5|2.58|2|6|1.88|2|5|0|1.7|1|0
122N18547|12/31/2021|54|122N18547|3|36190|2|1|1.101|1|0|1.25|0|0|1.25|0|0|1.25|0|0|1.25|0|0|1.75|0|0|1.75|0|0|1.5|0|0|1.5|0|0|1.5|0|0|0|1.7|1|0
122+04817|12/31/2021|54|122+04817|1|99999|2|1|2.615|1|6950|1.06|2|3|1.05|2|3|1.07|2|2|1.07|2|2|1.26|3|3|1.25|3|3|1.32|3|3|1.4|3|4|1.33|3|4|0|1.7|1|0
122+04818|12/31/2021|54|122+04818|1|99999|2|1|0.227|1|5600|1.05|0|0|1.05|0|0|1.1|0|0|1.05|0|0|1.18|0|0|1.18|0|0|1.18|0|0|1.27|0|0|1.23|0|0|0|1.7|1|0
122+04819|12/31/2021|54|122+04819|1|99999|2|1|4.261|1|5600|1.05|4|4|1.04|4|4|1.05|4|4|1.05|4|4|1.15|4|5|1.12|4|5|1.14|4|5|1.22|4|5|1.16|4|5|0|1.7|1|0
122+07091|12/31/2021|54|122+07091|3|99999|2|1|4.356|1|10574|1.08|4|4|1.06|4|4|1.05|4|4|1.07|4|4|1.23|4|5|1.25|4|5|1.26|4|5|1.2|4|5|1.23|4|5|0|1.7|1|0
122+04820|12/31/2021|54|122+04820|1|99999|2|1|6.106|1|4774|1.11|6|7|1.1|6|6|1.12|6|7|1.13|6|6|1.3|7|9|1.24|7|9|1.24|7|9|1.32|7|9|1.26|7|9|0|1.7|1|0
122+04821|12/31/2021|54|122+04821|1|99999|2|1|5.655|1|5800|1.04|5|5|1.03|5|5|1.04|5|5|1.04|5|5|1.12|5|6|1.08|5|5|1.09|5|6|1.17|5|6|1.1|5|6|0|1.7|1|0
122+04822|12/31/2021|54|122+04822|1|99999|2|1|4.92|1|6850|1.05|4|4|1.04|4|4|1.05|4|4|1.05|4|4|1.15|4|5|1.12|4|5|1.12|4|5|1.18|4|5|1.12|4|5|0|1.7|1|0
122+04823|12/31/2021|54|122+04823|1|99999|2|1|7.391|1|7011|1.04|6|6|1.03|6|6|1.04|6|7|1.04|6|6|1.12|7|7|1.09|7|7|1.1|7|7|1.17|7|8|1.11|7|8|0|1.7|1|0
122+04824|12/31/2021|54|122+04824|1|99999|2|1|5.282|1|6032|1.04|4|5|1.03|4|5|1.03|4|5|1.04|4|5|1.12|5|5|1.09|5|5|1.09|5|5|1.15|5|5|1.1|5|5|0|1.7|1|0
122+04825|12/31/2021|54|122+04825|1|99999|2|1|4.74|1|3841|1.08|4|5|1.07|4|4|1.06|4|4|1.06|4|4|1.14|4|5|1.12|4|5|1.11|4|5|1.16|4|5|1.12|4|5|0|1.7|1|0
122+04826|12/31/2021|54|122+04826|1|99999|2|1|1.871|1|4963|1.05|2|2|1.05|2|2|1.06|2|2|1.07|2|2|1.17|2|2|1.13|2|2|1.14|2|2|1.2|2|2|1.15|2|2|0|1.7|1|0
122+04827|12/31/2021|54|122+04827|1|99999|2|1|0.599|1|4750|1.1|1|1|1.1|1|1|1.11|1|1|1.1|1|1|1.32|1|1|1.25|1|1|1.26|1|1|1.31|1|1|1.28|1|1|0|1.7|1|0
122N18540|12/31/2021|54|122N18540|3|99999|2|1|0.019|1|1500|1.77|0|0|1.75|0|0|1.75|0|0|1.64|0|0|2.15|0|0|1.75|0|0|1.75|0|0|3.5|0|0|2.0|0|0|0|1.7|1|0
122N18534|12/31/2021|54|122N18534|3|99998|2|1|0.081|1|8300|1.25|0|0|1.23|0|0|1.23|0|0|1.17|0|0|2.27|0|0|2.67|0|0|2.42|0|0|1.8|0|0|1.92|0|0|0|1.7|1|0
122N18533|12/31/2021|54|122N18533|3|99998|2|1|0.016|1|8300|1.0|0|0|1.5|0|0|1.0|0|0|1.0|0|0|2.0|0|0|2.5|0|0|2.0|0|0|1.5|0|0|1.5|0|0|0|1.7|1|0
122N18538|12/31/2021|54|122N18538|3|99999|2|1|0.017|1|2300|1.2|0|0|1.23|0|0|1.17|0|0|1.4|0|0|1.48|0|0|1.67|0|0|1.5|0|0|1.67|0|0|1.78|0|0|0|1.7|1|0
122P07098|12/31/2021|54|122P07098|3|99999|2|1|0.017|1|0|1.3|0|1|1.26|0|1|1.23|0|1|1.32|0|1|1.7|0|1|1.72|0|1|1.7|0|1|1.53|0|1|1.71|0|1|0|1.7|1|0
122N18537|12/31/2021|54|122N18537|3|99999|2|1|0.014|1|1350|1.25|0|0|1.25|0|0|1.25|0|0|1.25|0|0|1.5|0|0|1.75|0|0|1.5|0|0|1.5|0|0|1.75|0|0|0|1.7|1|0
122P07094|12/31/2021|54|122P07094|3|36190|2|1|0.143|1|11977|1.33|0|0|1.36|0|1|1.47|0|1|1.28|0|0|2.17|0|1|2.11|0|1|2.23|0|1|2.44|0|1|2.21|0|1|0|1.7|1|0
122P07093|12/31/2021|54|122P07093|3|99999|2|1|0.512|1|10950|1.04|0|0|1.04|0|0|1.05|0|0|1.02|0|0|1.13|0|1|1.11|0|1|1.13|0|1|1.15|0|1|1.11|0|0|0|1.7|1|0
122P07096|12/31/2021|54|122P07096|3|36190|2|1|0.572|1|14300|1.15|1|1|1.14|1|1|1.21|1|1|1.16|1|1|1.41|1|1|1.39|1|1|1.56|1|1|1.44|1|1|1.44|1|1|0|1.7|1|0
122P07092|12/31/2021|54|122P07092|3|99998|2|1|0.68|1|14000|1.06|1|1|1.05|1|1|1.05|1|1|1.06|1|1|1.18|1|1|1.17|1|1|1.14|1|1|1.18|1|1|1.17|1|1|0|1.7|1|0
122P07091|12/31/2021|54|122P07091|3|99998|2|1|0.301|1|12462|1.1|0|0|1.06|0|0|1.07|0|0|1.1|0|0|1.23|0|0|1.23|0|0|1.17|0|0|1.23|0|0|1.23|0|0|0|1.7|1|0
122N06556|12/31/2021|54|122N06556|3|67672|2|1|0.119|1|10124|1.61|0|0|1.5|0|0|1.65|0|0|1.38|0|0|2.89|0|1|3.11|0|1|3.61|0|1|2.91|0|0|3.0|0|0|0|1.7|1|0
122P04829|12/31/2021|54|122P04829|1|99999|2|1|0.422|1|20100|1.05|0|0|1.02|0|0|1.05|0|0|1.05|0|0|1.09|0|0|1.09|0|0|1.11|0|1|1.18|0|1|1.15|0|1|0|1.7|1|0
122P04825|12/31/2021|54|122P04825|1|99999|2|1|0.96|1|4300|1.05|1|1|1.04|1|1|1.05|1|1|1.05|1|1|1.14|1|1|1.09|1|1|1.1|1|1|1.18|1|1|1.11|1|1|0|1.7|1|0
122P04826|12/31/2021|54|122P04826|1|99999|2|1|0.226|1|4750|1.09|0|0|1.09|0|0|1.09|0|0|1.09|0|0|1.25|0|0|1.21|0|0|1.21|0|0|1.25|0|0|1.25|0|0|0|1.7|1|0
122N06558|12/31/2021|54|122N06558|3|99999|2|1|0.499|1|6250|1.04|0|0|1.04|0|0|1.07|0|0|1.05|0|0|1.15|0|1|1.13|0|1|1.16|0|1|1.26|0|1|1.16|0|1|0|1.7|1|0
122P04827|12/31/2021|54|122P04827|1|99999|2|1|0.016|1|4750|2.0|0|0|1.0|0|0|1.0|0|0|2.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|0
122P04828|12/31/2021|54|122P04828|1|99999|2|1|0.485|1|20100|1.06|1|1|1.06|1|1|1.05|1|1|1.06|1|1|1.12|1|1|1.12|1|1|1.15|1|1|1.24|1|1|1.22|1|1|0|1.7|1|0
122P04821|12/31/2021|54|122P04821|1|99999|2|1|0.43|1|5897|1.06|0|0|1.06|0|0|1.06|0|0|1.06|0|0|1.21|0|0|1.18|0|0|1.16|0|0|1.18|0|0|1.13|0|0|0|1.7|1|0
122P04822|12/31/2021|54|122P04822|1|99999|2|1|0.574|1|6925|1.06|0|1|1.06|0|1|1.08|0|1|1.04|0|1|1.19|1|1|1.15|1|1|1.17|1|1|1.2|1|1|1.19|1|1|0|1.7|1|0
122P04823|12/31/2021|54|122P04823|1|99998|2|1|0.585|1|7350|1.04|0|1|1.04|0|1|1.04|0|1|1.06|0|1|1.1|1|1|1.08|1|1|1.08|1|1|1.17|1|1|1.1|1|1|0|1.7|1|0
122P04824|12/31/2021|54|122P04824|1|99999|2|1|0.485|1|4706|1.05|0|0|1.05|0|0|1.02|0|0|1.07|0|0|1.11|0|0|1.09|0|0|1.09|0|0|1.16|0|1|1.11|0|0|0|1.7|1|0
122N18530|12/31/2021|54|122N18530|3|99998|2|1|0.008|1|7950|1.0|0|0|1.33|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.33|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N18531|12/31/2021|54|122N18531|3|99998|2|1|0.618|1|7052|1.09|1|1|1.05|1|1|1.06|1|1|1.07|1|1|1.36|1|1|1.32|1|1|1.24|1|1|1.27|1|1|1.18|1|1|0|1.7|1|0
122P04820|12/31/2021|54|122P04820|1|99999|2|1|0.494|1|5461|1.07|0|0|1.07|0|0|1.05|0|0|1.05|0|0|1.14|0|0|1.14|0|0|1.14|0|0|1.2|0|1|1.11|0|1|0|1.7|1|0
122-07105|12/31/2021|54|122-07105|3|99998|2|1|0.393|1|8100|1.19|1|1|1.33|1|2|1.27|1|2|1.29|1|1|1.54|1|2|2.0|1|2|1.69|1|2|1.4|1|2|1.83|1|2|0|1.7|1|0
122N18524|12/31/2021|54|122N18524|3|99998|2|1|0.025|1|100|1.69|0|0|1.06|0|0|1.0|0|0|1.08|0|0|3.57|0|0|2.89|0|0|4.6|0|0|3.91|0|0|4.5|0|0|0|1.7|1|0
122N18521|12/31/2021|54|122N18521|3|99998|2|1|0.023|1|0|1.86|0|0|1.64|0|0|2.82|0|0|1.9|0|0|2.8|0|0|2.43|0|0|3.78|0|0|1.81|0|0|2.84|0|0|0|1.7|1|0
122N18522|12/31/2021|54|122N18522|3|99998|2|1|0.037|1|2000|1.44|0|0|1.33|0|0|1.67|0|0|1.5|0|0|2.84|0|0|2.78|0|0|2.22|0|0|2.24|0|0|2.81|0|0|0|1.7|1|0
122P04836|12/31/2021|54|122P04836|1|6139|2|1|0.03|1|14300|1.2|0|0|1.17|0|0|1.17|0|0|1.4|0|0|1.5|0|0|1.67|0|0|1.43|0|0|1.83|0|0|1.83|0|0|0|1.7|1|0
122P04837|12/31/2021|54|122P04837|1|6139|2|1|0.037|1|14300|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.25|0|0|1.0|0|0|0|1.7|1|0
122P04832|12/31/2021|54|122P04832|1|99998|2|1|0.662|1|13786|1.03|1|1|1.02|1|1|1.03|1|1|1.05|1|1|1.08|1|1|1.06|1|1|1.1|1|1|1.17|1|1|1.1|1|1|0|1.7|1|0
122P04833|12/31/2021|54|122P04833|1|99998|2|1|0.57|1|19472|1.02|0|0|1.02|0|0|1.02|0|0|1.02|0|0|1.08|0|1|1.08|0|1|1.1|0|1|1.1|0|1|1.06|0|1|0|1.7|1|0
122P04834|12/31/2021|54|122P04834|1|99999|2|1|0.495|1|14900|1.05|0|0|1.02|0|0|1.05|0|0|1.02|0|0|1.09|0|0|1.09|0|0|1.11|0|0|1.11|0|1|1.07|0|0|0|1.7|1|0
122P04835|12/31/2021|54|122P04835|1|99999|2|1|0.627|1|14300|1.03|1|1|1.05|1|1|1.03|1|1|1.05|1|1|1.09|1|1|1.1|1|1|1.09|1|1|1.15|1|1|1.12|1|1|0|1.7|1|0
122P04830|12/31/2021|54|122P04830|1|99999|2|1|0.529|1|13076|1.02|0|0|1.02|0|0|1.02|0|0|1.04|0|0|1.08|0|1|1.08|0|1|1.06|0|1|1.14|0|1|1.1|0|1|0|1.7|1|0
122P04831|12/31/2021|54|122P04831|1|99999|2|1|0.352|1|12950|1.05|0|0|1.03|0|0|1.06|0|0|1.09|0|0|1.12|0|0|1.1|0|0|1.1|0|0|1.2|0|0|1.12|0|0|0|1.7|1|0
122N18513|12/31/2021|54|122N18513|3|99999|2|1|0.021|1|700|1.0|0|0|1.0|0|0|1.0|0|0|1.33|0|0|1.25|0|0|1.25|0|0|1.25|0|0|1.67|0|0|1.67|0|0|0|1.7|1|0
122P04880|12/31/2021|54|122P04880|2|94726|2|1|0.206|1|7950|1.15|0|0|1.15|0|0|1.15|0|0|1.2|0|0|1.69|0|0|1.59|0|0|1.65|0|0|1.58|0|0|1.64|0|0|0|1.7|1|0
122P04881|12/31/2021|54|122P04881|2|94726|2|1|0.172|1|7950|1.14|0|0|1.14|0|0|1.14|0|0|1.14|0|0|1.45|0|0|1.45|0|0|1.43|0|0|1.52|0|0|1.38|0|0|0|1.7|1|0
122P04882|12/31/2021|54|122P04882|2|94726|1|1|0.26|1|24900|1.29|0|1|1.27|0|1|3.49|0|2|1.24|0|0|2.19|0|1|3.49|0|2|8.48|0|4|1.73|0|1|1.62|0|1|0|1.7|1|0
122N18516|12/31/2021|54|122N18516|3|99999|2|1|0.035|1|1850|1.11|0|0|1.22|0|0|1.25|0|0|1.22|0|0|1.44|0|0|1.89|0|0|1.67|0|0|1.67|0|0|1.89|0|0|0|1.7|1|0
122N18515|12/31/2021|54|122N18515|3|99999|2|1|0.068|1|1850|1.27|0|0|1.22|0|0|1.27|0|0|1.18|0|0|1.93|0|0|1.89|0|0|1.93|0|0|1.53|0|0|1.53|0|0|0|1.7|1|0
122-07519|12/31/2021|54|122-07519|3|99998|2|1|0.953|1|7770|1.32|1|1|1.28|1|1|1.33|1|1|1.39|1|1|2.16|1|2|1.93|1|2|2.08|1|2|2.16|1|2|2.2|1|2|0|1.7|1|0
122-07518|12/31/2021|54|122-07518|3|99998|2|1|7.991|1|7336|1.05|8|8|1.04|8|8|1.05|8|8|1.05|8|8|1.29|8|10|1.25|8|10|1.24|8|9|1.39|8|11|1.27|8|10|0|1.7|1|0
122-07517|12/31/2021|54|122-07517|2|93592|2|1|0.047|1|0|1.31|2|3|1.42|2|3|1.42|2|3|1.52|2|4|2.3|2|5|2.36|2|6|2.37|2|5|2.11|2|4|2.57|2|6|0|1.7|1|0
122N18519|12/31/2021|54|122N18519|3|94726|2|1|4.7|1|0|1.2|0|0|1.2|0|0|1.2|0|0|1.0|0|0|1.2|0|0|1.4|0|0|1.4|0|0|1.2|0|0|1.2|0|0|0|1.7|1|0
122+04875|12/31/2021|54|122+04875|2|93592|2|1|0.047|1|13000|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.2|0|0|1.2|0|0|1.2|0|0|1.2|0|0|1.2|0|0|0|1.7|1|0
122+04876|12/31/2021|54|122+04876|3|94726|2|1|4.7|1|10078|1.09|6|6|1.07|6|6|1.08|6|6|1.1|6|6|1.4|6|8|1.32|6|8|1.37|6|8|2.04|6|12|1.5|6|8|0|1.7|1|0
122+04877|12/31/2021|54|122+04877|3|94726|2|1|0.077|1|10300|1.12|0|0|1.12|0|0|1.0|0|0|1.12|0|0|1.12|0|0|1.12|0|0|1.12|0|0|1.25|0|0|1.12|0|0|0|1.7|1|0
122+04878|12/31/2021|54|122+04878|3|94726|2|1|0.123|1|10300|1.08|0|0|1.08|0|0|1.08|0|0|1.08|0|0|1.15|0|0|1.15|0|0|1.15|0|0|1.23|0|0|1.15|0|0|0|1.7|1|0
122+04879|12/31/2021|54|122+04879|3|94726|2|1|1.455|1|12268|1.06|2|2|1.04|2|2|1.05|2|2|1.05|2|2|1.25|2|2|1.17|2|2|1.25|2|2|1.29|2|2|1.19|2|2|0|1.7|1|0
122N06536|12/31/2021|54|122N06536|3|6139|2|1|0.127|1|4350|1.46|0|1|1.48|0|1|1.5|0|1|1.55|0|1|2.43|0|1|2.5|0|1|2.37|0|1|2.53|0|1|2.58|0|1|0|1.7|1|0
122P04887|12/31/2021|54|122P04887|1|94726|2|1|0.086|1|15350|1.15|0|0|1.15|0|0|1.17|0|0|1.17|0|0|2.15|0|0|1.77|0|0|1.23|0|0|1.31|0|0|1.33|0|0|0|1.7|1|0
122P04888|12/31/2021|54|122P04888|1|94726|2|1|0.144|1|15350|1.24|0|0|1.21|0|0|1.13|0|0|1.14|0|0|2.88|0|1|2.32|0|1|1.74|0|0|1.43|0|0|1.41|0|0|0|1.7|1|0
122P04889|12/31/2021|54|122P04889|1|94726|2|-1|0.178|1|15350|1.16|0|0|1.16|0|0|1.1|0|0|1.1|0|0|1.65|0|1|1.48|0|0|1.37|0|0|1.36|0|0|1.28|0|0|0|1.7|1|0
122+04870|12/31/2021|54|122+04870|2|93592|2|1|0.08|1|17100|1.0|0|0|1.0|0|0|1.11|0|0|1.11|0|0|1.2|0|0|1.2|0|0|1.2|0|0|1.3|0|0|1.2|0|0|0|1.7|1|Filled missing data with 1 or 0
122+04871|12/31/2021|54|122+04871|2|93592|2|1|0.176|1|17100|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P04883|12/31/2021|54|122P04883|1|94726|2|1|0.216|1|15150|1.04|0|0|1.04|0|0|1.04|0|0|1.04|0|0|1.08|0|0|1.08|0|0|1.08|0|0|1.12|0|0|1.13|0|0|0|1.7|1|0
122+04872|12/31/2021|54|122+04872|2|93592|2|1|1.377|1|16044|1.05|1|1|1.04|1|1|1.04|1|1|1.05|1|1|1.12|1|2|1.1|1|2|1.12|1|2|1.16|1|2|1.12|1|2|0|1.7|1|0
122P04884|12/31/2021|54|122P04884|1|94726|2|1|0.594|1|19026|1.04|1|1|1.04|1|1|1.04|1|1|1.08|1|1|1.11|1|1|1.1|1|1|1.11|1|1|1.16|1|1|1.14|1|1|0|1.7|1|0
122+04873|12/31/2021|54|122+04873|2|93592|2|1|0.814|1|17100|1.2|1|1|1.2|1|1|1.18|1|1|1.19|1|1|1.74|1|2|1.68|1|2|1.44|1|1|1.4|1|1|1.42|1|1|0|1.7|1|0
122P04885|12/31/2021|54|122P04885|1|94726|2|1|0.686|1|21092|1.03|1|1|1.03|1|1|1.03|1|1|1.03|1|1|1.09|1|1|1.06|1|1|1.06|1|1|1.1|1|1|1.07|1|1|0|1.7|1|0
122+04874|12/31/2021|54|122+04874|2|93592|2|1|0.606|1|14089|1.14|1|1|1.16|1|1|1.11|1|1|1.08|1|1|1.68|1|1|1.78|1|1|1.31|1|1|1.24|1|1|1.2|1|1|0|1.7|1|0
122P04886|12/31/2021|54|122P04886|1|94726|2|1|0.096|1|21100|1.0|0|0|1.0|0|0|1.11|0|0|1.11|0|0|1.1|0|0|1.1|0|0|1.1|0|0|1.1|0|0|1.1|0|0|0|1.7|1|0
122P04890|12/31/2021|54|122P04890|1|94726|2|1|0.348|1|23484|1.28|1|1|1.28|1|1|1.18|1|1|1.12|0|1|8.04|1|4|8.04|1|4|2.19|0|1|1.24|0|1|1.33|0|1|0|1.7|1|0
122P04891|12/31/2021|54|122P04891|1|94726|2|1|0.366|1|21516|1.46|0|1|1.46|0|1|1.17|0|1|1.11|0|0|8.51|0|4|7.96|0|4|5.08|0|2|1.34|0|1|1.27|0|1|0|1.7|1|0
122P04892|12/31/2021|54|122P04892|1|94726|2|1|0.272|1|20300|1.06|0|0|1.09|0|0|1.09|0|0|1.09|0|0|1.3|0|0|1.33|0|0|1.24|0|0|1.24|0|0|1.19|0|0|0|1.7|1|0
122P04893|12/31/2021|54|122P04893|1|94726|2|1|0.131|1|27213|1.06|0|0|1.06|0|0|1.06|0|0|1.07|0|0|1.38|0|0|1.5|0|0|1.25|0|0|1.25|0|0|1.27|0|0|0|1.7|1|0
122-07527|12/31/2021|54|122-07527|3|59275|2|1|1.166|1|6864|1.21|2|3|1.25|2|3|1.23|3|3|1.2|2|3|2.01|2|5|2.29|2|6|1.8|3|5|2.36|2|5|1.55|2|3|0|1.7|1|0
122-07526|12/31/2021|54|122-07526|3|59275|2|1|0.42|1|12105|1.41|1|1|1.44|1|1|1.41|1|2|1.49|1|2|2.08|1|2|2.27|1|2|2.14|1|2|2.47|1|3|2.57|1|3|0|1.7|1|0
122N18506|12/31/2021|54|122N18506|3|99998|2|1|0.063|1|5100|1.59|0|0|1.61|0|0|1.5|0|0|1.25|0|0|3.18|0|1|3.0|0|1|3.0|0|1|2.94|0|0|2.62|0|0|0|1.7|1|0
122-07525|12/31/2021|54|122-07525|3|59275|2|1|1.66|1|11190|1.23|3|4|1.18|3|4|1.18|3|4|1.2|3|3|1.82|3|5|1.7|3|5|1.79|3|5|2.01|3|6|1.91|3|5|0|1.7|1|0
122-07524|12/31/2021|54|122-07524|3|99998|2|1|0.098|1|0|1.34|4|5|1.22|4|5|1.18|4|4|1.21|4|4|2.83|4|10|2.24|4|8|2.09|4|7|2.0|4|7|2.32|4|8|0|1.7|1|0
122N18504|12/31/2021|54|122N18504|3|40753|2|1|0.05|1|8450|1.25|0|0|1.4|0|0|1.4|0|0|1.56|0|0|1.5|0|0|1.8|0|0|1.8|0|0|1.9|0|0|2.0|0|0|0|1.7|1|0
122N18509|12/31/2021|54|122N18509|3|99998|2|1|0.098|1|5100|1.43|0|1|1.62|0|1|1.5|1|1|1.43|0|1|2.14|0|1|2.4|0|1|2.22|1|1|2.02|0|1|2.14|0|1|0|1.7|1|0
122-07529|12/31/2021|54|122-07529|3|99999|2|1|2.662|1|3108|1.15|4|5|1.1|4|4|1.09|4|4|1.09|4|4|1.92|4|8|1.32|4|5|1.29|4|5|1.39|4|6|1.51|4|6|0|1.7|1|0
122N18507|12/31/2021|54|122N18507|3|99998|2|1|0.026|1|7450|1.17|0|0|1.33|0|0|1.17|0|0|1.17|0|0|1.67|0|0|1.67|0|0|1.67|0|0|1.5|0|0|1.5|0|0|0|1.7|1|0
122-07528|12/31/2021|54|122-07528|3|59275|2|1|1.336|1|4650|1.49|3|4|1.42|3|4|1.29|3|4|1.31|2|3|3.69|3|9|4.58|3|12|3.19|3|9|1.97|2|4|1.89|2|4|0|1.7|1|0
122P04894|12/31/2021|54|122P04894|1|94726|2|1|0.193|1|30100|1.09|0|0|1.08|0|0|1.09|0|0|1.09|0|0|1.42|0|0|1.79|0|0|1.39|0|0|1.26|0|0|1.26|0|0|0|1.7|1|0
122P04895|12/31/2021|54|122P04895|1|94726|2|1|0.299|1|19350|1.03|0|0|1.06|0|0|1.06|0|0|1.06|0|0|1.11|0|0|1.22|0|0|1.17|0|0|1.11|0|0|1.14|0|0|0|1.7|1|0
