BeginDate|StateID|FSystem|UrbanID|VMT|Comments
12/31/2021|54|7|6139|33228|
12/31/2021|54|7|15481|167471|
12/31/2021|54|7|21745|6466|
12/31/2021|54|7|36190|87370|
12/31/2021|54|7|40753|117296|
12/31/2021|54|7|59275|76250|
12/31/2021|54|7|67672|43340|
12/31/2021|54|7|93592|35904|
12/31/2021|54|7|94726|78861|
12/31/2021|54|7|99998|224893|
12/31/2021|54|6|99999|196255|
12/31/2021|54|7|99999|1980806|
